#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
19,128,128,4,4,4,0.1,0.0001,0.0001,0.5172890733056706,0.7121693121693118,0.718954248366013,0.5708898944193059,0.6312701705855234,0.8071428571428572,0.8607843137254902,0.7963800904977375,"[315, 255, 221, 177]",0.12378976486860334,0.34993084370677735,0.1813278008298755
19,128,128,3,4,4,0.1,1e-05,0.001,0.42876901798063627,0.703971119133574,0.7725925925925929,0.6379310344827583,0.5579644997694789,0.8088447653429603,0.8962962962962963,0.8201970443349754,"[277, 225, 203, 169]",0.11825726141078863,0.3335177501152605,0.1722337482710927
16,64,256,4,4,2,0.0,0.0001,0.001,0.42876901798063655,0.6650165016501649,0.8361702127659575,0.6352201257861635,0.6111687413554633,0.7711771177117711,0.8957446808510638,0.8584905660377359,"[303, 235, 212, 184]",0.12932226832641802,0.3634163208852006,0.18893499308437067
20,128,256,4,3,2,0.1,0.0001,0.001,0.4626556016597509,0.7443365695792881,0.8031496062992126,0.5764790764790761,0.6178999538958045,0.81957928802589,0.9015748031496063,0.7965367965367965,"[309, 254, 231, 186]",0.12932226832641802,0.3650299677270632,0.18900414937759338
12,64,256,3,3,4,0.0,1e-05,0.001,0.49135546334716457,0.6692872117400419,0.7823529411764707,0.6215429403202328,0.6420470262793915,0.7961215932914045,0.8901960784313725,0.8187772925764192,"[318, 255, 229, 188]",0.13174273858921198,0.3719455970493315,0.19239280774550488
22,128,128,3,4,4,0.1,1e-05,0.0001,0.5290456431535268,0.7157784743991639,0.754557291666667,0.574314574314574,0.6406062701705856,0.8017241379310345,0.89453125,0.8463203463203464,"[319, 256, 231, 196]",0.13692946058091315,0.3883125864453666,0.20076071922544952
22,128,128,4,4,4,0.0,1e-05,0.001,0.4678423236514524,0.7271241830065358,0.8003952569169961,0.6249999999999998,0.6219917012448132,0.8194444444444444,0.9094861660079051,0.8369252873563219,"[306, 253, 232, 196]",0.1383125864453668,0.38825495620101436,0.20121517486662713
15,128,128,3,4,4,0.0,0.0001,0.001,0.48755186721991667,0.6975890985324944,0.772030651340996,0.6323731138545954,0.6386468418626096,0.8183962264150944,0.9233716475095786,0.8168724279835391,"[318, 261, 243, 199]",0.14038727524204725,0.3951129552789304,0.20497925311203322
12,128,256,4,4,4,0.0,1e-05,0.0001,0.47925311203319526,0.7456709956709956,0.7889733840304183,0.6090277777777777,0.6188220378054403,0.8491883116883118,0.9068441064638784,0.825,"[308, 263, 240, 199]",0.13969571230982045,0.39476717381281695,0.20421853388658368
14,128,256,3,4,2,0.1,1e-05,0.0001,0.5103734439834025,0.7006369426751592,0.729002624671916,0.5558103975535165,0.6291954817888428,0.805891719745223,0.8523622047244095,0.7821100917431193,"[314, 254, 218, 173]",0.12033195020746916,0.33909635776855696,0.1757261410788382
25,64,256,4,4,4,0.1,1e-05,0.0001,0.4937759336099588,0.7013422818791947,0.7601115760111575,0.5626911314984706,0.6001498386353159,0.7978187919463087,0.9058577405857741,0.8119266055045872,"[298, 239, 218, 179]",0.12448132780083018,0.3523513139695712,0.18243430152143847
19,128,128,4,4,4,0.0,0.0001,0.001,0.47060857538035944,0.6567982456140351,0.8177304964539008,0.5770440251572325,0.6145573997233749,0.7683662280701755,0.8978723404255319,0.8042452830188679,"[304, 235, 212, 171]",0.121023513139696,0.3431304748732135,0.1768326417704011
24,64,256,4,4,2,0.1,0.0001,0.0001,0.5179806362378975,0.719155844155844,0.7269076305220885,0.5110584518167453,0.620723835869064,0.8034632034632034,0.8400267737617135,0.7725118483412322,"[308, 249, 211, 164]",0.11549100968188131,0.32319041032733975,0.16811894882434297
16,64,128,3,4,2,0.0,1e-05,0.001,0.4591977869986169,0.725396825396825,0.7769130998702984,0.62905604719764,0.6312701705855234,0.8112698412698413,0.8754863813229572,0.831858407079646,"[315, 257, 226, 189]",0.13416320885200583,0.37540341171046565,0.1954356846473029
21,128,128,4,4,4,0.1,1e-05,0.0001,0.5214384508990316,0.6846707818930042,0.7402343749999997,0.5941704035874436,0.6515560165975104,0.7862654320987654,0.8671875,0.852017937219731,"[324, 256, 223, 191]",0.13278008298755223,0.38035961272475793,0.1955048409405256
23,64,128,4,4,2,0.1,1e-05,0.0001,0.4813278008298756,0.682648401826484,0.6875,0.4314236111111112,0.5879322268326418,0.7908105022831051,0.8254310344827587,0.625,"[292, 232, 192, 121]",0.08367911479944677,0.2392807745504841,0.12309820193637619
17,128,128,4,4,4,0.0,0.0001,0.0001,0.4965421853388658,0.7309753483386924,0.7895061728395063,0.5742296918767504,0.625622406639004,0.8603965702036441,0.8777777777777778,0.819327731092437,"[311, 270, 238, 197]",0.13762102351313998,0.38577685569386816,0.20062240663900416
14,128,256,4,4,4,0.1,0.0001,0.0001,0.5138312586445366,0.7174145299145297,0.7549019607843136,0.536549707602339,0.6271207929921623,0.8142628205128205,0.8862745098039215,0.7916666666666666,"[312, 255, 228, 182]",0.12793914246196436,0.3608805901337022,0.18692946058091292
20,128,128,4,4,4,0.1,0.0001,0.001,0.4896265560165974,0.6996805111821089,0.7379032258064514,0.5638629283489095,0.6323075149838636,0.7861022364217253,0.8575268817204301,0.8014018691588785,"[313, 248, 214, 174]",0.12171507607192283,0.3446980175195943,0.1779045643153527
