#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1,F1 nivel4,F1 promedio
15,64,256,3,4,4,0.0,0.0001,0.001,0.5089903181189488,0.6794871794871794,0.792127921279213,0.6720647773279353,0.6804979253112033,0.796844181459566,0.90159901599016,0.8535762483130904,"[338, 271, 247, 212]",0.1486860304287691,0.4230636237897648,0.2181584667061845,0.5823796198012159,0.7520229485359029,0.6672012841685594
20,128,128,3,3,4,0.0,1e-05,0.0001,0.5452973720608576,0.737313432835821,0.7740998838559812,0.6081081081081082,0.6739280774550485,0.8517412935323383,0.8960511033681764,0.8519948519948519,"[335, 287, 259, 223]",0.1580221300138312,0.4400069156293222,0.2296482908516103,0.6028273273662005,0.7096827987088014,0.6562550630375009
15,128,256,4,3,2,0.0,1e-05,0.0001,0.5684647302904566,0.7307307307307305,0.7597173144876324,0.5770750988142292,0.6699515905947442,0.8448448448448448,0.8886925795053003,0.8293807641633729,"[333, 283, 253, 211]",0.1493775933609959,0.4206431535269709,0.2179608772969768,0.6150497919518412,0.6805972359785618,0.6478235139652015
17,128,256,3,4,2,0.0,1e-05,0.0001,0.5193637621023512,0.7546705998033431,0.7925170068027211,0.6146616541353382,0.6856846473029046,0.8638151425762045,0.8996598639455783,0.8126566416040101,"[339, 294, 266, 220]",0.1542185338865837,0.436030428769018,0.2255977079628532,0.5910463932562195,0.6999263963244371,0.6454863947903283
16,64,256,4,3,2,0.0,0.0001,0.001,0.4875518672199168,0.7069486404833836,0.7915129151291512,0.6473829201101929,0.6673582295988936,0.8144511581067472,0.8849938499384994,0.8250688705234159,"[331, 271, 242, 203]",0.1424619640387277,0.3988589211618257,0.2073799644339063,0.5634581459487662,0.7255049001796176,0.6444815230641918
15,128,256,3,4,2,0.0,0.0001,0.0001,0.5159059474412172,0.7726337448559666,0.7559101654846334,0.6167979002624673,0.6509336099585062,0.8631687242798355,0.8971631205673759,0.8241469816272966,"[324, 282, 254, 214]",0.1500691562932227,0.4192600276625172,0.2182375024698676,0.5756070209264136,0.7055538822674489,0.6405804515969312
15,128,256,4,3,2,0.0,0.0001,0.0001,0.5269709543568463,0.7541928721174003,0.7361623616236163,0.6030428769017981,0.641597510373444,0.8438155136268343,0.8837638376383764,0.8381742738589211,"[318, 271, 241, 204]",0.1438450899031813,0.404045643153527,0.2096621221102549,0.5786622907584722,0.701427991175604,0.640045140967038
21,128,128,4,4,4,0.1,1e-05,0.0001,0.5608575380359613,0.7218875502008032,0.7135980746089049,0.5636237897648683,0.6661479944674966,0.8313253012048191,0.8622141997593261,0.8112033195020747,"[332, 277, 241, 197]",0.1376210235131399,0.3933264177040111,0.20232167555819,0.6089852315210819,0.6651214339981798,0.6370533327596308
16,64,128,4,4,2,0.0,1e-05,0.001,0.4965421853388655,0.738241308793456,0.7420343137254903,0.6094202898550725,0.6561203319502075,0.829243353783231,0.8419117647058824,0.8130434782608695,"[326, 272, 230, 190]",0.1362378976486863,0.3779391424619641,0.1975894092076664,0.5652850137576106,0.6966577332831292,0.6309713735203699
18,128,128,4,3,4,0.0,0.0001,0.0001,0.5401106500691562,0.7517948717948717,0.7461170848267623,0.5612244897959181,0.6512793914246195,0.8482051282051283,0.8763440860215054,0.830612244897959,"[325, 279, 245, 205]",0.1431535269709545,0.408713692946058,0.2101066982809721,0.5905084367466293,0.6698485845951281,0.6301785106708787
21,64,256,4,4,4,0.1,1e-05,0.001,0.512448132780083,0.7031893004115227,0.7626262626262625,0.5959383753501399,0.6578492392807747,0.8070987654320986,0.8876262626262627,0.7976190476190477,"[324, 264, 238, 192]",0.1348547717842327,0.3800138312586445,0.1969670025686623,0.5761161605047173,0.6821847331897583,0.6291504468472378
18,128,128,3,4,4,0.0,1e-05,0.0001,0.5221300138312585,0.7371995820271681,0.7797619047619049,0.596456692913386,0.6409059474412172,0.8709508881922674,0.8970238095238094,0.7893700787401575,"[319, 280, 254, 201]",0.1424619640387277,0.4000691562932226,0.2074194823157479,0.5754529392812473,0.6794861757337153,0.6274695575074813
15,128,256,3,4,4,0.0,0.0001,0.001,0.4806362378976485,0.7021604938271607,0.7730099502487564,0.6251728907330569,0.6500691562932228,0.8220164609053497,0.8911691542288558,0.7946058091286307,"[324, 268, 241, 193]",0.1348547717842327,0.3848547717842324,0.1980735032602252,0.5526581818028008,0.6997794948390474,0.6262188383209242
13,128,256,4,4,4,0.0,0.0001,0.0001,0.5345781466113412,0.7150205761316869,0.7740324594257176,0.5609243697478988,0.6530082987551867,0.8158436213991769,0.8895131086142322,0.8053221288515405,"[324, 267, 238, 194]",0.1362378976486863,0.3846818810511756,0.1990120529539617,0.5878880942643867,0.6612639930395529,0.6245760436519698
18,64,128,3,3,4,0.1,0.0001,0.001,0.5221300138312589,0.731083844580777,0.7447724477244773,0.5724331926863572,0.6566390041493776,0.8210633946830267,0.8690036900369004,0.7967651195499297,"[326, 271, 237, 191]",0.1341632088520058,0.3775933609958506,0.1955245998814463,0.5817101180789442,0.6662216818835569,0.6239658999812505
18,128,256,4,3,4,0.1,0.0001,0.0001,0.567081604426003,0.7254305977710234,0.7277777777777777,0.5255878284923924,0.6592323651452282,0.8156028368794326,0.8839506172839506,0.797372060857538,"[329, 270, 241, 193]",0.1348547717842326,0.3812240663900414,0.1970065204505038,0.6096946729666852,0.6335627456892091,0.6216287093279471
20,64,256,4,3,2,0.0,0.0001,0.0001,0.5567081604426004,0.7247706422018351,0.7599277978339352,0.5296143250688702,0.6547372060857539,0.8389398572884811,0.8670276774969915,0.7871900826446281,"[327, 277, 242, 191]",0.1348547717842326,0.376728907330567,0.1960383323453863,0.6017564731257679,0.6332104325875718,0.6174834528566698
31,64,256,3,3,4,0.1,0.0001,0.0001,0.5532503457814659,0.7428571428571427,0.6722636815920398,0.5460526315789472,0.6324343015214385,0.8423280423280423,0.8439054726368159,0.7755847953216374,"[315, 268, 228, 179]",0.1244813278008301,0.3504495159059474,0.1815846670618454,0.5901982399733459,0.6408869934792732,0.6155426167263096
25,64,128,4,3,2,0.0,0.0001,0.0001,0.5283540802212998,0.6898734177215191,0.7392996108949417,0.553544494720965,0.6312240663900415,0.8080168776371308,0.857976653696498,0.7963800904977375,"[316, 257, 221, 178]",0.1251728907330569,0.3506224066390041,0.1823058684054535,0.5752261061243376,0.6531206552238427,0.6141733806740901
22,128,128,4,4,2,0.1,1e-05,0.0001,0.5124481327800828,0.7236699239956567,0.7335958005249343,0.5623123123123119,0.6147994467496543,0.8208469055374593,0.8608923884514436,0.8243243243243243,"[307, 254, 222, 184]",0.1307053941908717,0.3653181189488243,0.1900217348350128,0.5589771656950843,0.6685640702966094,0.6137706179958469
18,128,256,4,4,2,0.0,0.0001,0.001,0.4972337482710924,0.7401041666666666,0.7820987654320987,0.573997233748271,0.6441908713692946,0.8385416666666666,0.8895061728395062,0.7828492392807747,"[320, 270, 241, 191]",0.1341632088520058,0.3784578146611341,0.1956925508792728,0.5612520284938173,0.6623495092793505,0.6118007688865839
17,128,256,3,4,4,0.1,0.0001,0.001,0.5000000000000002,0.7473628691983121,0.7110682110682109,0.5714285714285712,0.6348547717842323,0.810126582278481,0.859073359073359,0.78125,"[316, 259, 224, 176]",0.1230982019363765,0.3495850622406639,0.180438648488441,0.5594149908592323,0.66006600660066,0.6097404987299462
13,128,128,3,3,2,0.0,0.0001,0.001,0.5000000000000001,0.714207650273224,0.7377049180327867,0.5682170542635655,0.613762102351314,0.792896174863388,0.8715846994535519,0.7984496124031009,"[305, 244, 215, 173]",0.1217150760719228,0.3423236514522821,0.1775340841730883,0.5510710959329402,0.6639405171769401,0.6075058065549401
18,128,128,4,4,2,0.0,0.0001,0.001,0.4702627939142458,0.719672131147541,0.7918313570487484,0.5930735930735932,0.6087482710926695,0.8207650273224044,0.9077733860342556,0.8008658008658008,"[305, 253, 231, 186]",0.1327800829875522,0.3679114799446749,0.1922742540999802,0.530618585922788,0.6814820789976069,0.6060503324601975
15,128,256,4,3,2,0.1,1e-05,0.0001,0.5428769017980634,0.7458333333333333,0.7374686716791979,0.521800281293952,0.6396957123098203,0.8244791666666667,0.8872180451127819,0.7770745428973277,"[320, 266, 237, 187]",0.129322268326418,0.3665283540802213,0.1892906540209444,0.5873229639335774,0.6243522586137703,0.6058376112736739
17,64,256,3,4,2,0.0,0.0001,0.001,0.4744121715076067,0.7370370370370369,0.7784019975031209,0.5816044260027661,0.6300138312586444,0.8439153439153438,0.8976279650436954,0.7876901798063622,"[315, 267, 241, 192]",0.1362378976486863,0.3781120331950207,0.1973621813870776,0.5412517072553912,0.6691388295122733,0.6051952683838322
