Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.26412614980289095,0.2303673111820287,0.24027595269382387,0.6044678055190539,0.7978260869565217,0.779291553133515,0.7027972027972028,0.5650616356923848,0.786231884057971,0.7497729336966393,0.6870629370629371,"[460, 367, 286, 201]"
123,0.23915900131406045,0.21088845086874,0.2187326617024383,0.568988173455979,0.8267898383371824,0.7569832402234636,0.6715867158671587,0.535893143941764,0.8147421093148575,0.744413407821229,0.6660516605166051,"[433, 358, 271, 182]"
47899,0.2457293035479632,0.21216600963644325,0.22206161483428236,0.5492772667542707,0.8181818181818182,0.7076023391812866,0.7727272727272727,0.5076773460150595,0.812799043062201,0.6885964912280702,0.7617079889807161,"[418, 342, 242, 187]"
2025,0.26018396846254926,0.22787998247919403,0.23680829318148636,0.5558475689881734,0.8226950354609929,0.735632183908046,0.7734375,0.5188395594768787,0.8051221434200159,0.7126436781609196,0.755859375,"[423, 348, 256, 198]"
1,0.25624178712220763,0.21948459629142938,0.23010658490290542,0.5821287779237845,0.7697516930022573,0.8123167155425219,0.703971119133574,0.5406753853534405,0.7641083521444695,0.7949657869012708,0.6931407942238267,"[443, 341, 277, 195]"
20,0.2536136662286465,0.22875602277704776,0.2361804643013578,0.5729303547963206,0.8211009174311926,0.7905027932960894,0.6819787985865724,0.5393628892643346,0.8077217125382262,0.76792364990689,0.6696113074204947,"[436, 358, 283, 193]"
99,0.240473061760841,0.20948313622426634,0.2184552489414513,0.5676741130091985,0.7893518518518519,0.7419354838709677,0.7233201581027668,0.5271296122478777,0.7781635802469137,0.7165200391006843,0.7154150197628458,"[432, 341, 253, 183]"
1020,0.26018396846254926,0.23236968900569427,0.24022485034311578,0.5597897503285151,0.8403755868544601,0.7821229050279329,0.7071428571428572,0.5309711532444779,0.8284428794992176,0.7648975791433892,0.6958333333333334,"[426, 358, 280, 198]"
345,0.28383705650459923,0.25058402686523584,0.26049058256679813,0.5965834428383706,0.7973568281938326,0.8038674033149171,0.7422680412371134,0.5662244748972738,0.7868942731277533,0.7877532228360958,0.7302405498281787,"[454, 362, 291, 216]"
78,0.33902759526938236,0.30270842458753106,0.31284859103518764,0.6176084099868594,0.8489361702127659,0.8045112781954887,0.8037383177570093,0.5796226769288529,0.8356382978723405,0.7794486215538847,0.7959501557632399,"[470, 399, 321, 258]"
