Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.20630749014454666,0.18220543144984666,0.18903489560519787,0.4520367936925099,0.7616279069767442,0.7786259541984732,0.7696078431372549,0.4208216006507728,0.7555717054263567,0.7461832061068702,0.7524509803921569,"[344, 262, 204, 157]"
123,0.26938239159001315,0.23853847276974743,0.2475689881734559,0.5597897503285151,0.8380281690140845,0.7647058823529411,0.7509157509157509,0.5307813445132761,0.8244913928012519,0.7469654528478057,0.7435897435897436,"[426, 357, 273, 205]"
47899,0.21287779237844942,0.17996579271217902,0.18891078989633525,0.48226018396846254,0.7520435967302452,0.822463768115942,0.7136563876651982,0.44167500990759856,0.7459128065395095,0.8007246376811593,0.7019089574155652,"[367, 276, 227, 162]"
2025,0.22470433639947437,0.19628777923784493,0.204453204847423,0.5032851511169514,0.7989556135770235,0.7549019607843137,0.7402597402597403,0.4692176125816073,0.786118363794604,0.7336601307189543,0.7272727272727273,"[383, 306, 231, 171]"
1,0.17871222076215507,0.14997236301441297,0.1580011680537305,0.43626806833114323,0.75,0.7791164658634538,0.7010309278350515,0.40156748639008827,0.7389558232931727,0.7563587684069613,0.6881443298969072,"[332, 249, 194, 136]"
20,0.21287779237844942,0.1860928602715725,0.193604905825668,0.4375821287779238,0.7657657657657657,0.8156862745098039,0.7788461538461539,0.40392705921615246,0.7545045045045045,0.7856209150326797,0.7692307692307693,"[333, 255, 208, 162]"
99,0.18659658344283836,0.1562089356110381,0.16503139144400644,0.3679369250985545,0.7964285714285714,0.8116591928251121,0.7845303867403315,0.3374303860834742,0.7866071428571428,0.7877428998505231,0.7651933701657458,"[280, 223, 181, 142]"
1020,0.21550591327201052,0.18843991823623885,0.19582420791356406,0.507227332457293,0.7849740932642487,0.7755775577557755,0.6978723404255319,0.4763463905053917,0.7694732297063903,0.7568756875687569,0.6865248226950355,"[386, 303, 235, 164]"
345,0.22076215505913271,0.19174332019272886,0.2003942181340342,0.469119579500657,0.7843137254901961,0.775,0.7741935483870968,0.43891391861168466,0.769140989729225,0.7568452380952381,0.7603686635944701,"[357, 280, 217, 168]"
78,0.2102496714848883,0.1862133158125274,0.19310848299021757,0.48488830486202367,0.7723577235772358,0.7719298245614035,0.7272727272727273,0.4470923805352188,0.7649051490514905,0.7502923976608188,0.7181818181818181,"[369, 285, 220, 160]"
