Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.1410424879544453,0.3678399349227208,0.19855993765323596,0.4682435392028031,0.7274732199117832,0.738749046529367,0.6956327985739754,0.6594330767786747,0.8141146817895399,0.8385202135774219,0.8092691622103386,"[529, 437, 374, 306]"
123,0.15374507227332387,0.3998831946269529,0.21626846653127868,0.4717477003942177,0.7733944954128439,0.7281997187060477,0.7144638403990025,0.690180526875665,0.8559021406727829,0.8273558368495076,0.812551953449709,"[545, 474, 401, 331]"
47899,0.13359614542268894,0.33604488663621385,0.1851596498114238,0.4393342093736309,0.7486504723346826,0.7613458528951488,0.6412655971479502,0.6197531443589263,0.8459851551956814,0.8538732394366199,0.75222816399287,"[494, 426, 374, 288]"
2025,0.1331581252737621,0.3422887595686545,0.18593869993344375,0.4261936049058247,0.72812291249165,0.7390243902439024,0.7110481586402267,0.6163605740149761,0.807760759614467,0.8339430894308942,0.8120868744098206,"[499, 410, 353, 292]"
1,0.144984669294787,0.36465698850718564,0.20091187831003865,0.4353920280332892,0.7282102461743178,0.7696192696192697,0.7196557971014493,0.625402561374966,0.8446440452428476,0.8376456876456876,0.8211050724637682,"[501, 429, 368, 307]"
20,0.10687691633815144,0.2733793254489707,0.14950992940480456,0.34121769601401736,0.6958997722095674,0.7898550724637681,0.6877777777777777,0.546847297832843,0.7695899772209568,0.8355072463768116,0.7794444444444445,"[439, 345, 300, 236]"
99,0.1353482260183965,0.34863275139227834,0.1900905052022003,0.43802014892685015,0.7406679764243613,0.7454036770583531,0.6820728291316528,0.6378590200863526,0.808611656843484,0.8351318944844126,0.8015873015873015,"[509, 417, 357, 291]"
1020,0.13578624616732318,0.34753248649437873,0.18933335608762686,0.43977222952255746,0.734977862112587,0.7590909090909093,0.6769991015274035,0.6582306071793589,0.8181982470407518,0.8253787878787879,0.7776280323450134,"[527, 440, 371, 295]"
345,0.12527376259307899,0.3218353044240035,0.17557952341132368,0.40998685939553164,0.727530077848549,0.7672634271099745,0.6846307385229542,0.5860391506580731,0.8096249115357396,0.8322250639386188,0.8068862275449101,"[471, 391, 334, 276]"
78,0.13622426631625006,0.3502518615856329,0.1912595070282324,0.4257555847568983,0.7441314553990609,0.7733017377567141,0.6881278538812787,0.6187284900819724,0.8376928236083167,0.8566350710900474,0.7853881278538813,"[497, 422, 365, 290]"
