Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 128
Descriptors dimension: 1136
Decoder embedding dimension: 64
Encoder hidden units: 32
Encoder layers: 2
Decoder hidden units: 64
Decoder layers: 2
Dropout: 0.1
Trainable parameters: 236,514

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.0001
Weight decay: 0.0001
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
    5 |   2.1245 |     57.207 |   2.0669 |     57.595 |     0.3
    6 |   2.0341 |     56.422 |   1.9878 |     57.841 |     0.4
    7 |   1.9582 |     54.378 |   1.9169 |     49.723 |     0.4
    8 |   1.8921 |     50.648 |   1.8561 |     49.938 |     0.5
    9 |   1.8320 |     49.758 |   1.8014 |     49.446 |     0.5
   10 |   1.7778 |     49.517 |   1.7485 |     49.385 |     0.6
   11 |   1.7258 |     49.187 |   1.7016 |     49.385 |     0.7
   12 |   1.6770 |     48.907 |   1.6554 |     49.385 |     0.7
   13 |   1.6341 |     48.770 |   1.6190 |     49.385 |     0.8
   14 |   1.5977 |     48.676 |   1.5878 |     49.385 |     0.8
   15 |   1.5671 |     47.676 |   1.5602 |     47.202 |     0.9
   16 |   1.5393 |     46.534 |   1.5327 |     47.202 |     1.0
   17 |   1.5155 |     46.171 |   1.5128 |     47.202 |     1.0
   18 |   1.4938 |     46.144 |   1.4925 |     47.202 |     1.1
   19 |   1.4759 |     46.089 |   1.4779 |     47.202 |     1.2
   20 |   1.4609 |     46.116 |   1.4646 |     47.202 |     1.2
   21 |   1.4465 |     46.039 |   1.4518 |     47.202 |     1.3
   22 |   1.4330 |     45.979 |   1.4396 |     47.232 |     1.3
   23 |   1.4189 |     45.814 |   1.4275 |     46.679 |     1.4
   24 |   1.4070 |     45.633 |   1.4167 |     46.648 |     1.5
   25 |   1.3953 |     45.468 |   1.4059 |     47.048 |     1.5
   26 |   1.3832 |     45.342 |   1.3931 |     46.648 |     1.6
   27 |   1.3711 |     45.040 |   1.3852 |     46.341 |     1.6
   28 |   1.3592 |     44.726 |   1.3744 |     46.218 |     1.7
   29 |   1.3483 |     44.474 |   1.3662 |     45.879 |     1.8
   30 |   1.3369 |     44.188 |   1.3591 |     45.480 |     1.8
   31 |   1.3267 |     43.765 |   1.3501 |     44.988 |     1.9
   32 |   1.3170 |     43.606 |   1.3432 |     44.988 |     1.9
   33 |   1.3064 |     43.194 |   1.3357 |     44.895 |     2.0
   34 |   1.2950 |     43.084 |   1.3266 |     44.680 |     2.1
   35 |   1.2861 |     42.892 |   1.3201 |     44.280 |     2.1
   36 |   1.2748 |     42.579 |   1.3202 |     44.526 |     2.2
   37 |   1.2658 |     42.150 |   1.3124 |     43.973 |     2.2
   38 |   1.2574 |     41.991 |   1.3073 |     44.034 |     2.3
   39 |   1.2497 |     41.661 |   1.3019 |     43.788 |     2.4
   40 |   1.2420 |     41.408 |   1.2949 |     43.573 |     2.4
   41 |   1.2344 |     41.057 |   1.2923 |     43.758 |     2.5
   42 |   1.2283 |     41.112 |   1.2894 |     43.389 |     2.5
   43 |   1.2190 |     40.815 |   1.2802 |     43.143 |     2.6
   44 |   1.2089 |     40.584 |   1.2774 |     43.327 |     2.7
   45 |   1.2032 |     40.354 |   1.2762 |     43.235 |     2.7
   46 |   1.1962 |     39.969 |   1.2716 |     42.958 |     2.8
   47 |   1.1899 |     40.123 |   1.2680 |     42.989 |     2.8
   48 |   1.1826 |     39.876 |   1.2635 |     42.743 |     2.9
   49 |   1.1745 |     39.585 |   1.2616 |     42.651 |     3.0
   50 |   1.1663 |     39.343 |   1.2561 |     42.712 |     3.0
   51 |   1.1600 |     39.283 |   1.2526 |     42.897 |     3.1
   52 |   1.1505 |     38.876 |   1.2507 |     42.435 |     3.1
   53 |   1.1473 |     38.843 |   1.2441 |     42.466 |     3.2
   54 |   1.1405 |     38.711 |   1.2442 |     41.851 |     3.3
   55 |   1.1317 |     38.420 |   1.2446 |     42.036 |     3.3
   56 |   1.1254 |     38.239 |   1.2378 |     41.574 |     3.4
   57 |   1.1188 |     37.744 |   1.2375 |     42.128 |     3.4
   58 |   1.1124 |     37.563 |   1.2343 |     41.574 |     3.5
   59 |   1.1056 |     37.008 |   1.2309 |     41.513 |     3.6
   60 |   1.1004 |     37.508 |   1.2223 |     41.267 |     3.6
   61 |   1.0913 |     36.844 |   1.2233 |     41.052 |     3.7
   62 |   1.0879 |     36.635 |   1.2252 |     41.298 |     3.7
   63 |   1.0797 |     36.574 |   1.2155 |     41.205 |     3.8
   64 |   1.0746 |     36.217 |   1.2189 |     40.344 |     3.9
   65 |   1.0680 |     36.025 |   1.2172 |     40.621 |     3.9
   66 |   1.0615 |     35.712 |   1.2119 |     40.314 |     4.0
   67 |   1.0548 |     35.240 |   1.2117 |     40.406 |     4.0
   68 |   1.0475 |     35.031 |   1.2097 |     40.160 |     4.1
   69 |   1.0445 |     35.124 |   1.2166 |     40.744 |     4.2
   70 |   1.0371 |     34.509 |   1.2172 |     40.006 |     4.2
   71 |   1.0366 |     34.981 |   1.2073 |     40.344 |     4.3
   72 |   1.0268 |     34.454 |   1.2039 |     39.145 |     4.3
   73 |   1.0218 |     33.976 |   1.2025 |     40.406 |     4.4
   74 |   1.0164 |     33.866 |   1.2059 |     39.268 |     4.5
   75 |   1.0113 |     33.773 |   1.1955 |     39.606 |     4.5
   76 |   1.0057 |     33.553 |   1.1961 |     39.453 |     4.6
   77 |   0.9957 |     33.240 |   1.1907 |     38.899 |     4.6
   78 |   0.9925 |     32.839 |   1.1912 |     39.545 |     4.7
   79 |   0.9897 |     32.921 |   1.1958 |     39.453 |     4.8
   80 |   0.9885 |     33.289 |   1.1916 |     39.237 |     4.8
   81 |   0.9834 |     32.702 |   1.1918 |     39.606 |     4.9
   82 |   0.9758 |     32.592 |   1.1898 |     39.422 |     4.9
   83 |   0.9722 |     32.465 |   1.1876 |     39.637 |     5.0
   84 |   0.9673 |     32.410 |   1.1872 |     39.360 |     5.1
   85 |   0.9607 |     32.103 |   1.1808 |     39.207 |     5.1
   86 |   0.9541 |     31.812 |   1.1826 |     38.868 |     5.2
   87 |   0.9482 |     31.411 |   1.1877 |     39.053 |     5.3
   88 |   0.9470 |     31.493 |   1.1779 |     38.991 |     5.3
   89 |   0.9420 |     31.098 |   1.1839 |     38.715 |     5.4
   90 |   0.9359 |     30.724 |   1.1777 |     38.530 |     5.4
   91 |   0.9316 |     30.697 |   1.1766 |     38.438 |     5.5
   92 |   0.9272 |     30.592 |   1.1751 |     38.930 |     5.6
   93 |   0.9194 |     30.235 |   1.1793 |     38.100 |     5.6
   94 |   0.9211 |     30.416 |   1.1723 |     37.854 |     5.7
   95 |   0.9106 |     29.757 |   1.1774 |     37.761 |     5.7
   96 |   0.9135 |     29.917 |   1.1716 |     37.515 |     5.8
   97 |   0.9072 |     29.603 |   1.1784 |     37.792 |     5.9
   98 |   0.9013 |     29.125 |   1.1780 |     37.362 |     5.9
   99 |   0.8946 |     28.972 |   1.1755 |     37.454 |     6.0
  100 |   0.8895 |     28.697 |   1.1644 |     37.269 |     6.0
  101 |   0.8818 |     28.532 |   1.1705 |     37.392 |     6.1
  102 |   0.8802 |     28.499 |   1.1732 |     36.870 |     6.2
  103 |   0.8763 |     28.186 |   1.1600 |     37.085 |     6.2
  104 |   0.8677 |     27.807 |   1.1689 |     37.515 |     6.3
  105 |   0.8660 |     27.659 |   1.1597 |     36.531 |     6.3
  106 |   0.8609 |     27.450 |   1.1591 |     36.624 |     6.4
  107 |   0.8564 |     27.626 |   1.1540 |     36.531 |     6.5
  108 |   0.8515 |     27.406 |   1.1595 |     36.747 |     6.5
  109 |   0.8476 |     27.044 |   1.1512 |     36.070 |     6.6
  110 |   0.8363 |     26.439 |   1.1466 |     36.470 |     6.6
  111 |   0.8388 |     27.164 |   1.1480 |     35.763 |     6.7
  112 |   0.8335 |     26.500 |   1.1617 |     35.886 |     6.8
  113 |   0.8263 |     26.428 |   1.1546 |     36.101 |     6.8
  114 |   0.8229 |     26.500 |   1.1442 |     35.763 |     6.9
  115 |   0.8147 |     25.851 |   1.1471 |     35.947 |     6.9
  116 |   0.8151 |     26.049 |   1.1470 |     36.070 |     7.0
  117 |   0.8111 |     26.104 |   1.1377 |     35.670 |     7.1
  118 |   0.8047 |     25.895 |   1.1339 |     35.670 |     7.1
  119 |   0.7999 |     25.423 |   1.1398 |     35.824 |     7.2
  120 |   0.7911 |     25.527 |   1.1369 |     35.332 |     7.2
  121 |   0.7918 |     25.423 |   1.1314 |     35.394 |     7.3
  122 |   0.7892 |     25.280 |   1.1286 |     35.547 |     7.4
  123 |   0.7803 |     25.110 |   1.1347 |     35.824 |     7.4
  124 |   0.7832 |     25.220 |   1.1232 |     34.779 |     7.5
  125 |   0.7779 |     25.165 |   1.1351 |     35.886 |     7.5
  126 |   0.7729 |     25.000 |   1.1322 |     35.701 |     7.6
  127 |   0.7671 |     24.918 |   1.1369 |     35.640 |     7.7
  128 |   0.7664 |     25.005 |   1.1305 |     35.455 |     7.7
Early stopping

Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 64
Descriptors dimension: 1136
Decoder embedding dimension: 128
Encoder hidden units: 128
Encoder layers: 3
Decoder hidden units: 128
Decoder layers: 4
Dropout: 0.1
Trainable parameters: 2,309,858

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.001
Weight decay: 0.0001
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
---------------------------------------------------------------
    1 |   2.3385 |     63.805 |   1.7291 |     49.385 |     0.1
    2 |   1.5228 |     46.753 |   1.4555 |     47.202 |     0.1
    3 |   1.4246 |     46.292 |   1.4207 |     47.048 |     0.2
    4 |   1.4058 |     46.226 |   1.4073 |     47.017 |     0.2
    5 |   1.3942 |     46.215 |   1.3949 |     46.956 |     0.3
    6 |   1.3694 |     45.836 |   1.3742 |     46.218 |     0.4
    7 |   1.3415 |     45.023 |   1.3305 |     44.865 |     0.4
    8 |   1.2977 |     44.040 |   1.2845 |     44.280 |     0.5
    9 |   1.2656 |     43.227 |   1.2891 |     44.096 |     0.6
   10 |   1.2478 |     42.562 |   1.2610 |     43.112 |     0.6
   11 |   1.2379 |     42.414 |   1.2586 |     43.665 |     0.7
   12 |   1.2146 |     41.408 |   1.2407 |     41.974 |     0.7
   13 |   1.2035 |     41.216 |   1.2154 |     41.544 |     0.8
   14 |   1.1862 |     40.557 |   1.2222 |     42.005 |     0.9
   15 |   1.1702 |     40.381 |   1.2090 |     41.544 |     0.9
   16 |   1.1589 |     39.837 |   1.1849 |     40.775 |     1.0
   17 |   1.1357 |     39.074 |   1.1716 |     40.344 |     1.0
   18 |   1.1229 |     38.519 |   1.1637 |     39.514 |     1.1
   19 |   1.0968 |     37.437 |   1.1407 |     39.022 |     1.2
   20 |   1.0842 |     36.975 |   1.1372 |     39.975 |     1.2
   21 |   1.0596 |     35.849 |   1.1325 |     38.622 |     1.3
   22 |   1.1030 |     37.618 |   1.1622 |     39.975 |     1.4
   23 |   1.0903 |     37.321 |   1.1246 |     38.007 |     1.4
   24 |   1.0534 |     35.998 |   1.1110 |     37.392 |     1.5
   25 |   1.0303 |     35.690 |   1.1100 |     37.546 |     1.5
   26 |   1.0077 |     34.602 |   1.0936 |     37.546 |     1.6
   27 |   0.9762 |     33.311 |   1.0884 |     36.132 |     1.7
   28 |   0.9663 |     33.037 |   1.0728 |     36.470 |     1.7
   29 |   0.9541 |     32.680 |   1.0913 |     36.870 |     1.8
   30 |   0.9341 |     31.784 |   1.0751 |     35.240 |     1.8
   31 |   0.9280 |     31.894 |   1.0613 |     35.517 |     1.9
   32 |   0.9074 |     30.719 |   1.0481 |     34.348 |     2.0
   33 |   0.8929 |     30.312 |   1.0458 |     34.748 |     2.0
   34 |   0.8845 |     30.213 |   1.0377 |     34.010 |     2.1
   35 |   0.8771 |     29.906 |   1.0310 |     33.610 |     2.1
   36 |   0.8480 |     28.823 |   1.0166 |     34.041 |     2.2
   37 |   0.8318 |     28.444 |   1.0188 |     33.241 |     2.3
   38 |   0.8175 |     27.741 |   1.0297 |     33.210 |     2.3
   39 |   0.8101 |     27.554 |   1.0224 |     32.595 |     2.4
   40 |   0.7957 |     27.263 |   1.0287 |     33.979 |     2.5
Early stopping

Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 64
Descriptors dimension: 1136
Decoder embedding dimension: 64
Encoder hidden units: 64
Encoder layers: 4
Decoder hidden units: 64
Decoder layers: 2
Dropout: 0.0
Trainable parameters: 860,514

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.001
Weight decay: 0.0001
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
---------------------------------------------------------------
    1 |   2.5178 |     65.574 |   2.0375 |     58.487 |     0.0
    2 |   1.7791 |     50.791 |   1.5972 |     47.202 |     0.1
    3 |   1.5055 |     46.050 |   1.4689 |     47.048 |     0.1
    4 |   1.4236 |     45.138 |   1.4134 |     45.264 |     0.1
    5 |   1.3752 |     43.957 |   1.3735 |     45.295 |     0.2
    6 |   1.3316 |     43.265 |   1.3387 |     44.649 |     0.2
    7 |   1.2974 |     42.447 |   1.3167 |     44.065 |     0.2
    8 |   1.2603 |     41.244 |   1.2806 |     43.112 |     0.2
    9 |   1.2312 |     40.584 |   1.2493 |     41.021 |     0.3
   10 |   1.1990 |     39.387 |   1.2415 |     41.205 |     0.3
   11 |   1.1587 |     37.981 |   1.2124 |     39.576 |     0.3
   12 |   1.1324 |     36.849 |   1.1939 |     38.653 |     0.4
   13 |   1.1055 |     36.377 |   1.1746 |     37.731 |     0.4
   14 |   1.0777 |     35.410 |   1.1577 |     36.777 |     0.4
   15 |   1.0434 |     33.993 |   1.1431 |     36.962 |     0.4
   16 |   1.0226 |     33.245 |   1.1285 |     35.855 |     0.5
   17 |   0.9979 |     32.394 |   1.1209 |     35.824 |     0.5
   18 |   0.9769 |     31.872 |   1.1050 |     35.947 |     0.5
   19 |   0.9461 |     30.631 |   1.1014 |     35.271 |     0.6
   20 |   0.9224 |     29.862 |   1.0767 |     34.563 |     0.6
   21 |   0.8998 |     29.103 |   1.0833 |     34.717 |     0.6
   22 |   0.8723 |     27.802 |   1.0699 |     33.272 |     0.7
   23 |   0.8413 |     26.928 |   1.0609 |     33.702 |     0.7
   24 |   0.8321 |     26.928 |   1.0576 |     32.657 |     0.7
   25 |   0.8125 |     26.621 |   1.0334 |     32.472 |     0.7
   26 |   0.8221 |     26.747 |   1.0571 |     32.964 |     0.8
   27 |   0.7676 |     24.846 |   1.0505 |     33.087 |     0.8
   28 |   0.7513 |     24.385 |   1.0401 |     33.026 |     0.8
   29 |   0.7237 |     23.094 |   1.0376 |     32.811 |     0.9
   30 |   0.7175 |     23.050 |   1.0328 |     31.919 |     0.9
   31 |   0.7009 |     22.457 |   1.0058 |     32.688 |     0.9
   32 |   0.6845 |     21.874 |   1.0353 |     32.042 |     1.0
   33 |   0.6682 |     21.517 |   1.0485 |     32.411 |     1.0
   34 |   0.6449 |     20.726 |   1.0154 |     31.765 |     1.0
   35 |   0.6348 |     20.506 |   1.0497 |     32.257 |     1.0
Early stopping

Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 128
Descriptors dimension: 1136
Decoder embedding dimension: 128
Encoder hidden units: 32
Encoder layers: 3
Decoder hidden units: 128
Decoder layers: 4
Dropout: 0.0
Trainable parameters: 802,050

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.001
Weight decay: 0.0001
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
---------------------------------------------------------------
    1 |   2.2887 |     62.651 |   1.6632 |     49.508 |     0.0
    2 |   1.4931 |     46.451 |   1.4372 |     47.755 |     0.0
    3 |   1.4061 |     46.056 |   1.4036 |     46.064 |     0.0
    4 |   1.3628 |     45.594 |   1.3537 |     46.218 |     0.1
    5 |   1.3151 |     44.913 |   1.3197 |     45.111 |     0.1
    6 |   1.2684 |     43.348 |   1.2682 |     43.942 |     0.1
    7 |   1.2288 |     42.112 |   1.2327 |     42.312 |     0.1
    8 |   1.1846 |     40.222 |   1.2147 |     42.466 |     0.1
    9 |   1.1491 |     39.299 |   1.2004 |     41.974 |     0.1
   10 |   1.1183 |     38.387 |   1.1733 |     40.129 |     0.2
   11 |   1.0792 |     36.822 |   1.1541 |     39.176 |     0.2
   12 |   1.0392 |     35.179 |   1.1227 |     38.315 |     0.2
   13 |   0.9965 |     33.476 |   1.1082 |     37.269 |     0.2
   14 |   0.9627 |     32.339 |   1.0887 |     35.670 |     0.2
   15 |   0.9222 |     30.389 |   1.0971 |     35.486 |     0.2
   16 |   0.8921 |     29.515 |   1.0915 |     35.424 |     0.3
   17 |   0.8600 |     28.587 |   1.0674 |     34.164 |     0.3
   18 |   0.8268 |     27.126 |   1.0558 |     35.055 |     0.3
   19 |   0.7958 |     26.082 |   1.0487 |     32.964 |     0.3
   20 |   0.7560 |     24.621 |   1.0366 |     32.380 |     0.3
   21 |   0.7315 |     23.868 |   1.0493 |     32.226 |     0.3
   22 |   0.6941 |     22.462 |   1.0413 |     31.950 |     0.4
   23 |   0.6743 |     21.193 |   1.0591 |     31.827 |     0.4
   24 |   0.6385 |     20.281 |   1.0520 |     31.611 |     0.4
   25 |   0.6001 |     18.902 |   1.0226 |     30.412 |     0.4
   26 |   0.5790 |     18.188 |   1.0717 |     31.335 |     0.4
   27 |   0.5671 |     17.919 |   1.0405 |     31.150 |     0.4
   28 |   0.5381 |     17.167 |   1.0357 |     30.197 |     0.5
   29 |   0.5094 |     16.205 |   1.0672 |     30.197 |     0.5
Early stopping

Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 128
Descriptors dimension: 1136
Decoder embedding dimension: 64
Encoder hidden units: 32
Encoder layers: 4
Decoder hidden units: 128
Decoder layers: 4
Dropout: 0.2
Trainable parameters: 852,130

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.001
Weight decay: 1e-05
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
---------------------------------------------------------------
    1 |   2.3166 |     63.129 |   1.6905 |     49.385 |     0.0
    2 |   1.5106 |     46.451 |   1.4552 |     47.202 |     0.0
    3 |   1.4185 |     46.336 |   1.4132 |     47.202 |     0.1
    4 |   1.3902 |     46.325 |   1.3919 |     46.740 |     0.1
    5 |   1.3582 |     45.281 |   1.3437 |     45.695 |     0.1
    6 |   1.3189 |     44.056 |   1.3209 |     44.004 |     0.1
    7 |   1.2948 |     43.441 |   1.3030 |     43.573 |     0.2
    8 |   1.2660 |     42.875 |   1.2719 |     43.296 |     0.2
    9 |   1.2360 |     41.672 |   1.2537 |     42.589 |     0.2
   10 |   1.2113 |     41.216 |   1.2287 |     41.759 |     0.2
   11 |   1.1862 |     40.134 |   1.2322 |     41.728 |     0.3
   12 |   1.1624 |     39.431 |   1.2076 |     41.205 |     0.3
   13 |   1.1309 |     38.288 |   1.1922 |     40.775 |     0.3
   14 |   1.1127 |     37.959 |   1.1860 |     39.975 |     0.3
   15 |   1.0879 |     37.332 |   1.1688 |     39.391 |     0.3
   16 |   1.0655 |     36.162 |   1.1526 |     38.376 |     0.4
   17 |   1.0387 |     35.091 |   1.1206 |     37.854 |     0.4
   18 |   1.0029 |     33.405 |   1.1223 |     37.054 |     0.4
   19 |   0.9858 |     33.042 |   1.1045 |     36.039 |     0.4
   20 |   0.9578 |     31.949 |   1.1019 |     36.654 |     0.5
   21 |   0.9326 |     30.872 |   1.0840 |     35.301 |     0.5
   22 |   0.9138 |     30.389 |   1.0942 |     35.824 |     0.5
   23 |   0.8910 |     29.768 |   1.0651 |     34.317 |     0.5
   24 |   0.8648 |     28.318 |   1.0541 |     33.948 |     0.5
   25 |   0.8460 |     27.950 |   1.0428 |     33.579 |     0.6
   26 |   0.8265 |     27.395 |   1.0589 |     34.225 |     0.6
   27 |   0.8097 |     26.692 |   1.0538 |     33.702 |     0.6
   28 |   0.8058 |     26.714 |   1.0484 |     33.333 |     0.6
   29 |   0.7845 |     25.879 |   1.0320 |     33.272 |     0.7
   30 |   0.7539 |     24.621 |   1.0310 |     32.565 |     0.7
   31 |   0.7391 |     24.214 |   1.0249 |     32.749 |     0.7
   32 |   0.7256 |     23.632 |   1.0263 |     32.811 |     0.7
   33 |   0.7060 |     23.094 |   1.0218 |     32.595 |     0.8
   34 |   0.6922 |     22.836 |   1.0305 |     32.226 |     0.8
   35 |   0.6722 |     21.968 |   1.0225 |     31.150 |     0.8
   36 |   0.6575 |     21.396 |   1.0160 |     31.427 |     0.8
   37 |   0.6481 |     21.193 |   1.0149 |     31.181 |     0.8
   38 |   0.6323 |     20.809 |   1.0212 |     30.812 |     0.9
   39 |   0.6199 |     20.298 |   1.0289 |     31.058 |     0.9
   40 |   0.6057 |     20.073 |   1.0288 |     31.150 |     0.9
   41 |   0.5904 |     19.221 |   1.0226 |     30.627 |     0.9
   42 |   0.5710 |     18.441 |   1.0024 |     29.705 |     1.0
   43 |   0.5649 |     18.540 |   1.0094 |     29.674 |     1.0
   44 |   0.5606 |     18.315 |   1.0073 |     30.043 |     1.0
   45 |   0.5511 |     18.205 |   1.0368 |     29.982 |     1.0
   46 |   0.5358 |     17.815 |   1.0189 |     29.674 |     1.0
Early stopping

Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 128
Descriptors dimension: 1136
Decoder embedding dimension: 64
Encoder hidden units: 32
Encoder layers: 2
Decoder hidden units: 128
Decoder layers: 2
Dropout: 0.0
Trainable parameters: 419,938

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.0001
Weight decay: 0.0001
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
---------------------------------------------------------------
    1 |   3.3050 |     82.476 |   2.7647 |     78.290 |     0.0
    2 |   2.4364 |     62.052 |   2.1913 |     56.796 |     0.0
    3 |   2.0331 |     54.971 |   1.9334 |     50.215 |     0.0
    4 |   1.8352 |     48.429 |   1.7780 |     49.231 |     0.0
    5 |   1.6984 |     48.209 |   1.6611 |     49.077 |     0.1
    6 |   1.5917 |     47.347 |   1.5697 |     46.894 |     0.1
    7 |   1.5143 |     45.539 |   1.5088 |     46.341 |     0.1
    8 |   1.4598 |     44.710 |   1.4635 |     45.695 |     0.1
    9 |   1.4184 |     44.194 |   1.4278 |     45.172 |     0.1
   10 |   1.3849 |     43.386 |   1.4010 |     44.742 |     0.1
   11 |   1.3546 |     42.447 |   1.3755 |     43.973 |     0.1
   12 |   1.3278 |     41.941 |   1.3519 |     43.204 |     0.2
   13 |   1.3047 |     41.249 |   1.3404 |     42.528 |     0.2
   14 |   1.2831 |     40.661 |   1.3161 |     41.820 |     0.2
   15 |   1.2620 |     39.744 |   1.2988 |     41.697 |     0.2
   16 |   1.2437 |     39.277 |   1.2854 |     40.775 |     0.2
   17 |   1.2271 |     38.629 |   1.2695 |     40.713 |     0.2
   18 |   1.2092 |     38.129 |   1.2651 |     40.406 |     0.2
   19 |   1.1942 |     37.711 |   1.2494 |     40.160 |     0.2
   20 |   1.1790 |     37.267 |   1.2421 |     39.883 |     0.3
   21 |   1.1668 |     37.140 |   1.2308 |     39.883 |     0.3
   22 |   1.1522 |     36.596 |   1.2179 |     39.852 |     0.3
   23 |   1.1387 |     36.256 |   1.2078 |     39.729 |     0.3
   24 |   1.1255 |     35.943 |   1.2005 |     39.822 |     0.3
   25 |   1.1125 |     35.415 |   1.1894 |     39.053 |     0.3
   26 |   1.1001 |     35.261 |   1.1795 |     38.346 |     0.3
   27 |   1.0861 |     34.817 |   1.1731 |     38.376 |     0.3
   28 |   1.0749 |     34.388 |   1.1627 |     38.376 |     0.4
   29 |   1.0629 |     33.971 |   1.1546 |     38.376 |     0.4
   30 |   1.0518 |     33.613 |   1.1485 |     37.915 |     0.4
   31 |   1.0398 |     33.152 |   1.1384 |     37.638 |     0.4
   32 |   1.0292 |     32.877 |   1.1362 |     37.761 |     0.4
   33 |   1.0169 |     32.432 |   1.1292 |     37.269 |     0.4
   34 |   1.0051 |     32.075 |   1.1221 |     36.900 |     0.4
   35 |   0.9970 |     31.663 |   1.1161 |     37.269 |     0.4
   36 |   0.9842 |     31.411 |   1.1136 |     36.993 |     0.5
   37 |   0.9746 |     31.081 |   1.1022 |     36.101 |     0.5
   38 |   0.9631 |     30.806 |   1.0948 |     36.193 |     0.5
   39 |   0.9516 |     30.312 |   1.0949 |     35.240 |     0.5
   40 |   0.9420 |     29.944 |   1.0805 |     35.701 |     0.5
   41 |   0.9325 |     29.680 |   1.0785 |     35.394 |     0.5
   42 |   0.9219 |     29.329 |   1.0730 |     35.332 |     0.5
   43 |   0.9138 |     28.779 |   1.0674 |     34.902 |     0.5
   44 |   0.9028 |     28.532 |   1.0670 |     35.117 |     0.6
   45 |   0.8942 |     28.043 |   1.0584 |     34.686 |     0.6
   46 |   0.8864 |     27.950 |   1.0537 |     34.317 |     0.6
   47 |   0.8758 |     27.703 |   1.0494 |     34.502 |     0.6
   48 |   0.8673 |     27.131 |   1.0518 |     34.256 |     0.6
   49 |   0.8598 |     27.159 |   1.0483 |     34.133 |     0.6
   50 |   0.8517 |     26.758 |   1.0382 |     33.979 |     0.6
   51 |   0.8393 |     26.187 |   1.0423 |     33.979 |     0.6
   52 |   0.8316 |     25.983 |   1.0302 |     33.610 |     0.7
   53 |   0.8231 |     25.753 |   1.0256 |     33.395 |     0.7
   54 |   0.8162 |     25.522 |   1.0306 |     33.180 |     0.7
   55 |   0.8076 |     25.159 |   1.0279 |     33.426 |     0.7
   56 |   0.8002 |     24.753 |   1.0206 |     32.626 |     0.7
   57 |   0.7937 |     24.626 |   1.0177 |     32.349 |     0.7
   58 |   0.7832 |     24.319 |   1.0119 |     32.380 |     0.7
   59 |   0.7761 |     24.154 |   1.0088 |     32.042 |     0.7
   60 |   0.7684 |     23.813 |   1.0082 |     31.642 |     0.8
   61 |   0.7605 |     23.412 |   1.0113 |     31.980 |     0.8
   62 |   0.7526 |     23.303 |   1.0081 |     32.349 |     0.8
   63 |   0.7451 |     22.869 |   1.0032 |     31.611 |     0.8
   64 |   0.7390 |     22.594 |   1.0037 |     31.734 |     0.8
   65 |   0.7310 |     22.413 |   1.0048 |     31.581 |     0.8
