Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 128
Descriptors dimension: 1136
Decoder embedding dimension: 64
Encoder hidden units: 32
Encoder layers: 2
Decoder hidden units: 64
Decoder layers: 2
Dropout: 0.1
Trainable parameters: 236,514

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.0001
Weight decay: 0.0001
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
   82 |   0.9267 |     29.598 |   1.0915 |     36.285 |     1.0
   83 |   0.9225 |     29.658 |   1.0858 |     35.670 |     1.1
   84 |   0.9174 |     29.312 |   1.0960 |     35.578 |     1.1
   85 |   0.9134 |     29.186 |   1.0829 |     35.455 |     1.1
   86 |   0.9068 |     29.114 |   1.0809 |     35.424 |     1.1
   87 |   0.9033 |     28.554 |   1.0751 |     35.301 |     1.1
   88 |   0.8975 |     28.582 |   1.0759 |     35.209 |     1.1
   89 |   0.8918 |     28.455 |   1.0696 |     35.609 |     1.1
   90 |   0.8848 |     27.983 |   1.0684 |     34.717 |     1.1
   91 |   0.8811 |     28.054 |   1.0667 |     35.117 |     1.2
   92 |   0.8746 |     27.840 |   1.0681 |     35.148 |     1.2
   93 |   0.8693 |     27.477 |   1.0688 |     34.932 |     1.2
   94 |   0.8663 |     27.450 |   1.0608 |     34.656 |     1.2
   95 |   0.8617 |     27.208 |   1.0549 |     34.779 |     1.2
   96 |   0.8576 |     27.120 |   1.0528 |     34.071 |     1.2
   97 |   0.8535 |     27.022 |   1.0549 |     34.840 |     1.2
   98 |   0.8476 |     26.840 |   1.0533 |     33.887 |     1.3
   99 |   0.8408 |     26.445 |   1.0505 |     34.256 |     1.3
  100 |   0.8352 |     26.044 |   1.0482 |     34.164 |     1.3
  101 |   0.8325 |     26.450 |   1.0398 |     33.672 |     1.3
  102 |   0.8272 |     26.291 |   1.0471 |     33.887 |     1.3
  103 |   0.8261 |     26.005 |   1.0460 |     33.825 |     1.3
  104 |   0.8194 |     25.615 |   1.0395 |     33.579 |     1.3
  105 |   0.8160 |     25.533 |   1.0388 |     33.272 |     1.3
  106 |   0.8091 |     25.549 |   1.0395 |     33.395 |     1.4
  107 |   0.8061 |     25.582 |   1.0369 |     33.333 |     1.4
  108 |   0.8042 |     25.621 |   1.0391 |     33.641 |     1.4
  109 |   0.7975 |     24.989 |   1.0379 |     33.426 |     1.4
  110 |   0.7905 |     24.813 |   1.0342 |     33.333 |     1.4
  111 |   0.7888 |     24.676 |   1.0300 |     33.364 |     1.4
  112 |   0.7819 |     24.577 |   1.0290 |     32.903 |     1.4
  113 |   0.7795 |     24.434 |   1.0294 |     33.057 |     1.4
  114 |   0.7758 |     24.462 |   1.0294 |     33.210 |     1.5
  115 |   0.7728 |     24.308 |   1.0251 |     33.118 |     1.5
  116 |   0.7662 |     24.116 |   1.0283 |     32.995 |     1.5
  117 |   0.7642 |     23.830 |   1.0240 |     32.688 |     1.5
  118 |   0.7588 |     23.984 |   1.0242 |     32.657 |     1.5
  119 |   0.7566 |     23.605 |   1.0228 |     32.503 |     1.5
  120 |   0.7522 |     23.528 |   1.0164 |     32.995 |     1.5
  121 |   0.7491 |     23.572 |   1.0208 |     33.026 |     1.5
  122 |   0.7466 |     23.693 |   1.0154 |     32.964 |     1.6
  123 |   0.7423 |     23.440 |   1.0173 |     32.565 |     1.6
  124 |   0.7370 |     22.946 |   1.0181 |     32.319 |     1.6
  125 |   0.7337 |     22.940 |   1.0156 |     32.380 |     1.6
  126 |   0.7277 |     22.803 |   1.0164 |     32.380 |     1.6
Early stopping

Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 64
Descriptors dimension: 1136
Decoder embedding dimension: 128
Encoder hidden units: 128
Encoder layers: 2
Decoder hidden units: 64
Decoder layers: 3
Dropout: 0.1
Trainable parameters: 1,141,730

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.0001
Weight decay: 0.0001
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
---------------------------------------------------------------
    1 |   3.4029 |     86.986 |   3.0889 |     80.966 |     0.0
    2 |   2.8164 |     78.961 |   2.6335 |     67.651 |     0.1
    3 |   2.5082 |     62.788 |   2.3915 |     59.317 |     0.1
    4 |   2.3028 |     58.597 |   2.2227 |     59.317 |     0.2
    5 |   2.1630 |     57.696 |   2.1087 |     58.579 |     0.2
    6 |   2.0586 |     56.801 |   2.0159 |     57.442 |     0.2
    7 |   1.9712 |     53.878 |   1.9360 |     48.893 |     0.3
    8 |   1.8944 |     49.874 |   1.8670 |     49.416 |     0.3
    9 |   1.8281 |     49.297 |   1.8070 |     49.385 |     0.4
   10 |   1.7699 |     48.918 |   1.7543 |     49.446 |     0.4
   11 |   1.7177 |     48.704 |   1.7045 |     49.385 |     0.4
   12 |   1.6705 |     48.638 |   1.6588 |     49.385 |     0.5
   13 |   1.6253 |     47.610 |   1.6184 |     47.202 |     0.5
   14 |   1.5879 |     46.188 |   1.5838 |     47.202 |     0.6
   15 |   1.5566 |     46.072 |   1.5570 |     47.202 |     0.6
   16 |   1.5316 |     46.105 |   1.5317 |     47.202 |     0.6
   17 |   1.5097 |     46.067 |   1.5126 |     47.202 |     0.7
   18 |   1.4901 |     46.050 |   1.4944 |     47.232 |     0.7
   19 |   1.4740 |     45.990 |   1.4784 |     47.263 |     0.8
   20 |   1.4583 |     45.962 |   1.4670 |     47.079 |     0.8
   21 |   1.4454 |     45.973 |   1.4549 |     47.048 |     0.8
   22 |   1.4339 |     45.913 |   1.4448 |     47.109 |     0.9
   23 |   1.4214 |     45.754 |   1.4336 |     47.171 |     0.9
   24 |   1.4105 |     45.424 |   1.4246 |     46.802 |     1.0
   25 |   1.3991 |     45.149 |   1.4147 |     46.648 |     1.0
   26 |   1.3888 |     44.935 |   1.4028 |     46.494 |     1.0
   27 |   1.3761 |     44.628 |   1.3957 |     46.525 |     1.1
   28 |   1.3660 |     44.699 |   1.3829 |     46.617 |     1.1
   29 |   1.3528 |     44.507 |   1.3728 |     45.787 |     1.2
   30 |   1.3422 |     44.106 |   1.3658 |     45.480 |     1.2
   31 |   1.3316 |     43.529 |   1.3565 |     45.203 |     1.2
   32 |   1.3211 |     43.293 |   1.3503 |     44.988 |     1.3
   33 |   1.3111 |     43.133 |   1.3420 |     44.557 |     1.3
   34 |   1.3025 |     42.760 |   1.3322 |     44.526 |     1.4
   35 |   1.2917 |     42.480 |   1.3263 |     44.127 |     1.4
   36 |   1.2819 |     42.298 |   1.3213 |     44.311 |     1.4
   37 |   1.2727 |     42.035 |   1.3147 |     43.758 |     1.5
   38 |   1.2616 |     41.557 |   1.3144 |     43.819 |     1.5
   39 |   1.2529 |     41.414 |   1.3039 |     43.973 |     1.6
   40 |   1.2430 |     41.128 |   1.3002 |     43.358 |     1.6
   41 |   1.2338 |     40.694 |   1.2925 |     42.835 |     1.6
   42 |   1.2241 |     40.480 |   1.2968 |     43.173 |     1.7
   43 |   1.2159 |     40.096 |   1.2814 |     42.497 |     1.7
   44 |   1.2044 |     39.546 |   1.2810 |     42.097 |     1.8
   45 |   1.1970 |     39.228 |   1.2761 |     42.405 |     1.8
   46 |   1.1873 |     38.816 |   1.2707 |     42.620 |     1.8
   47 |   1.1808 |     38.667 |   1.2623 |     42.005 |     1.9
   48 |   1.1687 |     38.244 |   1.2569 |     41.421 |     1.9
   49 |   1.1620 |     37.970 |   1.2533 |     41.820 |     2.0
   50 |   1.1547 |     37.690 |   1.2507 |     40.683 |     2.0
   51 |   1.1447 |     37.596 |   1.2409 |     41.113 |     2.0
   52 |   1.1365 |     37.283 |   1.2372 |     41.298 |     2.1
   53 |   1.1271 |     36.887 |   1.2314 |     40.621 |     2.1
   54 |   1.1225 |     36.805 |   1.2325 |     41.021 |     2.2
   55 |   1.1112 |     36.135 |   1.2340 |     41.267 |     2.2
   56 |   1.1048 |     36.223 |   1.2258 |     40.990 |     2.2
   57 |   1.0972 |     35.745 |   1.2244 |     41.236 |     2.3
   58 |   1.0884 |     35.476 |   1.2173 |     40.344 |     2.3
   59 |   1.0791 |     35.278 |   1.2108 |     40.283 |     2.3
   60 |   1.0717 |     34.849 |   1.2107 |     40.068 |     2.4
   61 |   1.0653 |     34.877 |   1.2021 |     40.221 |     2.4
   62 |   1.0592 |     34.751 |   1.1996 |     39.791 |     2.5
   63 |   1.0523 |     34.586 |   1.1999 |     39.668 |     2.5
   64 |   1.0437 |     34.322 |   1.1955 |     39.852 |     2.5
   65 |   1.0368 |     33.921 |   1.1876 |     39.268 |     2.6
   66 |   1.0312 |     33.756 |   1.1904 |     39.668 |     2.6
   67 |   1.0229 |     33.586 |   1.1848 |     40.037 |     2.7
   68 |   1.0131 |     32.976 |   1.1890 |     39.330 |     2.7
   69 |   1.0071 |     32.789 |   1.1762 |     39.268 |     2.7
   70 |   1.0018 |     32.768 |   1.1809 |     39.176 |     2.8
   71 |   0.9972 |     32.608 |   1.1822 |     39.207 |     2.8
   72 |   0.9890 |     32.273 |   1.1750 |     38.592 |     2.9
   73 |   0.9836 |     32.097 |   1.1762 |     38.807 |     2.9
   74 |   0.9782 |     32.064 |   1.1688 |     38.868 |     2.9
   75 |   0.9696 |     31.916 |   1.1630 |     38.930 |     3.0
   76 |   0.9662 |     31.680 |   1.1591 |     38.253 |     3.0
   77 |   0.9612 |     31.564 |   1.1660 |     38.223 |     3.1
   78 |   0.9526 |     31.273 |   1.1593 |     38.161 |     3.1
   79 |   0.9451 |     30.680 |   1.1605 |     38.007 |     3.1
   80 |   0.9420 |     30.658 |   1.1549 |     37.669 |     3.2
   81 |   0.9346 |     30.592 |   1.1488 |     37.577 |     3.2
   82 |   0.9294 |     30.290 |   1.1502 |     37.915 |     3.3
   83 |   0.9236 |     29.949 |   1.1514 |     37.146 |     3.3
   84 |   0.9174 |     30.103 |   1.1520 |     37.146 |     3.3
   85 |   0.9097 |     29.614 |   1.1476 |     37.054 |     3.4
   86 |   0.9049 |     29.180 |   1.1554 |     36.839 |     3.4
   87 |   0.9030 |     29.158 |   1.1459 |     36.777 |     3.5
   88 |   0.8946 |     28.801 |   1.1493 |     36.993 |     3.5
   89 |   0.8878 |     28.675 |   1.1412 |     36.839 |     3.5
   90 |   0.8840 |     28.483 |   1.1356 |     36.562 |     3.6
   91 |   0.8783 |     27.939 |   1.1386 |     36.255 |     3.6
   92 |   0.8740 |     27.939 |   1.1307 |     36.009 |     3.7
   93 |   0.8671 |     27.714 |   1.1318 |     35.763 |     3.7
   94 |   0.8646 |     27.554 |   1.1441 |     35.978 |     3.7
   95 |   0.8611 |     27.439 |   1.1350 |     35.670 |     3.8
   96 |   0.8548 |     27.241 |   1.1422 |     35.332 |     3.8
Early stopping

Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 128
Descriptors dimension: 1136
Decoder embedding dimension: 64
Encoder hidden units: 128
Encoder layers: 4
Decoder hidden units: 128
Decoder layers: 3
Dropout: 0.1
Trainable parameters: 2,932,258

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.0001
Weight decay: 0.0001
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
---------------------------------------------------------------
    1 |   3.1004 |     85.393 |   2.6421 |     67.681 |     0.1
    2 |   2.3990 |     60.305 |   2.1971 |     59.317 |     0.2
    3 |   2.0918 |     56.323 |   1.9948 |     55.197 |     0.2
    4 |   1.9289 |     52.527 |   1.8653 |     49.385 |     0.3
    5 |   1.8079 |     48.841 |   1.7570 |     49.385 |     0.4
    6 |   1.7026 |     48.649 |   1.6662 |     49.385 |     0.5
    7 |   1.6199 |     48.566 |   1.5969 |     47.355 |     0.6
    8 |   1.5583 |     46.237 |   1.5452 |     47.202 |     0.7
    9 |   1.5151 |     46.160 |   1.5088 |     47.202 |     0.7
   10 |   1.4843 |     46.248 |   1.4838 |     47.202 |     0.8
   11 |   1.4617 |     46.160 |   1.4656 |     47.202 |     0.9
   12 |   1.4449 |     46.204 |   1.4487 |     47.202 |     1.0
   13 |   1.4299 |     46.215 |   1.4370 |     47.202 |     1.1
   14 |   1.4165 |     46.204 |   1.4240 |     47.202 |     1.2
   15 |   1.4007 |     46.122 |   1.4098 |     47.017 |     1.2
   16 |   1.3840 |     45.572 |   1.3980 |     46.218 |     1.3
   17 |   1.3677 |     44.924 |   1.3817 |     45.941 |     1.4
   18 |   1.3523 |     44.303 |   1.3672 |     45.264 |     1.5
   19 |   1.3381 |     43.985 |   1.3593 |     45.295 |     1.6
   20 |   1.3211 |     43.677 |   1.3478 |     45.387 |     1.7
   21 |   1.3060 |     43.419 |   1.3344 |     45.234 |     1.7
   22 |   1.2909 |     42.985 |   1.3253 |     44.803 |     1.8
   23 |   1.2756 |     42.666 |   1.3173 |     44.526 |     1.9
   24 |   1.2610 |     41.947 |   1.3080 |     44.188 |     2.0
   25 |   1.2443 |     41.128 |   1.2962 |     43.635 |     2.1
   26 |   1.2266 |     41.035 |   1.2873 |     43.081 |     2.2
   27 |   1.2120 |     40.376 |   1.2761 |     42.743 |     2.2
   28 |   1.1938 |     39.865 |   1.2600 |     42.312 |     2.3
   29 |   1.1762 |     39.255 |   1.2560 |     42.528 |     2.4
   30 |   1.1614 |     38.376 |   1.2482 |     41.759 |     2.5
   31 |   1.1457 |     37.613 |   1.2408 |     41.421 |     2.6
   32 |   1.1312 |     37.310 |   1.2325 |     40.929 |     2.6
   33 |   1.1155 |     36.607 |   1.2231 |     40.959 |     2.7
   34 |   1.0995 |     35.998 |   1.2173 |     40.590 |     2.8
   35 |   1.0861 |     35.355 |   1.2160 |     40.652 |     2.9
   36 |   1.0719 |     34.849 |   1.2070 |     39.760 |     3.0
   37 |   1.0534 |     34.212 |   1.1981 |     39.053 |     3.1
   38 |   1.0404 |     33.509 |   1.1978 |     39.668 |     3.1
   39 |   1.0250 |     33.141 |   1.1832 |     38.684 |     3.2
   40 |   1.0113 |     32.152 |   1.1814 |     38.376 |     3.3
   41 |   0.9962 |     31.592 |   1.1782 |     37.515 |     3.4
   42 |   0.9831 |     31.032 |   1.1674 |     38.192 |     3.5
   43 |   0.9695 |     30.378 |   1.1561 |     36.347 |     3.6
   44 |   0.9538 |     29.971 |   1.1520 |     36.562 |     3.6
   45 |   0.9412 |     29.213 |   1.1499 |     35.793 |     3.7
   46 |   0.9258 |     28.598 |   1.1440 |     36.070 |     3.8
   47 |   0.9117 |     28.285 |   1.1283 |     35.517 |     3.9
   48 |   0.8999 |     27.686 |   1.1333 |     35.701 |     4.0
   49 |   0.8851 |     27.423 |   1.1213 |     34.963 |     4.0
   50 |   0.8741 |     26.972 |   1.1201 |     34.994 |     4.1
   51 |   0.8618 |     26.571 |   1.1192 |     34.533 |     4.2
   52 |   0.8460 |     26.066 |   1.1143 |     34.748 |     4.3
   53 |   0.8346 |     25.731 |   1.1198 |     34.348 |     4.4
   54 |   0.8266 |     25.731 |   1.1027 |     35.025 |     4.5
   55 |   0.8150 |     25.258 |   1.1056 |     33.948 |     4.5
   56 |   0.8033 |     24.841 |   1.0993 |     33.518 |     4.6
   57 |   0.7894 |     24.659 |   1.1122 |     33.672 |     4.7
   58 |   0.7775 |     24.198 |   1.1014 |     33.733 |     4.8
   59 |   0.7667 |     23.726 |   1.0925 |     33.764 |     4.9
   60 |   0.7576 |     23.336 |   1.0922 |     33.210 |     5.0
   61 |   0.7525 |     23.423 |   1.0789 |     33.487 |     5.0
   62 |   0.7409 |     23.248 |   1.0691 |     33.518 |     5.1
   63 |   0.7320 |     22.825 |   1.0821 |     33.118 |     5.2
   64 |   0.7198 |     22.665 |   1.0800 |     33.026 |     5.3
   65 |   0.7083 |     22.067 |   1.0788 |     32.811 |     5.4
   66 |   0.7028 |     21.869 |   1.0886 |     33.210 |     5.5
Early stopping

Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 64
Descriptors dimension: 1136
Decoder embedding dimension: 64
Encoder hidden units: 128
Encoder layers: 4
Decoder hidden units: 64
Decoder layers: 4
Dropout: 0.1
Trainable parameters: 2,500,194

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.0001
Weight decay: 1e-05
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
---------------------------------------------------------------
    1 |   3.4106 |     78.439 |   3.1134 |     83.333 |     0.1
    2 |   2.8316 |     83.097 |   2.6686 |     67.681 |     0.2
