#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1,F1 nivel4,F1 promedio
19,64,64,2,2,64,128,0.0,1e-05,0.001,0.5419913419913422,0.7247474747474745,0.7595129375951293,0.6554404145077719,0.6423475009838646,0.8204545454545454,0.8473363774733638,0.8432642487046632,"[264, 219, 193, 168]",0.1670995670995674,0.3810133805588351,0.220649912857705,0.5879175307776644,0.7375829037935342,0.6627502172855992
21,64,64,4,2,32,128,0.1,0.0001,0.001,0.5116883116883119,0.7523056653491436,0.7698412698412697,0.6523297491039424,0.6236107831562377,0.808498023715415,0.8547619047619046,0.8767921146953404,"[253, 210, 186, 168]",0.1662337662337666,0.3845434868162141,0.2209653117445325,0.5621326577865952,0.748086328154946,0.6551094929707706
38,64,64,4,3,64,128,0.1,0.0001,0.001,0.5220779220779224,0.6875,0.7927031509121061,0.6311475409836064,0.6240358126721762,0.7748046875,0.8724709784411276,0.8315118397085611,"[256, 201, 183, 156]",0.1549783549783553,0.3499114521841794,0.2037358745150952,0.568521797626192,0.7176061082416347,0.6430639529339134
30,128,128,4,3,64,128,0.1,0.0001,0.001,0.5316017316017316,0.712182061579652,0.7378640776699028,0.6126893939393938,0.6092306178669814,0.8024096385542169,0.8235436893203884,0.8636363636363636,"[249, 206, 176, 156]",0.1515151515151518,0.3485674931129476,0.2009135885759262,0.5677750136620966,0.716834800863024,0.6423049072625603
40,64,64,2,2,64,64,0.2,1e-05,0.001,0.5307359307359307,0.7704402515723268,0.7159940209267563,0.6125429553264604,0.6532782369146005,0.8319496855345913,0.8298953662182361,0.7951030927835051,"[265, 223, 194, 160]",0.1575757575757579,0.3590023612750886,0.2082256704334626,0.5856656830152633,0.6919847484341033,0.6388252157246833
25,64,128,3,2,32,64,0.0,1e-05,0.001,0.484848484848485,0.7121212121212119,0.778048780487805,0.6462962962962961,0.6119618260527351,0.7826745718050067,0.8495934959349593,0.8259259259259258,"[253, 205, 180, 153]",0.1463203463203466,0.3391558441558441,0.1947006240512734,0.5410393414390552,0.7251525739576054,0.6330959576983303
17,64,128,4,2,64,128,0.1,1e-05,0.001,0.4995670995670994,0.7470119521912351,0.7826086956521741,0.6108156028368793,0.6215249901613538,0.807702523240372,0.8679549114331723,0.8164893617021277,"[251, 207, 188, 158]",0.1593073593073596,0.3603010625737898,0.2093759487265981,0.553912456413075,0.6988337518171005,0.6263731041150877
26,128,128,3,2,32,64,0.1,0.0001,0.001,0.4987012987012987,0.7305107526881719,0.7941666666666666,0.6191756272401434,0.6013518299881937,0.7869815668202765,0.8844999999999998,0.814068100358423,"[248, 200, 186, 158]",0.1489177489177492,0.3463616686343959,0.1983122505200427,0.5452371904051281,0.7033711251612008,0.6243041577831645
32,128,128,3,2,128,128,0.2,1e-05,0.001,0.5324675324675324,0.7339869281045752,0.7964743589743589,0.5688775510204079,0.6266981503345139,0.8013725490196079,0.894150641025641,0.8159013605442177,"[255, 208, 196, 165]",0.1593073593073597,0.3737642660369933,0.2132844212064991,0.5757527550400602,0.6703567825656512,0.6230547688028557
24,128,128,3,2,128,128,0.1,1e-05,0.001,0.5281385281385281,0.7028985507246374,0.7453936348408714,0.5766283524904213,0.6163951200314837,0.7706192358366272,0.8412060301507537,0.8184865900383141,"[253, 199, 174, 149]",0.1411255411255414,0.3260566706021251,0.1876420981615786,0.5688640294074471,0.6765931029221628,0.622728566164805
19,64,128,4,2,64,128,0.1,0.0001,0.001,0.5324675324675324,0.7451737451737455,0.7995283018867921,0.5620748299319727,0.633819362455726,0.8031071888214746,0.8898584905660377,0.8137755102040817,"[259, 212, 196, 164]",0.1593073593073596,0.3779004329004329,0.2142058806993872,0.5787396453239778,0.6649018692767589,0.6218207573003683
24,64,64,2,2,32,64,0.1,1e-05,0.001,0.5012987012987014,0.6719787516600263,0.7696817420435509,0.6000000000000001,0.6090141676505313,0.7762948207171314,0.83785594639866,0.8161904761904762,"[251, 199, 175, 148]",0.1385281385281387,0.323526170798898,0.1851993028616405,0.5499315010275365,0.6915938130464023,0.6207626570369694
27,128,64,2,2,128,128,0.2,1e-05,0.001,0.5367965367965364,0.7376302083333329,0.7065390749601274,0.5703703703703702,0.6303778040141677,0.8023437499999999,0.8233652312599683,0.7828703703703703,"[256, 209, 180, 146]",0.1437229437229439,0.3275521448248721,0.190227132175184,0.5798356085058782,0.6599358852523408,0.6198857468791095
27,128,128,4,2,32,64,0.1,0.0001,0.001,0.4943722943722943,0.7000000000000002,0.7717948717948718,0.6024904214559387,0.6012652499016135,0.7840816326530612,0.8533333333333334,0.7935823754789271,"[245, 195, 174, 143]",0.1402597402597404,0.3234199134199134,0.1866649800416034,0.542604409046939,0.6849582355763226,0.6137813223116309
22,64,128,2,2,64,64,0.0,0.0001,0.001,0.471861471861472,0.7088353413654618,0.7864321608040202,0.598314606741573,0.6158756395120032,0.7848919487473706,0.8522613065326633,0.7748127340823971,"[249, 199, 178, 143]",0.1419913419913422,0.3226151121605667,0.1870939450160229,0.534334965140265,0.675220371058509,0.604777668099387
24,64,64,2,3,64,128,0.0,0.0001,0.001,0.50995670995671,0.7341772151898736,0.7140439932318106,0.5728542914171655,0.577737111373475,0.8173699015471169,0.8154822335025379,0.7979041916167665,"[237, 197, 167, 140]",0.1359307359307361,0.3128335301062574,0.1808641142407375,0.5417350190986776,0.6669049959781929,0.6043200075384352
23,64,128,2,4,32,128,0.1,1e-05,0.001,0.4709956709956713,0.6873278236914598,0.7129629629629629,0.5838852097130243,0.5866115702479338,0.7267217630853995,0.7999074074074073,0.8101545253863134,"[242, 180, 151, 126]",0.1212121212121213,0.2745848091302637,0.1593242255579917,0.5224841498208125,0.6786567599831509,0.6005704549019817
49,64,64,3,3,64,64,0.0,1e-05,0.001,0.4952380952380951,0.7129629629629629,0.6950354609929079,0.5896624472573839,0.569771743408107,0.7829772079772079,0.7964539007092198,0.7774261603375529,"[234, 188, 158, 127]",0.1220779220779222,0.2780932703659977,0.1609900489121268,0.5298968379195561,0.6706500364640308,0.6002734371917935
25,128,64,3,3,64,128,0.0,1e-05,0.001,0.50995670995671,0.7116736990154712,0.7068062827225129,0.5678642714570857,0.5783215269578906,0.7887482419127989,0.8310645724258289,0.7754491017964071,"[237, 191, 167, 134]",0.1290043290043292,0.3013813459268005,0.1726513745994265,0.5419918053690338,0.6556174426777945,0.5988046240234142
32,128,128,2,4,64,128,0.1,1e-05,0.001,0.4865800865800866,0.7259887005649717,0.699122807017544,0.5870020964360587,0.5709622195985832,0.7901129943502826,0.8025438596491228,0.7861635220125786,"[236, 190, 159, 128]",0.1255411255411256,0.2881582054309327,0.1664176083656602,0.5254046946832973,0.6721398050794565,0.5987722498813769
26,128,128,4,2,64,64,0.1,1e-05,0.001,0.5108225108225108,0.7169421487603305,0.7279792746113988,0.5542168674698794,0.5887327823691458,0.7845041322314049,0.8228842832469775,0.7650602409638554,"[242, 193, 166, 132]",0.1307359307359309,0.2916843762298308,0.1703941080564456,0.5470174350584662,0.6427903394399515,0.5949038872492088
53,128,128,3,4,64,64,0.0,1e-05,0.001,0.4476190476190477,0.6838006230529595,0.6886227544910181,0.6304347826086956,0.5163734750098385,0.7584112149532711,0.7735528942115769,0.803743961352657,"[214, 167, 138, 117]",0.1082251082251082,0.2480499803227076,0.1437313768482599,0.4795443899695575,0.7066178489702516,0.5930811194699046
32,64,64,4,3,64,128,0.2,0.0001,0.001,0.5134199134199134,0.7451790633608815,0.7192556634304208,0.5402621722846441,0.5973475009838646,0.8351239669421487,0.8251618122977346,0.7462546816479402,"[242, 206, 178, 138]",0.1333333333333335,0.3033530106257379,0.175601281835048,0.5522129984365056,0.6267670324757808,0.5894900154561432
53,64,128,4,3,32,64,0.2,1e-05,0.001,0.4865800865800866,0.6896086369770582,0.7699652777777778,0.5463510848126233,0.6026505312868948,0.759986504723347,0.8387152777777778,0.7603550295857988,"[247, 192, 169, 135]",0.1264069264069265,0.2931582054309327,0.1689694720863551,0.5384309674756557,0.6358289605894832,0.5871299640325695
46,128,128,3,2,128,64,0.2,1e-05,0.001,0.5194805194805193,0.659122085048011,0.703405017921147,0.5348101265822784,0.5864856355765447,0.7473251028806585,0.8203405017921146,0.7383966244725738,"[243, 186, 158, 121]",0.1160173160173161,0.2663164108618654,0.1533563838758643,0.550953320305622,0.6203265759860728,0.5856399481458474
41,64,64,3,3,128,128,0.0,0.0001,0.001,0.5160173160173158,0.677126917712692,0.7405405405405405,0.5306748466257668,0.5746202282565918,0.7490934449093446,0.8422522522522524,0.7643149284253579,"[239, 185, 163, 130]",0.1255411255411257,0.2850846123573395,0.1655889132512508,0.5437443254562232,0.6264183937666966,0.5850813596114599
37,64,64,3,3,32,64,0.1,0.0001,0.001,0.4857142857142859,0.6786216596343179,0.7139037433155083,0.5679405520169851,0.5723475009838646,0.7741209563994375,0.8009803921568626,0.743099787685775,"[237, 187, 157, 121]",0.1160173160173161,0.269478551751279,0.1542862764940686,0.5254841656993758,0.6438192492500237,0.5846517074746997
46,64,128,3,3,64,64,0.1,0.0001,0.001,0.4926406926406926,0.7076719576719573,0.7504230118443316,0.5232558139534883,0.6176505312868948,0.770436507936508,0.8328257191201354,0.757751937984496,"[252, 197, 172, 134]",0.12987012987013,0.2976584022038567,0.1713774104683195,0.5481080620752752,0.6190409175667593,0.5835744898210172
