#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
66,64,128,3,4,128,64,0.2,0.0001,0.001,0.4779220779220779,0.7052401746724891,0.6942909760589321,0.46938775510204084,0.5532467532467533,0.7695778748180495,0.7767955801104971,0.6598639455782312,"[229, 181, 147, 102]",0.1012987012987013,0.21489177489177488,0.13086167800453508
61,64,128,4,2,32,128,0.0,1e-05,0.0001,0.38571428571428557,0.7536231884057971,0.8455497382198954,0.6395131086142322,0.5593073593073593,0.8202898550724638,0.8877835951134379,0.75,"[230, 191, 178, 139]",0.13506493506493522,0.30207792207792206,0.17790352504638215
29,64,64,2,3,32,128,0.2,1e-05,0.001,0.4813852813852816,0.7730923694779115,0.8157894736842103,0.6376068376068373,0.6079653679653679,0.8302543507362785,0.9080542264752792,0.8264957264957264,"[249, 209, 195, 168]",0.17489177489177501,0.3753679653679654,0.22541125541125528
63,128,64,3,3,128,64,0.0,0.0001,0.001,0.4718614718614719,0.6236559139784946,0.6919831223628692,0.41536458333333354,0.5148917748917752,0.7086021505376343,0.7657172995780591,0.63671875,"[217, 158, 128, 86]",0.0813852813852813,0.17701298701298704,0.10599257884972169
32,64,128,2,4,64,128,0.1,1e-05,0.001,0.4753246753246751,0.750351617440225,0.724826388888889,0.5558823529411764,0.5755844155844156,0.7949367088607596,0.8544270833333334,0.7348039215686275,"[237, 192, 170, 132]",0.13160173160173175,0.28731601731601736,0.17105545248402385
52,64,64,4,2,128,128,0.0,0.0001,0.0001,0.4541125541125542,0.7874293785310732,0.7500000000000002,0.5423572744014731,0.5742424242424242,0.868220338983051,0.8119391025641025,0.6998158379373849,"[236, 208, 181, 132]",0.1272727272727274,0.2801298701298701,0.16678622964337247
68,64,128,3,3,128,64,0.0,1e-05,0.001,0.44675324675324685,0.6920122887864825,0.7307692307692308,0.5408163265306123,0.5190043290043291,0.7637480798771122,0.8306706114398421,0.7210884353741497,"[217, 169, 147, 111]",0.10995670995671002,0.23865800865800868,0.14310657596371879
63,128,128,4,2,32,128,0.0,1e-05,0.0001,0.42943722943722945,0.7457983193277311,0.8258333333333333,0.6166666666666665,0.5734199134199136,0.8311624649859943,0.86175,0.762037037037037,"[238, 200, 180, 145]",0.1393939393939396,0.30709956709956704,0.18289631003916726
65,64,64,4,4,64,64,0.1,0.0001,0.001,0.42857142857142855,0.6808846761453393,0.7295409181636726,0.4791666666666668,0.5074025974025974,0.7737756714060031,0.7673652694610779,0.6593137254901961,"[211, 167, 136, 94]",0.09350649350649348,0.20354978354978356,0.12243661100803954
121,128,128,2,4,64,64,0.2,0.0001,0.0001,0.13549783549783564,0.47638888888888886,0.5333333333333333,0.5972222222222222,0.29177489177489174,0.4930555555555556,0.5672222222222222,0.5972222222222222,"[120, 60, 36, 23]",0.019913419913419904,0.0503030303030303,0.027575757575757576
