Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.397196261682243,0.31796253028729665,0.339205651107795,0.5825545171339563,0.8796791443850267,0.9361702127659575,0.827922077922078,0.531734596746279,0.8627132671250319,0.8824721377912866,0.7932900432900433,"[374, 329, 308, 255]"
123,0.3130841121495327,0.24970516243880725,0.26582603965781537,0.5856697819314641,0.8271276595744681,0.8745980707395499,0.7389705882352942,0.5274915937299115,0.80477773556231,0.8360128617363344,0.7138480392156863,"[376, 311, 272, 201]"
47899,0.3302180685358255,0.2627466251298027,0.280961652573802,0.5669781931464174,0.8434065934065934,0.9087947882736156,0.7598566308243727,0.5203400830737279,0.8226779173207744,0.8498371335504885,0.7168458781362008,"[364, 307, 279, 212]"
2025,0.22274143302180685,0.1795820353063344,0.19232804232804243,0.5264797507788161,0.7781065088757396,0.7984790874524715,0.680952380952381,0.4856642189586114,0.76232741617357,0.761406844106464,0.65,"[338, 263, 210, 143]"
1,0.34579439252336447,0.2760807620036593,0.2941764764057232,0.6137071651090342,0.7969543147208121,0.8662420382165605,0.8161764705882353,0.5559437274390546,0.7828257191201355,0.8197983014861995,0.7806372549019607,"[394, 314, 272, 222]"
20,0.35514018691588783,0.2904205607476636,0.3083444592790387,0.5794392523364486,0.8145161290322581,0.9141914191419142,0.8231046931407943,0.5231258962567374,0.8002912186379928,0.8704934779192204,0.7978339350180507,"[372, 303, 277, 228]"
99,0.32398753894080995,0.2591399643969737,0.277408149137121,0.5623052959501558,0.8254847645429363,0.8859060402684564,0.7878787878787878,0.5134939178163475,0.806555863342567,0.8461968680089486,0.7531565656565657,"[361, 298, 264, 208]"
1020,0.3411214953271028,0.2642703177749906,0.28375673737823254,0.5950155763239875,0.8507853403141361,0.8707692307692307,0.773851590106007,0.542229875524268,0.8287542591207513,0.814871794871795,0.7388103651354534,"[382, 325, 283, 219]"
345,0.3115264797507788,0.2464044652128765,0.26380111753943525,0.5763239875389408,0.8054054054054054,0.87248322147651,0.7692307692307693,0.5306723779854621,0.7872072072072072,0.8291387024608502,0.7365384615384616,"[370, 298, 260, 200]"
78,0.37538940809968846,0.30817293428274745,0.3260040984202611,0.5638629283489096,0.861878453038674,0.9102564102564102,0.8485915492957746,0.510136157974943,0.8464351486450934,0.8585470085470084,0.8215962441314554,"[362, 312, 284, 241]"
