#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1,F1 nivel4,F1 promedio
32,64,64,2,2,32,64,0.2,1e-05,0.001,0.5255411255411256,0.7129629629629629,0.7798165137614677,0.6381692573402414,0.6643630179344465,0.7890534979423868,0.8438619484491043,0.8022452504317789,"[270, 218, 193, 161]",0.1614718614718617,0.3619099154813441,0.2122883754052584,0.5868541430460795,0.7108623981643699,0.6488582706052247
20,128,128,3,2,64,128,0.2,0.0001,0.001,0.541991341991342,0.7795071335927366,0.7440476190476193,0.6235489220563846,0.636873840445269,0.8600951145698227,0.8586840986394558,0.8271973466003317,"[257, 224, 201, 173]",0.175757575757576,0.3944599051741909,0.2311628342797174,0.5856142205313998,0.7110795663505365,0.6483468934409682
18,64,128,4,2,64,128,0.1,1e-05,0.001,0.517748917748918,0.7655038759689922,0.7851681957186544,0.6493399339933993,0.638930117501546,0.8318260120585702,0.8907273918741809,0.818976897689769,"[258, 218, 202, 173]",0.1766233766233768,0.3906977942692229,0.2302149509941717,0.5719916532972914,0.7243592026094046,0.648175427953348
19,64,128,2,2,128,128,0.1,0.0001,0.001,0.5463203463203465,0.7752808988764043,0.7440476190476187,0.6038525963149077,0.6615491651205937,0.8263836870578443,0.8588966836734693,0.7890284757118927,"[267, 224, 199, 164]",0.1679653679653682,0.3752112966398681,0.2197039036000074,0.5984384332467534,0.6841314785500265,0.64128495589839
32,128,64,3,3,32,128,0.2,1e-05,0.001,0.5445887445887446,0.7833333333333332,0.7304804804804803,0.6102693602693601,0.6386054421768708,0.8383760683760683,0.8673852423852423,0.8005050505050505,"[260, 222, 198, 168]",0.1679653679653682,0.3753659039373325,0.2197286407676017,0.5878618065109462,0.6925610520479254,0.6402114292794359
63,64,64,4,3,32,64,0.2,0.0001,0.001,0.5341991341991345,0.7496807151979563,0.7160493827160492,0.6117021276595744,0.6407699443413729,0.8157513835674755,0.8368606701940036,0.7975177304964539,"[261, 216, 188, 157]",0.156709956709957,0.353205524634096,0.2064155469350274,0.5826515024772853,0.6923593785135295,0.6375054404954074
25,64,128,3,3,32,128,0.0,0.0001,0.001,0.4865800865800866,0.7795071335927365,0.7427701674277019,0.6503436426116836,0.6347093382807669,0.8383052313013402,0.8461622091759076,0.8046391752577319,"[257, 219, 194, 162]",0.1623376623376625,0.3641104926819213,0.2131193193530854,0.5508603183556648,0.7193101743860452,0.635085246370855
32,64,128,3,3,64,128,0.1,1e-05,0.001,0.5471861471861471,0.7391857506361322,0.7503875968992249,0.5943877551020406,0.6361317254174398,0.8098388464800679,0.8785714285714286,0.7989795918367346,"[262, 215, 196, 165]",0.1636363636363639,0.36350752422181,0.2134926257004179,0.5883160830963854,0.6816632914608537,0.6349896872786196
29,128,128,3,2,64,64,0.0,1e-05,0.001,0.5017316017316016,0.7302543507362788,0.7892628205128205,0.6436170212765957,0.6060296846011132,0.8207942882641678,0.865521978021978,0.8124113475177306,"[249, 208, 188, 159]",0.1593073593073595,0.3529890744176459,0.2083079402559921,0.5489706999211533,0.7182301976350125,0.6336004487780829
23,128,128,3,3,32,128,0.2,0.0001,0.001,0.4813852813852813,0.7341269841269843,0.7769726247987118,0.6394927536231882,0.6185837971552258,0.8050044091710759,0.8552104899930988,0.8097826086956522,"[252, 207, 184, 157]",0.1584415584415587,0.3490311276025561,0.2060733494499727,0.5414281929616593,0.7146331521739131,0.6280306725677862
32,128,128,2,2,32,64,0.1,0.0001,0.001,0.4761904761904763,0.7884615384615385,0.8019005847953213,0.6546474358974357,0.6366573902288188,0.8585042735042735,0.8765559732664995,0.7693108974358975,"[260, 228, 208, 166]",0.1679653679653682,0.372804576376005,0.2193219767245741,0.5448546831450178,0.707362560581991,0.6261086218635044
34,128,64,2,3,32,64,0.0,0.0001,0.001,0.4805194805194805,0.7154150197628457,0.7323481116584566,0.6213872832369941,0.6151205936920223,0.7808080808080808,0.8000586441473141,0.7948940269749517,"[253, 203, 173, 145]",0.1350649350649352,0.3132086167800453,0.1791240793838196,0.5395520574590933,0.6975126146504915,0.6185323360547924
49,128,128,4,3,64,64,0.1,0.0001,0.001,0.529004329004329,0.7027027027027025,0.7326732673267328,0.5700197238658776,0.6368738404452691,0.7672243672243674,0.7945308816595944,0.7727810650887575,"[259, 202, 169, 139]",0.1350649350649352,0.3050659657802515,0.1771451059762747,0.5779489271751469,0.6560920323462129,0.61702047976068
27,64,64,4,3,64,128,0.0,1e-05,0.001,0.5147186147186148,0.7040816326530611,0.7326565143824029,0.5930232558139534,0.6049474335188622,0.7844217687074829,0.8368866328257191,0.7738372093023257,"[245, 197, 172, 141]",0.1406926406926408,0.3110801896516182,0.1831584865351098,0.5561974580698691,0.6714708238948295,0.6138341409823493
48,128,64,3,3,32,64,0.2,1e-05,0.001,0.5281385281385281,0.7760210803689064,0.718847352024922,0.5715579710144926,0.6198824984539271,0.8279095300834431,0.8270805518469071,0.7641304347826087,"[253, 214, 184, 147]",0.1454545454545457,0.3330035044320759,0.1927482618391708,0.570344658797806,0.653962165126578,0.6121534119621921
30,128,128,3,2,64,64,0.2,0.0001,0.001,0.5186147186147185,0.7561132561132562,0.7582159624413145,0.5689354275741708,0.6310296846011132,0.8141999141999142,0.8628101945003354,0.7617801047120419,"[259, 213, 191, 154]",0.1541125541125543,0.3399762935477221,0.200756732445044,0.5693261001428136,0.6513844305209853,0.6103552653318994
47,64,64,3,3,32,64,0.2,1e-05,0.001,0.4761904761904763,0.7037037037037036,0.7695035460992907,0.6201550387596897,0.5747526283240568,0.7872269705603039,0.8765830800405268,0.7957364341085271,"[234, 188, 172, 144]",0.1402597402597404,0.3200628736343022,0.1851888083056913,0.5208497521848018,0.6970590170126707,0.6089543845987362
42,128,64,3,3,32,64,0.1,1e-05,0.001,0.5177489177489175,0.7555096418732783,0.6905982905982906,0.5698602794411176,0.5895794681508968,0.7902662993572083,0.8234798534798534,0.7924151696606785,"[242, 195, 167, 139]",0.1376623376623378,0.3074263038548753,0.1798909315792432,0.5513344287910761,0.6629583324194102,0.6071463806052431
54,64,128,4,3,32,64,0.2,1e-05,0.001,0.4748917748917752,0.7636612021857923,0.7213675213675214,0.6153100775193797,0.5943413729128015,0.7870673952641165,0.8557753357753357,0.7728682170542636,"[244, 195, 172, 137]",0.1406926406926409,0.3133992991135848,0.1842465471036898,0.5279444058645311,0.6851477283672447,0.6065460671158879
38,64,128,3,3,128,128,0.1,0.0001,0.001,0.529004329004329,0.762,0.7379844961240308,0.554673721340388,0.6181508967223253,0.8412444444444445,0.8522148394241418,0.7470017636684304,"[250, 215, 189, 149]",0.1489177489177491,0.3347351061636777,0.195630141863908,0.5701137788687317,0.6366291028350961,0.603371440851914
26,64,64,3,2,128,128,0.1,0.0001,0.001,0.557575757575758,0.7198443579766537,0.7444444444444444,0.5218579234972676,0.628865182436611,0.7986165153480327,0.8333786848072561,0.7446265938069216,"[257, 210, 183, 145]",0.1385281385281387,0.3103226138940424,0.1821090309401996,0.5910786937383585,0.6136502779395455,0.6023644858389521
38,64,128,4,3,32,64,0.2,0.0001,0.001,0.4883116883116885,0.7844352617079888,0.7087542087542088,0.5769980506822611,0.5957482993197278,0.7977043158861341,0.829004329004329,0.7759259259259259,"[242, 198, 171, 141]",0.1367965367965369,0.3066429602143888,0.1793013624182454,0.5367061992302662,0.6618372568952497,0.599271728062758
28,64,64,3,4,32,128,0.0,0.0001,0.001,0.5082251082251084,0.7437499999999999,0.7159863945578232,0.5643274853801167,0.591852195423624,0.7985879629629629,0.8423955296404276,0.7559454191033139,"[240, 196, 171, 136]",0.1350649350649352,0.2997629354772211,0.1756260190026423,0.5468600162457062,0.6462312087122672,0.5965456124789867
60,128,128,2,4,64,64,0.2,0.0001,0.001,0.4744588744588744,0.7365145228215768,0.7392055267702937,0.578313253012048,0.5915275200989487,0.7816505301982482,0.811621021465581,0.7736947791164659,"[241, 193, 166, 136]",0.12987012987013,0.2900845186559472,0.1693840070463446,0.5265648470382472,0.6618865182995459,0.5942256826688965
57,128,64,2,3,64,64,0.2,1e-05,0.001,0.5142857142857143,0.7110655737704917,0.7379767827529022,0.5706214689265536,0.5991032776747063,0.8055100182149362,0.8435915659796256,0.7114877589453861,"[244, 201, 177, 133]",0.1350649350649352,0.2945835910121624,0.1751743782912613,0.5534638106082548,0.633316072151739,0.5933899413799969
40,128,64,3,3,128,128,0.0,1e-05,0.001,0.5177489177489177,0.6838842975206609,0.6579861111111112,0.5608974358974359,0.592687074829932,0.7730716253443527,0.7798611111111112,0.7222222222222222,"[242, 192, 156, 118]",0.1186147186147186,0.2630643166357452,0.155017709563164,0.5526893825628215,0.6314182625589787,0.5920538225609001
35,64,64,2,3,32,64,0.0,0.0001,0.001,0.4606060606060603,0.7983193277310923,0.7343234323432345,0.5932203389830506,0.5822201607915893,0.8349206349206351,0.8365275813295616,0.7642184557438796,"[238, 202, 177, 144]",0.1411255411255413,0.3076891362605648,0.1819669796293172,0.5143218096457531,0.6679489832389622,0.5911353964423577
26,128,128,3,2,64,64,0.0,0.0001,0.001,0.5242424242424243,0.7329234972677595,0.751219512195122,0.5439560439560439,0.5941249226963513,0.8271402550091075,0.8534552845528456,0.7212454212454211,"[244, 205, 182, 138]",0.1350649350649352,0.303133374561946,0.1779138321995463,0.5570003284336397,0.6201791838734513,0.5885897561535455
47,128,128,4,4,64,128,0.2,1e-05,0.001,0.4796536796536797,0.6921397379912665,0.7259259259259261,0.5897435897435899,0.5642547928262214,0.766569626394954,0.8517195767195767,0.7136752136752137,"[229, 180, 156, 117]",0.1220779220779221,0.2603689960832818,0.1569243454957739,0.5185260868673192,0.6458175704077344,0.5821718286375268
43,128,128,4,2,128,64,0.1,0.0001,0.001,0.503896103896104,0.7053445850914206,0.7297297297297297,0.5263713080168776,0.58286951144094,0.7651664322550399,0.8076190476190477,0.7558016877637131,"[237, 185, 158, 126]",0.1246753246753247,0.276185322613894,0.162323419726017,0.5405133761134444,0.6205595099861667,0.5805364430498056
32,128,64,3,4,64,128,0.0,1e-05,0.001,0.5021645021645024,0.7118055555555555,0.712121212121212,0.5324947589098532,0.5920686456400742,0.7566666666666666,0.8270944741532977,0.7327044025157232,"[240, 187, 159, 122]",0.1229437229437231,0.2713873428159142,0.1604246547103689,0.5434232316606038,0.6167586354233429,0.5800909335419733
56,128,128,4,4,32,64,0.2,0.0001,0.001,0.4025974025974029,0.728744939271255,0.7933673469387755,0.6088235294117645,0.6032312925170069,0.7737291947818263,0.8190962099125364,0.7333333333333334,"[247, 196, 170, 133]",0.1238095238095239,0.2816120387548959,0.1639002267573695,0.48290400286342333,0.6653031409788166,0.5741035719211199
71,64,64,3,3,128,64,0.2,0.0001,0.001,0.4917748917748917,0.69432918395574,0.6944444444444442,0.5119825708061003,0.5928262213976501,0.7529967727063163,0.784363799283154,0.7,"[241, 186, 153, 114]",0.1134199134199134,0.2441970727685013,0.1455332546241636,0.5375931249348971,0.5914075139313321,0.5645003194331146
