learning_rate,batch_size,kernel_initializer,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
0.005,16,glorot_uniform,0.2727272727272728,0.4494195688225538,0.6105919003115265,0.3466666666666667,0.4834632034632034,0.5153399668325042,0.6517133956386293,0.3666666666666666,"[201, 107, 75, 28]",0.3487311863771676,0.3563862928348909,0.35255873960602924
0.005,32,he_uniform,0.27012987012987,0.3863636363636363,0.5157894736842106,0.3477011494252874,0.4752009894867038,0.4669191919191919,0.5596491228070176,0.3649425287356321,"[198, 95, 58, 24]",0.34445368769962187,0.3561132740081572,0.3502834808538895
0.001,16,glorot_uniform,0.270995670995671,0.4023569023569024,0.5016835016835016,0.3508771929824561,0.4737971552257266,0.4872053872053872,0.5446127946127945,0.3596491228070175,"[198, 99, 57, 22]",0.34478575377166293,0.3552090101797704,0.34999738197571667
0.005,64,he_uniform,0.2857142857142852,0.4182242990654206,0.5448717948717949,0.3,0.5135374149659865,0.4707943925233646,0.5849358974358975,0.3307692307692307,"[214, 104, 65, 23]",0.367155867368651,0.31463414634146336,0.3408950068550572
0.001,32,he_uniform,0.2519480519480517,0.4458544839255499,0.516025641025641,0.3358974358974358,0.4727705627705627,0.5154399323181049,0.5817307692307693,0.3615384615384615,"[197, 104, 65, 24]",0.3287168837374915,0.34824660633484156,0.33848174503616657
0.001,64,glorot_uniform,0.2303030303030303,0.3425414364640884,0.5630630630630631,0.3687943262411347,0.4334632034632034,0.397329650092081,0.5990990990990991,0.3829787234042553,"[181, 74, 47, 20]",0.3007923097142428,0.3757527097551184,0.3382725097346806
0.005,16,he_uniform,0.2632034632034631,0.4585585585585587,0.5686274509803922,0.3102564102564102,0.4432776747062461,0.5324324324324324,0.6127450980392156,0.3538461538461538,"[185, 102, 65, 24]",0.3302911086590772,0.3306207306207306,0.3304559196399039
0.005,64,glorot_uniform,0.2857142857142856,0.3827751196172249,0.5243055555555557,0.288135593220339,0.5017192331478045,0.4419747716398433,0.584201388888889,0.2966101694915254,"[209, 96, 59, 19]",0.3640900441604135,0.2923114713829526,0.32820075777168306
0.001,16,he_uniform,0.2571428571428569,0.4048821548821548,0.53125,0.3074712643678161,0.4721212121212121,0.4673400673400673,0.5815972222222222,0.3275862068965517,"[198, 96, 58, 22]",0.33294550635165593,0.317210173193946,0.32507783977280097
0.005,32,glorot_uniform,0.2891774891774888,0.4154471544715447,0.4229559748427672,0.2561728395061728,0.4955411255411255,0.4882113821138212,0.4882075471698113,0.2808641975308642,"[205, 106, 54, 16]",0.365224771734398,0.26795090109266356,0.3165878364135308
0.0001,32,glorot_uniform,0.2346320346320345,0.2671821305841924,0.4814814814814814,0.3,0.4653555967841681,0.3161512027491409,0.5291005291005292,0.3428571428571428,"[194, 63, 35, 12]",0.31196931374335324,0.32,0.31598465687167665
0.001,32,glorot_uniform,0.2493506493506493,0.4575,0.490566037735849,0.2916666666666667,0.4736549165120594,0.5104166666666667,0.5290880503144655,0.3,"[200, 106, 60, 19]",0.3267088569628985,0.295774647887324,0.3112417524251112
0.0001,64,he_uniform,0.2337662337662335,0.3407224958949096,0.4071729957805908,0.2761904761904761,0.4761781076066789,0.3775041050903119,0.4050632911392405,0.3285714285714285,"[203, 79, 35, 12]",0.3135861681829379,0.30011248593925755,0.3068493270610977
0.0001,64,glorot_uniform,0.2285714285714285,0.3544973544973545,0.4662447257383965,0.2674418604651162,0.452195423623995,0.4032627865961199,0.5147679324894514,0.2790697674418604,"[189, 79, 43, 13]",0.30365448504983383,0.2731321128154378,0.2883932989326358
0.001,64,he_uniform,0.2346320346320345,0.4211469534050179,0.4873188405797101,0.2564102564102564,0.4528880643166357,0.478494623655914,0.5326086956521738,0.2596153846153846,"[186, 92, 52, 15]",0.3091169208105126,0.2580028666985188,0.28355989375451573
0.0001,16,glorot_uniform,0.2303030303030301,0.3195164075993092,0.418859649122807,0.2107843137254901,0.4685405071119357,0.3760794473229706,0.4407894736842105,0.25,"[193, 76, 34, 10]",0.30881389847788954,0.2287234042553191,0.2687686513666043
0.0001,16,he_uniform,0.2233766233766233,0.3703703703703704,0.3375527426160337,0.2333333333333333,0.4166110080395794,0.4287037037037036,0.360759493670886,0.2166666666666666,"[180, 79, 30, 7]",0.29082174613744094,0.2246913580246913,0.2577565520810661
0.0001,32,he_uniform,0.2043290043290043,0.3429672447013487,0.4637681159420289,0.1973684210526315,0.4145021645021645,0.3911368015414258,0.5362318840579711,0.1973684210526315,"[173, 69, 38, 8]",0.2737251089821919,0.1973684210526315,0.23554676501741167
