learning_rate,batch_size,kernel_initializer,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
0.001,64,glorot_uniform,0.23030303030303031,0.3425414364640884,0.5630630630630631,0.36879432624113473,0.43346320346320344,0.397329650092081,0.5990990990990991,0.3829787234042553,"[181, 74, 47, 20]"
0.001,32,he_uniform,0.2519480519480517,0.44585448392554994,0.516025641025641,0.33589743589743587,0.47277056277056273,0.5154399323181049,0.5817307692307693,0.36153846153846153,"[197, 104, 65, 24]"
0.005,16,glorot_uniform,0.2727272727272728,0.44941956882255385,0.6105919003115265,0.3466666666666667,0.48346320346320343,0.5153399668325042,0.6517133956386293,0.36666666666666664,"[201, 107, 75, 28]"
0.005,64,glorot_uniform,0.2857142857142856,0.3827751196172249,0.5243055555555557,0.288135593220339,0.5017192331478045,0.44197477163984333,0.584201388888889,0.2966101694915254,"[209, 96, 59, 19]"
0.0001,32,he_uniform,0.20432900432900433,0.3429672447013487,0.46376811594202894,0.19736842105263158,0.41450216450216454,0.3911368015414258,0.5362318840579711,0.19736842105263158,"[173, 69, 38, 8]"
0.001,32,glorot_uniform,0.24935064935064935,0.4575,0.49056603773584906,0.2916666666666667,0.4736549165120594,0.5104166666666667,0.5290880503144655,0.3,"[200, 106, 60, 19]"
0.001,16,he_uniform,0.2571428571428569,0.40488215488215484,0.53125,0.3074712643678161,0.47212121212121216,0.46734006734006733,0.5815972222222222,0.3275862068965517,"[198, 96, 58, 22]"
0.005,32,glorot_uniform,0.2891774891774888,0.41544715447154473,0.42295597484276726,0.25617283950617287,0.49554112554112556,0.4882113821138212,0.4882075471698113,0.2808641975308642,"[205, 106, 54, 16]"
0.0001,32,glorot_uniform,0.2346320346320345,0.26718213058419243,0.48148148148148145,0.3,0.46535559678416816,0.3161512027491409,0.5291005291005292,0.34285714285714286,"[194, 63, 35, 12]"
0.005,16,he_uniform,0.2632034632034631,0.4585585585585587,0.5686274509803922,0.3102564102564102,0.4432776747062461,0.5324324324324324,0.6127450980392156,0.35384615384615387,"[185, 102, 65, 24]"
0.0001,16,he_uniform,0.22337662337662334,0.3703703703703704,0.33755274261603374,0.23333333333333334,0.41661100803957946,0.42870370370370364,0.36075949367088606,0.21666666666666667,"[180, 79, 30, 7]"
0.001,16,glorot_uniform,0.27099567099567107,0.40235690235690247,0.5016835016835016,0.3508771929824561,0.4737971552257266,0.4872053872053872,0.5446127946127945,0.35964912280701755,"[198, 99, 57, 22]"
0.005,32,he_uniform,0.27012987012987005,0.38636363636363635,0.5157894736842106,0.3477011494252874,0.4752009894867038,0.46691919191919196,0.5596491228070176,0.36494252873563215,"[198, 95, 58, 24]"
0.0001,16,glorot_uniform,0.2303030303030301,0.3195164075993092,0.418859649122807,0.21078431372549017,0.4685405071119357,0.37607944732297066,0.4407894736842105,0.25,"[193, 76, 34, 10]"
0.005,64,he_uniform,0.28571428571428525,0.4182242990654206,0.5448717948717949,0.3,0.5135374149659865,0.4707943925233646,0.5849358974358975,0.33076923076923076,"[214, 104, 65, 23]"
0.0001,64,he_uniform,0.2337662337662335,0.34072249589490966,0.4071729957805908,0.27619047619047615,0.47617810760667895,0.37750410509031196,0.4050632911392405,0.32857142857142857,"[203, 79, 35, 12]"
0.0001,64,glorot_uniform,0.22857142857142856,0.3544973544973545,0.46624472573839654,0.26744186046511625,0.452195423623995,0.4032627865961199,0.5147679324894514,0.27906976744186046,"[189, 79, 43, 13]"
0.001,64,he_uniform,0.2346320346320345,0.42114695340501795,0.4873188405797101,0.25641025641025644,0.4528880643166357,0.478494623655914,0.5326086956521738,0.25961538461538464,"[186, 92, 52, 15]"
