learning_rate,batch_size,kernel_initializer,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
0.005,64,glorot_uniform,0.2848484848484846,0.445736434108527,0.5014880952380952,0.3686868686868687,0.503939393939394,0.513953488372093,0.5639880952380952,0.3939393939393939,"[215, 112, 66, 29]",0.36396698448177495,0.3808950431466988,0.3724310138142369
0.001,64,glorot_uniform,0.2528138528138525,0.4006908462867012,0.4746376811594203,0.3930817610062893,0.4552380952380953,0.4611398963730569,0.5706521739130435,0.3867924528301887,"[193, 92, 53, 23]",0.32509054489978895,0.38991174680462565,0.35750114585220727
0.001,32,he_uniform,0.2839826839826837,0.4238095238095238,0.5305810397553518,0.325268817204301,0.4950216450216451,0.503968253968254,0.5330275229357798,0.3709677419354839,"[210, 109, 62, 26]",0.36091603126890687,0.3466185079088305,0.35376726958886867
0.001,64,he_uniform,0.2329004329004329,0.4699612403100774,0.5016835016835016,0.396551724137931,0.404935064935065,0.5531007751937984,0.5553872053872053,0.4224137931034483,"[172, 99, 58, 26]",0.2957174764966268,0.4090744101633394,0.3523959433299831
0.005,64,he_uniform,0.2787878787878788,0.4183333333333332,0.5650793650793651,0.3181818181818182,0.4752813852813852,0.5066666666666667,0.6061904761904762,0.3484848484848485,"[200, 105, 66, 24]",0.35143373571526737,0.33264462809917356,0.3420391819072205
0.005,32,he_uniform,0.236363636363636,0.448087431693989,0.5555555555555555,0.3633879781420765,0.4253679653679653,0.4956284153005464,0.6045138888888889,0.3852459016393442,"[183, 96, 61, 24]",0.30387401424952093,0.3739978461170276,0.3389359301832743
0.005,16,he_uniform,0.2484848484848482,0.5035273368606702,0.4766355140186916,0.3497267759562842,0.4374025974025975,0.5544973544973545,0.5529595015576324,0.3415300546448088,"[189, 107, 61, 25]",0.3169263959973374,0.34557981813862076,0.33125310706797906
0.001,32,glorot_uniform,0.2692640692640692,0.4475465313028765,0.5264797507788161,0.303763440860215,0.4663203463203464,0.5184433164128596,0.5509345794392524,0.3387096774193548,"[197, 107, 62, 23]",0.3413974286855643,0.32028613848022675,0.3308417835828955
0.0001,32,glorot_uniform,0.2203463203463201,0.382466281310212,0.4935897435897436,0.3372093023255814,0.4001731601731602,0.4315992292870906,0.5286324786324785,0.3837209302325581,"[173, 78, 43, 18]",0.2842027885142157,0.3589647411852963,0.32158376484975604
0.0001,16,glorot_uniform,0.1861471861471862,0.4181818181818181,0.4013157894736842,0.3970588235294117,0.3808658008658009,0.4525252525252525,0.4298245614035088,0.3823529411764705,"[165, 76, 34, 15]",0.2500722161739112,0.3895671476137624,0.3198196818938368
0.005,16,glorot_uniform,0.257142857142857,0.4171075837742504,0.4810996563573884,0.3050314465408804,0.4382683982683983,0.4982363315696649,0.5103092783505154,0.3113207547169811,"[189, 97, 53, 20]",0.3241178144564598,0.3081440123219098,0.3161309133891848
0.005,32,glorot_uniform,0.2476190476190475,0.4245614035087718,0.5238095238095237,0.2827380952380952,0.4494372294372294,0.4835964912280702,0.525,0.3482142857142857,"[190, 98, 56, 21]",0.3193120050156442,0.3120788409703503,0.31569542299299724
0.001,16,he_uniform,0.2424242424242421,0.4545454545454545,0.5033003300330033,0.288135593220339,0.444112554112554,0.5274509803921569,0.5544554455445545,0.3135593220338983,"[187, 101, 59, 20]",0.31364276474308606,0.3003103365958463,0.30697655066946616
0.001,16,glorot_uniform,0.2389610389610388,0.4202898550724637,0.6217228464419476,0.2627118644067797,0.4326406926406926,0.4717391304347826,0.6308988764044945,0.3220338983050847,"[184, 89, 59, 21]",0.3078737428614957,0.28936379267993123,0.2986187677707135
0.0001,64,he_uniform,0.2147186147186146,0.354775828460039,0.4380952380952381,0.3243243243243243,0.3988744588744589,0.4005847953216374,0.5052380952380953,0.3108108108108108,"[171, 70, 37, 13]",0.27916146691368915,0.3174238067855089,0.29829263684959906
0.0001,16,he_uniform,0.2207792207792206,0.4456140350877192,0.445578231292517,0.2789855072463768,0.4410822510822511,0.5042105263157894,0.4430272108843537,0.2934782608695652,"[190, 98, 46, 15]",0.2942663981319222,0.2860484314804623,0.2901574148061922
0.0001,64,glorot_uniform,0.2259740259740258,0.3425414364640883,0.454954954954955,0.2625,0.4204329004329004,0.4069981583793738,0.5168918918918919,0.2625,"[181, 74, 40, 12]",0.2939538896677925,0.2625,0.27822694483389626
0.0001,32,he_uniform,0.2060606060606059,0.3500986193293885,0.3550724637681159,0.2241379310344827,0.3906493506493507,0.401577909270217,0.4014492753623188,0.2068965517241379,"[169, 69, 29, 7]",0.26980425262491414,0.21517241379310342,0.24248833320900878
