#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
20,128,256,4,3,4,0.0,0.0001,0.001,0.5056277056277056,0.6986215538847117,0.824685534591195,0.5927835051546391,0.6500432900432902,0.7860902255639098,0.8795597484276731,0.7676116838487973,"[266, 212, 194, 156]",0.15670995670995694,0.3490043290043291,0.205563801278087
15,128,128,3,4,2,0.0,0.0001,0.0001,0.5264069264069264,0.7753086419753086,0.818181818181818,0.5861513687600644,0.6572727272727273,0.8391358024691358,0.862121212121212,0.822061191626409,"[270, 231, 207, 179]",0.17575757575757595,0.38995670995670995,0.23089053803339513
19,128,128,4,3,2,0.0,1e-05,0.0001,0.5619047619047619,0.7649253731343283,0.8213783403656824,0.6015151515151514,0.6508658008658009,0.8766169154228856,0.8954992967651195,0.8292424242424242,"[268, 237, 220, 190]",0.18874458874458883,0.4228571428571428,0.24902700474129041
23,64,256,3,3,2,0.1,1e-05,0.0001,0.5341991341991343,0.714859437751004,0.7700000000000001,0.45549242424242425,0.5949783549783552,0.792235609103079,0.8378333333333332,0.699810606060606,"[249, 200, 176, 131]",0.12380952380952397,0.2767965367965368,0.16311482168625022
18,128,128,4,3,2,0.1,1e-05,0.0001,0.5567099567099566,0.7281368821292774,0.7679127725856698,0.5069808027923209,0.6303463203463204,0.8063371356147021,0.8602803738317756,0.7508726003490401,"[263, 214, 191, 152]",0.1428571428571431,0.32978354978354973,0.19005359719645432
19,128,128,4,3,2,0.0,0.0001,0.0001,0.5281385281385279,0.725452196382429,0.8210445468509984,0.6038525963149078,0.6311255411255412,0.8310077519379846,0.8778033794162825,0.8065326633165829,"[258, 217, 199, 168]",0.16623376623376654,0.3690909090909091,0.2185075242218099
22,64,256,4,4,4,0.0,0.0001,0.0001,0.529004329004329,0.7599742599742598,0.8227272727272728,0.5563607085346214,0.6266666666666667,0.8368082368082369,0.906742424242424,0.7765700483091788,"[259, 220, 207, 168]",0.16450216450216484,0.3668831168831168,0.21549783549783555
27,64,256,3,4,2,0.1,1e-05,0.0001,0.5030303030303033,0.7295988934993086,0.7761437908496732,0.5101289134438304,0.5737229437229439,0.8349930843706778,0.8442810457516339,0.712707182320442,"[241, 204, 181, 135]",0.1290043290043292,0.289047619047619,0.1701339929911358
24,128,256,4,4,2,0.1,0.0001,0.001,0.5506493506493504,0.7477987421383647,0.7876106194690263,0.5686767169179229,0.6500432900432901,0.8436477987421384,0.8508849557522125,0.7922948073701842,"[265, 226, 199, 166]",0.1653679653679656,0.36549783549783543,0.21632034632034636
39,64,128,3,4,4,0.1,1e-05,0.0001,0.5411255411255412,0.7220026350461133,0.7883986928104577,0.504480286738351,0.615930735930736,0.7965744400527011,0.8681372549019606,0.7428315412186379,"[253, 204, 186, 146]",0.14025974025974047,0.3186147186147186,0.18641723356009074
14,64,128,3,3,4,0.1,1e-05,0.001,0.5108225108225108,0.7390438247011952,0.8083735909822867,0.5302197802197801,0.6125108225108225,0.8189907038512616,0.8401771336553943,0.7953296703296703,"[251, 207, 182, 152]",0.14891774891774912,0.3335930735930736,0.19637188208616782
15,64,256,3,4,2,0.0,0.0001,0.001,0.4952380952380952,0.7624378109452735,0.824561403508772,0.6203252032520324,0.657965367965368,0.8390547263681594,0.8540204678362571,0.773170731707317,"[268, 228, 205, 168]",0.16536796536796572,0.36783549783549785,0.21556998556998555
27,64,256,3,3,4,0.0,0.0001,0.0001,0.5437229437229437,0.7623697916666667,0.8019431988041854,0.5512195121951218,0.6164069264069265,0.8643229166666667,0.8902092675635276,0.7747967479674798,"[256, 223, 205, 165]",0.16277056277056307,0.36367965367965366,0.21346732632446916
