#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
18,128,256,4,4,2,0.0,1e-05,0.001,0.49523809523809537,0.689723320158103,0.7900641025641026,0.6336996336996336,0.6170621802439983,0.7897891963109354,0.8497596153846152,0.782051282051282,"[253, 208, 182, 149]",0.14718614718614745,0.3224635970090516,0.18998257154101308
20,128,128,4,3,2,0.1,1e-05,0.001,0.48484848484848453,0.73005698005698,0.7363945578231291,0.5525252525252524,0.5732133018496655,0.8075498575498576,0.7992346938775511,0.759090909090909,"[234, 196, 165, 131]",0.12554112554112565,0.2793270365997639,0.16395007589812777
26,64,256,4,3,4,0.0,1e-05,0.0001,0.527272727272727,0.7391304347826085,0.7665130568356378,0.554673721340388,0.6218063754427391,0.8416337285902503,0.8415514592933947,0.7676366843033509,"[253, 217, 189, 150]",0.14675324675324705,0.33575560802833526,0.1936987687637038
14,128,128,3,3,2,0.0,1e-05,0.001,0.4935064935064937,0.7398692810457514,0.7869496855345911,0.6140819964349377,0.6232782369146005,0.8150980392156864,0.8477987421383647,0.8159536541889482,"[255, 212, 187, 160]",0.1549783549783553,0.3554545454545455,0.2050632484398718
18,64,256,4,4,2,0.0,1e-05,0.001,0.5281385281385281,0.6909203980099503,0.792792792792793,0.675,0.6639492325855962,0.7956467661691543,0.8704204204204204,0.8333333333333333,"[268, 222, 200, 171]",0.16796536796536826,0.3852990948445494,0.22157755664249174
17,128,128,4,3,4,0.0,1e-05,0.0001,0.5974025974025976,0.6748826291079812,0.7924107142857143,0.5871021775544387,0.6942345533254624,0.7726525821596245,0.8638392857142857,0.8174204355108877,"[284, 224, 199, 170]",0.16709956709956741,0.37982487209759935,0.22101478607972116
29,64,128,3,3,2,0.1,0.0001,0.0001,0.561038961038961,0.7306666666666669,0.6666666666666665,0.46726190476190477,0.610767414403778,0.7782666666666668,0.8065833333333334,0.7172619047619047,"[250, 200, 168, 128]",0.11774891774891788,0.27701101928374655,0.15805419688536568
20,128,128,4,3,2,0.1,0.0001,0.0001,0.541991341991342,0.7480916030534349,0.7726574500768048,0.4868421052631579,0.6393171979535615,0.8150308978553253,0.8382488479262673,0.7359649122807016,"[262, 217, 190, 144]",0.14112554112554138,0.32125147579693036,0.18571259908922247
19,128,128,4,3,4,0.1,1e-05,0.001,0.5333333333333332,0.6130718954248365,0.7756052141527001,0.5195473251028807,0.6206572215663125,0.686591970121382,0.8732774674115455,0.6944444444444444,"[255, 179, 162, 118]",0.11861471861471871,0.2635045257772531,0.15395232473154546
16,128,256,3,4,4,0.1,0.0001,0.001,0.5341991341991342,0.7366412213740459,0.7405731523378585,0.5395189003436425,0.6431267217630853,0.8227735368956743,0.8485671191553543,0.6894329896907216,"[262, 221, 194, 144]",0.14112554112554138,0.31116686343959077,0.18385956035306678
16,128,128,3,3,4,0.0,1e-05,0.0001,0.5194805194805194,0.6749680715197954,0.7674796747967483,0.608108108108108,0.628711137347501,0.7704980842911878,0.855691056910569,0.7810810810810811,"[261, 205, 185, 148]",0.1411255411255414,0.3245434868162141,0.1865682802046438
16,128,256,4,3,2,0.1,1e-05,0.0001,0.574891774891775,0.7044025157232701,0.7633647798742139,0.5267379679144384,0.6372904368358914,0.7819496855345912,0.8514150943396226,0.7972370766488412,"[265, 212, 187, 155]",0.14285714285714315,0.3419460842188115,0.19304492044751786
15,64,256,3,3,2,0.1,0.0001,0.001,0.5523809523809523,0.7083333333333331,0.782051282051282,0.5999999999999998,0.640724124360488,0.7634469696969698,0.8838942307692308,0.8245614035087718,"[264, 208, 190, 160]",0.15844155844155877,0.36021251475796934,0.2079187046719514
19,128,128,4,3,2,0.0,0.0001,0.0001,0.5558441558441556,0.763059701492537,0.7712842712842713,0.5901771336553944,0.6574557260920897,0.8416666666666668,0.8617604617604617,0.7785829307568437,"[268, 231, 207, 166]",0.16709956709956747,0.3789157811885085,0.21967897902962844
18,128,128,3,3,4,0.0,0.0001,0.0001,0.5645021645021643,0.7447335811648078,0.7760646108663728,0.6024999999999997,0.6555135773317592,0.8366790582403966,0.8443465491923643,0.8325000000000001,"[269, 227, 200, 173]",0.17142857142857174,0.38051751279024004,0.2242491707426773
18,64,128,3,3,4,0.1,1e-05,0.001,0.522077922077922,0.7143765903307888,0.8014354066985646,0.5526315789473683,0.6365682802046438,0.7711832061068703,0.8639553429027113,0.750438596491228,"[262, 209, 190, 146]",0.14285714285714307,0.32244391971664704,0.18712093101703486
25,64,128,4,4,4,0.0,1e-05,0.0001,0.5246753246753245,0.7434895833333333,0.7562305295950155,0.604609929078014,0.6244687131050767,0.8161458333333333,0.8437694704049844,0.8257978723404256,"[256, 214, 188, 161]",0.15497835497835527,0.3541538764266038,0.20506549727328943
16,128,256,4,3,2,0.0,1e-05,0.0001,0.5515151515151513,0.7046019900497511,0.7834101382488481,0.5757575757575757,0.6573691460055096,0.7916044776119403,0.8817972350230414,0.7735690235690236,"[268, 217, 198, 158]",0.15584415584415615,0.3562947658402204,0.2055231348737842
21,64,256,4,3,4,0.1,0.0001,0.0001,0.5393939393939393,0.7213333333333334,0.7641666666666669,0.47443181818181834,0.6055942542306177,0.780152380952381,0.847,0.7301136363636364,"[250, 200, 176, 134]",0.1281385281385283,0.2980480125934672,0.17050542531062005
29,64,128,3,4,4,0.1,0.0001,0.0001,0.5246753246753245,0.7382920110192835,0.7194719471947194,0.5142857142857142,0.5821743408107044,0.8155844155844156,0.8273102310231022,0.7361904761904761,"[242, 202, 175, 132]",0.12467532467532486,0.28809523809523807,0.16603418226794844
18,64,256,3,4,2,0.0,0.0001,0.001,0.5454545454545454,0.7220216606498194,0.8103703703703704,0.6448220064724917,0.6809838646202281,0.7950661853188928,0.8866666666666667,0.8349514563106796,"[277, 225, 206, 179]",0.1731601731601734,0.40772530499803233,0.23227413279361336
16,128,256,4,3,4,0.0,1e-05,0.0001,0.5419913419913421,0.7148288973384028,0.7858255451713396,0.6608040201005025,0.6412652499016135,0.7982256020278834,0.8988317757009345,0.8639028475711892,"[263, 214, 199, 178]",0.17575757575757603,0.4002380952380952,0.23268454489233714
20,128,256,4,3,2,0.1,0.0001,0.001,0.5532467532467532,0.7207547169811319,0.7570370370370368,0.5754385964912279,0.6512436048799685,0.8313207547169811,0.8188888888888889,0.8013157894736842,"[265, 225, 190, 156]",0.1606060606060609,0.3581129476584022,0.20954910889975825
13,64,256,3,3,2,0.0,0.0001,0.001,0.5281385281385279,0.7487373737373737,0.7868731563421828,0.599009900990099,0.649771743408107,0.8301767676767676,0.8606932153392329,0.7792904290429044,"[264, 226, 202, 164]",0.1627705627705631,0.3665092483274302,0.21279192668803062
29,64,256,3,3,4,0.1,1e-05,0.0001,0.5774891774891776,0.7147315855181025,0.7264150943396226,0.4878957169459961,0.652737111373475,0.7732209737827715,0.8187106918238993,0.7504655493482308,"[267, 212, 179, 139]",0.13506493506493533,0.31157811885084613,0.1792252768876145
18,64,128,4,4,2,0.0,0.0001,0.001,0.47186147186147215,0.7359999999999999,0.8131067961165052,0.6335125448028672,0.6132821723730815,0.7986,0.8661003236245954,0.8122759856630825,"[250, 206, 186, 158]",0.15584415584415615,0.3467079889807162,0.2026828582672739
20,128,256,3,4,4,0.0,1e-05,0.0001,0.5480519480519481,0.7490909090909091,0.7979797979797981,0.6549295774647884,0.6740869736324281,0.8235151515151516,0.8878066378066377,0.8536776212832551,"[275, 231, 213, 186]",0.18354978354978368,0.42198937426210154,0.24377298026648686
29,64,128,3,3,4,0.0,1e-05,0.0001,0.5541125541125541,0.734234234234234,0.7554012345679014,0.537521815008726,0.6262219598583234,0.8222651222651223,0.8525462962962962,0.7613438045375218,"[259, 216, 191, 151]",0.14502164502164527,0.3358854781582055,0.1928144150222072
23,64,256,3,3,2,0.1,1e-05,0.001,0.5255411255411255,0.6839506172839503,0.7954186413902055,0.6352530541012213,0.662780401416765,0.7625925925925926,0.8616903633491311,0.8145724258289703,"[270, 211, 191, 158]",0.16017316017316052,0.3585478158205431,0.20919885309495698
11,64,128,3,3,4,0.0,1e-05,0.001,0.5056277056277059,0.7397435897435897,0.7468553459119497,0.6010928961748633,0.6352951593860685,0.7981410256410256,0.828616352201258,0.8051001821493624,"[260, 212, 183, 153]",0.14718614718614745,0.33527941755214485,0.19424298645077856
19,64,256,4,3,4,0.0,0.0001,0.001,0.5142857142857142,0.7308641975308642,0.7758112094395281,0.6558333333333333,0.6596713892168437,0.815679012345679,0.859882005899705,0.8179166666666666,"[270, 226, 200, 171]",0.16709956709956741,0.3767079889807162,0.21895373025243156
26,64,128,4,3,4,0.0,0.0001,0.0001,0.5523809523809523,0.7072072072072071,0.7550387596899224,0.5349907918968693,0.6305076741440376,0.8096708953851811,0.8123255813953488,0.7651933701657458,"[259, 215, 181, 144]",0.14025974025974053,0.32257182211727664,0.18539944903581265
20,64,256,4,4,4,0.1,0.0001,0.001,0.5047619047619047,0.7350597609561753,0.762019230769231,0.6612021857923496,0.6163085399449035,0.8101119332195029,0.847676282051282,0.8879781420765026,"[251, 208, 183, 168]",0.163636363636364,0.3772924045651319,0.216885927924889
23,64,256,4,4,4,0.1,1e-05,0.0001,0.548051948051948,0.7019607843137251,0.7401960784313726,0.4877589453860639,0.6190141676505311,0.7863398692810458,0.8254901960784314,0.7198681732580037,"[255, 204, 177, 133]",0.1281385281385283,0.28781188508461236,0.16827908022713212
27,64,128,3,3,2,0.1,1e-05,0.0001,0.5645021645021644,0.6963824289405683,0.7116013071895423,0.4741379310344828,0.6200747737111373,0.775858250276855,0.8197712418300654,0.7183908045977011,"[258, 204, 174, 131]",0.12380952380952397,0.2856473829201102,0.16437060774723108
16,64,256,4,3,2,0.1,1e-05,0.001,0.514285714285714,0.7170542635658913,0.7721417069243154,0.593806921675774,0.6356572215663124,0.7896917681801403,0.8417874396135265,0.7827868852459017,"[258, 207, 183, 150]",0.1471861471861475,0.3355391578118851,0.19442851520773596
15,128,256,4,3,4,0.0,0.0001,0.0001,0.5411255411255413,0.7116104868913856,0.7815829528158296,0.6271043771043769,0.6501377410468319,0.8032102728731944,0.8691019786910198,0.8228114478114478,"[267, 219, 198, 167]",0.16450216450216487,0.3832880755608028,0.2195429246078597
13,64,128,4,3,2,0.0,1e-05,0.001,0.5012987012987011,0.702,0.7938808373590981,0.5738738738738738,0.6096418732782368,0.8062666666666667,0.8553945249597423,0.7603603603603603,"[250, 207, 185, 146]",0.14545454545454564,0.32069067296340026,0.18915331421824924
