#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
24,64,64,2,2,64,128,0.0,1e-05,0.001,0.4199134199134199,0.6468085106382981,0.8142857142857145,0.7267932489451475,0.5691496598639455,0.7318439716312056,0.8608571428571428,0.8386075949367089,"[235, 175, 158, 137]",0.48327267492347536,0.7787070524412297,0.6309898636823525
28,32,64,2,2,64,128,0.0,1e-05,0.001,0.4095238095238097,0.6902587519025876,0.7771535580524345,0.7526205450733752,0.5289146567717996,0.7903348554033486,0.8556179775280898,0.8496855345911951,"[219, 178, 159, 137]",0.4616246092494153,0.7982130234678503,0.6299188163586328
29,128,128,4,2,128,128,0.0,0.0001,0.001,0.4251082251082249,0.6602564102564104,0.8142076502732242,0.6991869918699188,0.5711008039579468,0.761039886039886,0.8662112932604736,0.8217479674796747,"[234, 183, 164, 138]",0.4874070441943702,0.7555293353280988,0.6214681897612345
39,64,64,2,2,128,128,0.1,0.0001,0.001,0.4112554112554114,0.6770370370370371,0.7871939736346516,0.7215053763440858,0.5441836734693877,0.7584444444444446,0.839265536723164,0.8174193548387096,"[225, 177, 155, 134]",0.46847252537422734,0.7664734308227699,0.6174729780984987
31,64,128,3,2,128,128,0.0,0.0001,0.001,0.4103896103896107,0.6525297619047618,0.7781065088757398,0.7215053763440858,0.5409833024118739,0.7406994047619048,0.8905325443786982,0.806021505376344,"[224, 169, 155, 131]",0.4667232453577744,0.7614253556349806,0.6140743004963775
50,32,128,4,2,64,64,0.0,0.0001,0.001,0.4337662337662337,0.5983847283406755,0.7797619047619044,0.6979865771812082,0.545235003092146,0.7179148311306902,0.8481150793650795,0.7959731543624161,"[227, 168, 149, 125]",0.4831547191252695,0.743766469485097,0.6134605943051832
23,128,64,2,2,64,128,0.1,1e-05,0.001,0.4008658008658007,0.6719219219219218,0.772904483430799,0.7028508771929826,0.5298361162646876,0.751126126126126,0.8578947368421052,0.8164473684210526,"[222, 171, 152, 131]",0.45641504581598724,0.755402371763705,0.605908708789846
25,64,64,2,2,128,128,0.2,1e-05,0.001,0.4129870129870128,0.7062404870624048,0.8147113594040966,0.6897590361445783,0.5339548546691403,0.8028919330289194,0.8802607076350093,0.8108433734939758,"[219, 179, 166, 140]",0.4657443672768203,0.7454160278206362,0.6055801975487283
33,128,128,4,2,128,128,0.1,0.0001,0.001,0.4372294372294369,0.6394849785407728,0.7949438202247191,0.671875,0.56430426716141,0.755937052932761,0.8622659176029962,0.7693749999999999,"[233, 178, 160, 128]",0.4927052101700752,0.7173270815264526,0.6050161458482639
37,128,64,4,2,64,128,0.2,0.0001,0.001,0.4051948051948052,0.6628440366972477,0.7950980392156862,0.7037037037037036,0.5272170686456401,0.7571100917431192,0.8615686274509804,0.7969498910675381,"[218, 170, 153, 126]",0.45822157228727456,0.7474297758850603,0.6028256740861675
48,128,128,4,2,128,64,0.2,0.0001,0.001,0.4233766233766231,0.6689602446483179,0.7793834296724469,0.6777777777777777,0.5222448979591837,0.7819571865443425,0.828612716763006,0.8016666666666666,"[218, 173, 150, 126]",0.46764223631731316,0.734534985605207,0.6010886109612601
43,64,128,3,3,128,64,0.1,1e-05,0.001,0.3740259740259739,0.6960352422907489,0.7844827586206896,0.7161290322580645,0.5438682745825603,0.7527165932452277,0.8528735632183908,0.8054838709677419,"[227, 174, 155, 129]",0.44323376347752524,0.7581828253332148,0.60070829440537
39,128,128,2,2,128,64,0.1,0.0001,0.001,0.4294372294372298,0.6047197640117994,0.7308488612836438,0.6832151300236406,0.5406029684601114,0.6958702064896755,0.8465838509316771,0.7643026004728133,"[226, 161, 141, 112]",0.478650351818969,0.7214876744623323,0.6000690131406506
47,128,128,4,3,64,64,0.1,1e-05,0.001,0.3610389610389611,0.587121212121212,0.7195945945945945,0.7272727272727273,0.5281570810142239,0.6568181818181819,0.7844594594594595,0.8203856749311295,"[220, 148, 121, 102]",0.4288936854789564,0.7710281886145183,0.5999609370467374
37,32,64,3,2,64,128,0.0,0.0001,0.001,0.4103896103896107,0.6236802413273004,0.7621951219512194,0.6867612293144207,0.5309492888064317,0.7181749622926094,0.8173780487804879,0.7950354609929078,"[221, 164, 141, 118]",0.4629492565451363,0.7369425699375868,0.5999459132413616
38,128,64,2,2,64,64,0.1,0.0001,0.001,0.4190476190476189,0.6218236173393124,0.7838383838383841,0.6701149425287357,0.5357513914656773,0.7301943198804186,0.8443434343434343,0.7878160919540229,"[223, 165, 145, 119]",0.4702672343039981,0.7242144143948208,0.5972408243494094
70,32,128,2,2,64,64,0.2,0.0001,0.001,0.4164502164502163,0.6138032305433184,0.7825203252032519,0.6790540540540541,0.5440445269016697,0.7000734214390603,0.8715447154471545,0.7673423423423423,"[227, 164, 148, 118]",0.47177241219684807,0.720503631940879,0.5961380220688635
28,128,128,4,3,64,128,0.0,1e-05,0.001,0.3584415584415583,0.7062404870624049,0.7321772639691714,0.7210648148148149,0.5213945578231293,0.7729071537290715,0.7907514450867053,0.8097222222222222,"[219, 173, 144, 120]",0.4248279296887747,0.7628261673135407,0.5938270485011576
40,128,64,4,2,128,64,0.1,0.0001,0.001,0.4095238095238093,0.64031007751938,0.7869822485207101,0.6733780760626396,0.5133085961657389,0.7775193798449612,0.8422090729783038,0.7953020134228188,"[215, 169, 149, 122]",0.45558021254366277,0.7292792263222191,0.5924297194329409
38,32,64,2,2,64,128,0.0,0.0001,0.001,0.398268398268398,0.635860979462875,0.7127882599580713,0.6829573934837091,0.5018583797155226,0.7372037914691943,0.8077568134171907,0.7996240601503759,"[211, 159, 133, 111]",0.44410262628681646,0.7367003850595127,0.5904015056731646
67,32,64,4,2,64,64,0.1,0.0001,0.001,0.3922077922077922,0.677519379844961,0.7465483234714003,0.6908045977011493,0.5162275819418677,0.7734883720930233,0.8283037475345169,0.7586206896551725,"[215, 169, 145, 114]",0.44575208309057207,0.7231261450955728,0.5844391140930725
35,128,64,4,2,128,64,0.2,1e-05,0.001,0.4562770562770562,0.6953242835595775,0.7476979742173111,0.5979166666666665,0.5321614100185529,0.8095022624434389,0.8375690607734806,0.7697916666666667,"[221, 181, 160, 127]",0.49130633804147306,0.6730547093170854,0.5821805236792792
47,128,128,2,3,64,128,0.1,0.0001,0.001,0.3956709956709958,0.6421800947867301,0.7543859649122806,0.6603053435114503,0.5105936920222635,0.7093206951026857,0.8276315789473684,0.7843511450381679,"[211, 152, 131, 108]",0.4458457164870983,0.7170026319239263,0.5814241742055123
50,32,64,3,2,128,128,0.2,0.0001,0.001,0.3948051948051947,0.5893141945773523,0.7402597402597403,0.6496062992125984,0.5038064316635745,0.7165071770334929,0.7777056277056277,0.7724409448818897,"[209, 154, 127, 100]",0.4426949096545223,0.7057184712376069,0.5742066904460645
45,128,64,3,2,128,64,0.2,0.0001,0.001,0.3809523809523809,0.5993883792048927,0.6677704194260488,0.652542372881356,0.5223747680890538,0.6764525993883792,0.7292494481236202,0.7720338983050847,"[218, 151, 118, 93]",0.44059322663808237,0.707276742052249,0.5739349843451657
91,128,64,2,3,128,64,0.1,0.0001,0.001,0.3861471861471861,0.6056105610561057,0.7267573696145126,0.658263305322129,0.4841620284477428,0.7141089108910891,0.772562358276644,0.7829131652661064,"[202, 147, 119, 96]",0.4296353566965878,0.7151976436833236,0.5724165001899557
33,64,128,2,2,128,128,0.1,0.0001,0.001,0.3974025974025972,0.6410852713178293,0.7777777777777778,0.6373239436619718,0.5207452071737785,0.7250387596899226,0.8372427983539095,0.7564553990610329,"[215, 162, 142, 112]",0.45078907096291704,0.6917983691623425,0.5712937200626298
33,32,128,4,3,128,128,0.1,1e-05,0.001,0.3636363636363636,0.6344605475040257,0.7785234899328858,0.6654135338345865,0.4878509585652442,0.7067632850241546,0.84496644295302,0.7894736842105263,"[207, 149, 133, 107]",0.41668347594534444,0.7221542227662179,0.5694188493557811
55,32,64,3,3,64,64,0.2,1e-05,0.001,0.3463203463203462,0.5601626016260164,0.7558139534883721,0.699404761904762,0.4943908472479901,0.6174796747967479,0.8240310077519379,0.7626488095238095,"[205, 129, 112, 89]",0.4073161169885532,0.7296589119108203,0.5684875144496868
82,128,64,3,3,64,64,0.2,0.0001,0.001,0.3766233766233766,0.6388888888888888,0.70479302832244,0.6476964769647697,0.5033735312306741,0.7085714285714286,0.7631808278867103,0.7676151761517614,"[210, 153, 123, 99]",0.430870239072185,0.7025754987085535,0.5667228688903693
36,32,128,2,2,64,64,0.1,1e-05,0.001,0.3774891774891774,0.6342383107088989,0.7608695652173914,0.6496350364963501,0.5259461966604824,0.7102564102564104,0.829089026915114,0.735279805352798,"[221, 161, 137, 104]",0.4395200871291927,0.6898092341152391,0.5646646606222159
59,32,64,4,2,128,64,0.1,0.0001,0.001,0.3385281385281384,0.6321548821548822,0.7214611872146119,0.6694214876033059,0.4746722325293754,0.7104377104377105,0.7735159817351598,0.8024793388429752,"[198, 146, 121, 99]",0.39520372348133204,0.7299362879986636,0.5625700057399978
49,128,64,3,2,64,64,0.2,0.0001,0.001,0.4225108225108226,0.6503875968992249,0.7827380952380952,0.5877777777777778,0.5188713667285096,0.7610852713178294,0.8485119047619049,0.7077777777777778,"[215, 168, 150, 109]",0.46575932801728775,0.6422203163712599,0.5539898221942738
50,32,128,2,3,128,64,0.1,1e-05,0.001,0.3246753246753247,0.6259968102073366,0.7709750566893423,0.6770025839793281,0.4952968460111317,0.6782296650717703,0.8379818594104308,0.7563307493540051,"[209, 147, 129, 101]",0.39223444413900665,0.7144714488218834,0.553352946480445
29,32,128,4,2,64,64,0.1,1e-05,0.001,0.3636363636363637,0.6519379844961238,0.7572916666666665,0.6326034063260341,0.5129282622139764,0.7182945736434109,0.8207291666666666,0.7316301703163016,"[215, 160, 137, 103]",0.42556900558671396,0.6785227190377686,0.5520458623122413
28,128,128,3,2,64,64,0.1,1e-05,0.001,0.3714285714285713,0.6549844236760124,0.7960662525879918,0.6238095238095239,0.5150154607297465,0.7412772585669781,0.8230848861283643,0.7284523809523809,"[214, 161, 140, 105]",0.4315928584384959,0.6720821333199183,0.551837495879207
51,128,128,3,3,128,128,0.1,0.0001,0.001,0.3688311688311688,0.6330128205128205,0.7612903225806451,0.6376262626262627,0.5009616573902288,0.725801282051282,0.8031182795698925,0.7196969696969697,"[208, 155, 132, 98]",0.4248604220789608,0.6761804087385483,0.5505204154087546
43,128,128,4,3,64,64,0.2,1e-05,0.001,0.3012987012987012,0.6321243523316061,0.7051282051282052,0.6947040498442368,0.4649072356215213,0.6604490500863558,0.7806410256410257,0.7763239875389408,"[193, 130, 107, 87]",0.365635241303849,0.7332496790393216,0.5494424601715853
71,128,64,3,3,64,64,0.1,0.0001,0.001,0.3774891774891776,0.5315533980582526,0.7552083333333335,0.613095238095238,0.4908596165739023,0.6084142394822006,0.8326822916666667,0.7089285714285715,"[206, 128, 112, 83]",0.42677365176296905,0.6575384318518042,0.5421560418073866
49,64,64,3,3,128,128,0.0,0.0001,0.001,0.3298701298701296,0.5754560530679934,0.7320987654320988,0.6604938271604938,0.4751267779839208,0.65257048092869,0.7612345679012346,0.729320987654321,"[201, 135, 108, 82]",0.38939312792179837,0.6932031594848976,0.541298143703348
37,64,128,2,3,64,64,0.0,1e-05,0.001,0.2865800865800863,0.6228956228956228,0.7506082725060826,0.6681681681681683,0.4779839208410638,0.685016835016835,0.7509732360097324,0.7515015015015014,"[198, 137, 111, 86]",0.35832362520059663,0.7073890389596365,0.5328563320801165
99,32,64,2,3,128,128,0.1,0.0001,0.001,0.3549783549783549,0.5605345911949685,0.7867647058823528,0.6101928374655647,0.5050185528756957,0.6297169811320755,0.8450980392156862,0.6895316804407714,"[212, 136, 121, 88]",0.4169099993177829,0.6474407258059807,0.5321753625618818
79,32,64,2,3,128,128,0.2,0.0001,0.001,0.3333333333333332,0.5578947368421053,0.6325136612021859,0.578544061302682,0.4540692640692641,0.6342105263157896,0.6644808743169398,0.7183908045977011,"[190, 122, 87, 64]",0.3844448109663349,0.6409276897740198,0.5126862503701773
35,128,128,2,3,64,64,0.1,1e-05,0.001,0.2519480519480517,0.6444444444444445,0.7118863049095608,0.640893470790378,0.4238744588744588,0.6961111111111111,0.7055555555555556,0.7285223367697593,"[180, 129, 97, 73]",0.31604257767022376,0.6819042198622841,0.4989733987662539
42,128,128,3,3,64,64,0.0,0.0001,0.001,0.270995670995671,0.6335174953959486,0.6975806451612905,0.6185567010309279,0.437526283240569,0.6721915285451198,0.7321236559139784,0.707044673539519,"[181, 124, 97, 72]",0.3346903451505086,0.6598472650012361,0.49726880507587234
39,64,64,2,3,64,64,0.0,1e-05,0.001,0.3298701298701299,0.6077441077441077,0.647887323943662,0.5778816199376947,0.4751051329622758,0.7053872053872055,0.7103286384976525,0.616043613707165,"[198, 142, 107, 71]",0.38938585854373187,0.5963527219448356,0.4928692902442837
52,32,128,2,3,64,128,0.0,0.0001,0.001,0.2666666666666666,0.6175925925925927,0.6842818428184282,0.6166666666666667,0.4257297464440321,0.6703703703703703,0.666260162601626,0.6824074074074075,"[180, 123, 90, 64]",0.3279275577845162,0.647873604181516,0.4879005809830161
73,128,64,2,3,64,64,0.2,0.0001,0.001,0.2294372294372293,0.5664739884393064,0.6095238095238096,0.6056338028169014,0.4191032776747063,0.5922928709055877,0.5998412698412698,0.6631455399061034,"[173, 105, 71, 49]",0.296536280535365,0.6330862138604058,0.46481124719788536
63,64,128,4,3,128,64,0.2,0.0001,0.001,0.2363636363636364,0.3752913752913753,0.5199004975124377,0.527027027027027,0.3456648113790971,0.4638694638694639,0.4818407960199005,0.5698198198198199,"[143, 67, 37, 23]",0.2807511972907132,0.5475886564182252,0.4141699268544692
55,32,64,4,3,128,128,0.2,0.0001,0.001,0.2372294372294374,0.3804597701149425,0.5298507462686567,0.3791666666666666,0.3447619047619048,0.4494252873563218,0.5059701492537313,0.575,"[145, 67, 40, 23]",0.2810614754679023,0.45698689956331867,0.3690241875156105
