#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
29,128,128,2,2,128,128,0.0,0.0001,0.001,0.4683982683982686,0.6227336122733614,0.844144144144144,0.7137476459510357,0.5812976705833849,0.7525154413229729,0.9252895752895752,0.8361581920903954,"[239, 185, 177, 153]",0.5187765565509413,0.7701189667126606,0.644447761631801
23,128,128,3,2,64,128,0.0,1e-05,0.001,0.4484848484848487,0.6645919778699861,0.8393782383419686,0.7335164835164834,0.5891362605648319,0.7780082987551866,0.9159388107574636,0.8292124542124542,"[241, 193, 182, 154]",0.5092777782794672,0.7784344281560804,0.6438561032177739
25,128,64,3,2,128,128,0.2,1e-05,0.001,0.4969696969696969,0.6912350597609559,0.8120915032679736,0.6728723404255318,0.6165893630179344,0.7927812559286663,0.8969537815126051,0.7974290780141845,"[251, 204, 188, 155]",0.5503546958652824,0.7298747907298956,0.640114743297589
27,64,128,2,2,128,128,0.2,1e-05,0.001,0.4692640692640694,0.6646005509641874,0.8324786324786321,0.6983695652173914,0.5929086786229644,0.7938754427390791,0.9197191697191698,0.8147644927536233,"[242, 195, 184, 156]",0.5238898094233266,0.7520903010033446,0.6379900552133356
23,64,64,3,2,64,128,0.0,1e-05,0.001,0.4017316017316015,0.6382660687593422,0.8284883720930233,0.7606837606837605,0.5398783755926613,0.7466581251334614,0.8734219269102992,0.8685897435897436,"[223, 172, 156, 140]",0.4606709992249917,0.8110634720470784,0.6358672356360351
32,32,64,3,2,64,128,0.2,1e-05,0.001,0.438095238095238,0.6202185792349725,0.8288288288288289,0.7202380952380953,0.5933261183261183,0.7427790788446527,0.8886229086229087,0.8159722222222223,"[244, 185, 168, 144]",0.5040294065231982,0.7651221612312993,0.6345757838772488
25,128,64,4,2,64,128,0.2,1e-05,0.001,0.4380952380952379,0.6763888888888888,0.8238341968911918,0.7080979284369117,0.578514739229025,0.7879365079365078,0.8887367382186036,0.8182674199623353,"[240, 193, 177, 151]",0.4986072497364527,0.7592067857022532,0.628907017719353
53,32,128,2,2,128,64,0.1,0.0001,0.001,0.4025974025974029,0.6397379912663752,0.8579545454545454,0.7520080321285141,0.5502370645227788,0.7391557496360991,0.9097132034632036,0.8363453815261045,"[229, 176, 166, 143]",0.4649790087027768,0.791937662153037,0.6284583354279069
30,64,128,4,3,128,128,0.0,1e-05,0.001,0.4424242424242423,0.6210826210826212,0.7983425414364639,0.6860940695296522,0.5731034838177695,0.7499135124135125,0.8756906077348067,0.7985685071574643,"[234, 181, 163, 133]",0.49935588779453105,0.7380708929788684,0.6187133903866997
25,32,128,2,2,128,128,0.2,1e-05,0.001,0.4268398268398267,0.6174402250351614,0.7955801104972375,0.6919831223628693,0.5752319109461966,0.7438667872212175,0.850644567219153,0.7985232067510548,"[237, 181, 158, 129]",0.4900485264727557,0.7414454686888776,0.6157469975808166
