#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precisionatn nivel1,Precisionatn nivel2,Precisionatn nivel3,Precisionatn nivel4,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
22,128,256,4,3,2,0.1,0.0001,0.0001,68.93382352941177,83.2,87.5,78.3882783882784,0.6192937123169681,0.7928403755868543,0.7791164658634541,0.5405797101449273,0.6966982486362332,0.858910406885759,0.8967775865366228,0.8028985507246377,"[284, 249, 230, 191]",0.655719575141092
27,128,128,2,2,2,0.1,1e-05,0.0001,67.46323529411765,86.92098092643052,78.99686520376176,77.77777777777779,0.6227390180878551,0.7636904761904761,0.7719298245614034,0.5304414003044137,0.6902383003158197,0.8684027777777777,0.8505783689994216,0.7869101978691019,"[280, 247, 219, 176]",0.6547536128162571
27,128,128,2,3,2,0.1,1e-05,0.0001,68.19852941176471,84.09703504043127,83.33333333333334,81.53846153846153,0.6037898363479759,0.755868544600939,0.8030942334739802,0.5494672754946724,0.6950617283950619,0.8244816118935837,0.8847197106690778,0.8269406392694064,"[284, 237, 219, 186]",0.6462188884877275
33,64,64,4,2,4,0.0,0.0001,0.0001,67.64705882352942,82.06521739130434,80.13245033112582,72.31404958677686,0.6115417743324718,0.749699157641396,0.7310924369747899,0.5219512195121949,0.6807206431237438,0.8366927396710792,0.8249099639855942,0.7398373983739839,"[277, 238, 205, 160]",0.6442795275902083
18,128,256,4,3,4,0.0,1e-05,0.0001,71.32352941176471,84.27835051546391,88.9908256880734,79.38144329896907,0.5908699397071493,0.7614035087719295,0.8399470899470899,0.5896358543417366,0.703761125466552,0.8644736842105263,0.919189342403628,0.8064425770308123,"[285, 252, 238, 201]",0.6423935049277761
23,128,256,2,2,4,0.1,0.0001,0.0001,68.01470588235294,87.02702702702703,83.22981366459628,71.64179104477611,0.6020671834625324,0.7726190476190472,0.8232118758434546,0.4875183553597649,0.6864484639678439,0.8672123015873016,0.8853383458646618,0.7221732745961821,"[280, 247, 227, 171]",0.6414948768647112
27,64,256,3,2,4,0.2,0.0001,0.001,70.95588235294117,82.64248704663213,84.01253918495298,78.73134328358209,0.585701981050818,0.7775842044134726,0.7993055555555554,0.5650224215246635,0.707206431237439,0.8174893534649632,0.8906448412698413,0.7989536621823619,"[287, 240, 223, 186]",0.6407448568681716
34,64,256,4,2,2,0.1,1e-05,0.0001,66.54411764705883,77.90055248618785,83.68794326241135,72.03389830508475,0.6106804478897501,0.7458033573141484,0.7254464285714286,0.5032840722495893,0.6729687051392477,0.7809252597921663,0.8798788265306123,0.7348111658456487,"[278, 224, 203, 156]",0.6403133275170511
32,128,64,2,3,4,0.1,0.0001,0.0001,68.93382352941177,83.73333333333333,82.80254777070064,76.53846153846153,0.5917312661498705,0.7652582159624413,0.8006802721088437,0.5510510510510508,0.69420040195234,0.8417351330203443,0.8755004859086492,0.7778528528528529,"[284, 245, 222, 179]",0.6388832206228191
24,128,256,2,2,4,0.2,1e-05,0.0001,67.09558823529412,82.1917808219178,82.0,71.54471544715447,0.6012058570198104,0.7934782608695651,0.7506830601092895,0.4847792998477929,0.674519092736147,0.8502314814814815,0.8641100702576113,0.7255707762557078,"[276, 244, 219, 165]",0.6357558959746551
18,128,256,4,4,4,0.1,1e-05,0.0001,68.38235294117648,85.21505376344086,86.1198738170347,74.35897435897436,0.5925925925925926,0.7936221419975933,0.7873333333333333,0.5174672489082968,0.6822279643985071,0.8745988768551946,0.8905047619047619,0.758806404657933,"[277, 250, 229, 179]",0.6342590507267775
18,32,256,2,2,2,0.0,1e-05,0.001,69.11764705882352,80.85106382978722,85.85526315789474,80.84291187739464,0.5796726959517658,0.7391048292108356,0.8119834710743801,0.6352765321375188,0.6975165087568188,0.8277875932469572,0.8933884297520662,0.8116591928251121,"[283, 242, 223, 186]",0.6331579903921669
23,128,128,3,3,2,0.1,0.0001,0.0001,67.64705882352942,83.96739130434783,84.78964401294499,75.95419847328245,0.5943152454780358,0.7729468599033816,0.8032212885154059,0.5339366515837102,0.6758972150445018,0.8419786634460548,0.8987995198079232,0.7794117647058822,"[276, 238, 221, 180]",0.6324863465940884
23,128,128,3,4,2,0.1,0.0001,0.0001,68.38235294117648,83.60215053763442,85.20900321543408,78.49056603773586,0.5891472868217055,0.7997601918465227,0.7935528120713307,0.5257575757575755,0.6804191788687912,0.8501099120703438,0.8727611209092692,0.8003787878787879,"[278, 243, 220, 181]",0.6315023655165245
20,128,256,3,3,4,0.0,0.0001,0.001,67.64705882352942,83.96739130434783,87.70226537216828,84.50184501845018,0.5745047372954352,0.771867612293144,0.8134130146082336,0.642135642135642,0.7004019523399369,0.868784475965327,0.9009675583380762,0.8495670995670996,"[282, 251, 231, 201]",0.6312371609648525
