Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.15724923346473862,0.40283200884383535,0.21957352765499955,0.5269382391590011,0.7505787037037036,0.7426420260095823,0.6545601291364006,0.7214416077425275,0.8273230820105819,0.828713210130048,0.8022598870056498,"[576, 487, 413, 338]"
123,0.14410862899693327,0.3710760694991971,0.20153762137993414,0.4651773981603155,0.8063228974831186,0.7218683651804673,0.6409282700421942,0.6834459670859145,0.850087696220293,0.8186128803963199,0.7725738396624473,"[543, 471, 395, 310]"
47899,0.14498466929478693,0.37059529024049387,0.20216734645118362,0.5427069645203675,0.7609841827768014,0.7413194444444445,0.5725160256410261,0.7097115324447782,0.8333333333333333,0.8455208333333334,0.7403846153846154,"[569, 480, 416, 316]"
2025,0.13534822601839636,0.3506059278726822,0.18952648315329007,0.5378887428821727,0.7963314358001268,0.6684743311641362,0.5470536499560249,0.6558944997184155,0.861606578115117,0.8063991323210412,0.7550571679859278,"[527, 461, 379, 294]"
1,0.15900131406044593,0.4029050122019898,0.22058097399753124,0.4853263250109502,0.7834890965732085,0.7638588912886968,0.6737323358270993,0.6721878063533779,0.8466622162883846,0.8497480201583874,0.8208645054031587,"[535, 463, 401, 337]"
20,0.14367060884800642,0.3625159043030265,0.19863730225096857,0.4936487078405599,0.7561619718309858,0.7348163841807905,0.6308610400682015,0.7137908558079388,0.8121164486921529,0.8009433010492333,0.773913043478261,"[568, 472, 391, 307]"
99,0.15900131406044604,0.4052724068164279,0.2215531511852144,0.49978098992553616,0.7870046620046617,0.746826987307949,0.6608118657298987,0.7136469349018626,0.8599775224775225,0.8335337341349366,0.7833723653395784,"[572, 499, 427, 340]"
1020,0.13534822601839636,0.3473989946394677,0.18917379160480352,0.48488830486202344,0.7996183206106872,0.7326086956521739,0.5968586387434559,0.6587937759422648,0.8613049800072702,0.8030797101449276,0.7657068062827225,"[524, 460, 382, 298]"
345,0.14761279018834805,0.3802744926266608,0.20678533030701235,0.472623740692071,0.791891891891892,0.7468879668049794,0.6504460665044608,0.6993862503389442,0.8468468468468469,0.8293222683264176,0.767639902676399,"[555, 482, 411, 322]"
78,0.15505913272010438,0.39605051832384297,0.2164334351587966,0.4599211563731926,0.7652329749103942,0.7767229254571026,0.6891891891891894,0.6979574703293493,0.8339093701996928,0.8461322081575247,0.7985257985257985,"[558, 474, 407, 329]"
