DB Accession Number,ATC Codes,DB SMILES,Neutralized SMILES
CHEMBL219376,M01CA,O=C(O)c1c(O)c(-c2ccccc2)nc2ccccc12,O=C(O)c1c(O)c(-c2ccccc2)nc2ccccc12
CHEMBL2104231,G03DB,CC(=O)[C@@]1(C)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3CC[C@@]21C,CC(=O)[C@@]1(C)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3CC[C@@]21C
CHEMBL2105907,J01CE,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N=[N+]=[N-])c3ccccc3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N=[N+]=[N-])c3ccccc3)C(=O)N2[C@H]1C(=O)O
CHEMBL2103996,A01AD; B02BC,CNCC(=O)c1ccc(O)c(O)c1,CNCC(=O)c1ccc(O)c(O)c1
CHEMBL47298,J05AX,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2
CHEMBL2111135,R06AD,CC(CN1c2ccccc2Sc2ccccc21)[N+](C)(C)C,CC(CN1c2ccccc2Sc2ccccc21)[N+](C)(C)C
CHEMBL87708,N06AA,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1
CHEMBL3707231,D07AC,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](Cl)[C@@]12Cl,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](Cl)[C@@]12Cl
CHEMBL2110849,A03AX,CC(C)N(CCC(c1ccccc1)c1ccccc1)C(C)C,CC(C)N(CCC(c1ccccc1)c1ccccc1)C(C)C
CHEMBL328875,B02AA,NCc1ccc(C(=O)O)cc1,NCc1ccc(C(=O)O)cc1
CHEMBL2074725,C01AA,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O
CHEMBL2110962,A08AA,CC(Cc1ccccc1)NCCCCl,CC(Cc1ccccc1)NCCCCl
CHEMBL1187417,D08AJ; D09AA; R02AA,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1
CHEMBL2111066,D04AA; R06AD,CC(CN1c2ccccc2Sc2cccnc21)N(C)C,CC(CN1c2ccccc2Sc2cccnc21)N(C)C
CHEMBL1187724,A03BB,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
CHEMBL1997663,C01BC,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN(CC)CC)c1ccccc1S2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN(CC)CC)c1ccccc1S2
