learning_rate,kernel_regularizer,batch_size,kernel_initializer,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
0.001,None,32,he_uniform,0.30318690783807056,0.45795107033639143,0.5647382920110193,0.4261603375527426,0.5246482917025552,0.5420107033639144,0.6038567493112947,0.4379746835443038,"[218, 121, 79, 37]"
0.005,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,16,he_uniform,0.19207579672695957,0.2634730538922156,0.26851851851851855,0.0,0.394760264140109,0.31462075848303395,0.2824074074074074,0.0,"[167, 54, 16, 0]"
0.0001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,16,he_uniform,0.16881998277347118,0.2688888888888889,0.35106382978723405,0.11764705882352941,0.35279931093884587,0.2966666666666667,0.3404255319148936,0.11764705882352941,"[150, 47, 17, 2]"
0.005,None,16,glorot_uniform,0.28854435831179986,0.43287037037037035,0.5387931034482759,0.3675799086757991,0.5213752512202124,0.5133101851851852,0.5929802955665024,0.3972602739726027,"[216, 116, 73, 30]"
0.001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,16,glorot_uniform,0.19465977605512486,0.2441860465116279,0.25641025641025644,0.3125,0.4084409991386736,0.2800387596899225,0.2980769230769231,0.3125,"[172, 52, 16, 5]"
0.005,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,64,he_uniform,0.14814814814814833,0.20305164319248825,0.4117647058823529,0.21428571428571427,0.33471145564168825,0.2323943661971831,0.3897058823529412,0.21428571428571427,"[142, 34, 14, 3]"
0.0001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,64,he_uniform,0.17226528854435852,0.19496855345911948,0.4473684210526316,0.17647058823529413,0.37730404823428076,0.23270440251572327,0.41842105263157897,0.17647058823529413,"[159, 38, 17, 3]"
0.005,None,64,glorot_uniform,0.28854435831179986,0.4708141321044547,0.5611111111111111,0.33114035087719296,0.5219781797301176,0.5365463389656938,0.5976587301587302,0.3368421052631579,"[217, 120, 76, 28]"
0.0001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,32,he_uniform,0.17571059431524563,0.27672955974842767,0.32727272727272727,0.1111111111111111,0.3646425495262704,0.32459818308874916,0.3181818181818182,0.1111111111111111,"[159, 55, 18, 2]"
0.005,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,32,glorot_uniform,0.15331610680447907,0.23671497584541062,0.24358974358974358,0.3,0.31922193511340796,0.27445652173913043,0.2564102564102564,0.3,"[138, 39, 10, 3]"
0.0001,None,16,glorot_uniform,0.28165374677002564,0.4629629629629629,0.5466101694915254,0.35135135135135137,0.510594315245478,0.5177469135802469,0.5995762711864406,0.42117117117117114,"[216, 118, 74, 33]"
0.005,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,64,glorot_uniform,0.17398794142980195,0.25796178343949044,0.3163265306122449,0.11764705882352941,0.36899224806201547,0.28874734607218683,0.3469387755102041,0.11764705882352941,"[157, 49, 17, 2]"
0.005,None,32,he_uniform,0.31955211024978447,0.5022222222222222,0.46172839506172847,0.3691983122362869,0.5475595750789549,0.5814814814814815,0.5382716049382715,0.40295358649789026,"[225, 135, 79, 33]"
0.005,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,16,glorot_uniform,0.14987080103359196,0.3482758620689655,0.2982456140350877,0.05263157894736842,0.34661211599196096,0.350191570881226,0.3157894736842105,0.05263157894736842,"[145, 57, 19, 1]"
0.001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,64,he_uniform,0.1602067183462535,0.29504504504504503,0.33333333333333337,0.2631578947368421,0.34905254091300597,0.30367867867867865,0.36333333333333334,0.2631578947368421,"[148, 50, 19, 5]"
0.0001,None,64,glorot_uniform,0.2601205857019807,0.3407224958949097,0.49196787148594373,0.2978723404255319,0.4886448463967843,0.3866995073891626,0.5542168674698795,0.2978723404255319,"[203, 83, 47, 15]"
0.0001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,64,glorot_uniform,0.15762273901808785,0.22643678160919542,0.3780487804878049,0.1875,0.3385012919896641,0.25287356321839083,0.3902439024390244,0.1875,"[145, 41, 16, 3]"
0.001,None,16,he_uniform,0.2971576227390179,0.45870870870870867,0.5385674931129477,0.3026315789473684,0.5366637955785242,0.5215840840840841,0.5991735537190083,0.3157894736842105,"[222, 121, 76, 25]"
0.001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,64,glorot_uniform,0.16709732988802786,0.26145833333333335,0.425531914893617,0.15,0.36701119724375536,0.284375,0.4148936170212766,0.15,"[160, 47, 20, 3]"
0.001,None,64,he_uniform,0.2894056847545217,0.5064102564102564,0.5185185185185185,0.38963963963963966,0.5000861326442723,0.5827991452991453,0.5608465608465608,0.4099099099099099,"[208, 126, 74, 32]"
0.005,None,32,glorot_uniform,0.3393626184323857,0.4896694214876033,0.45153664302600466,0.3333333333333333,0.5835199540625897,0.5492998163452708,0.508274231678487,0.35964912280701755,"[242, 141, 76, 29]"
0.005,None,64,he_uniform,0.2713178294573641,0.48776758409785925,0.5112994350282487,0.34285714285714286,0.520714900947459,0.5170744138634047,0.5706214689265537,0.3547619047619047,"[218, 118, 70, 27]"
0.0001,None,16,he_uniform,0.2868217054263563,0.49605055292259087,0.47131147540983603,0.390547263681592,0.5060005742176285,0.5470642443391259,0.5204918032786885,0.4313432835820895,"[211, 122, 67, 31]"
