learning_rate,kernel_regularizer,batch_size,kernel_initializer,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
0.001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,32,he_uniform,0.1894918173987942,0.312015503875969,0.34375,0.2608695652173913,0.4043496985357451,0.34544573643410853,0.34375,0.23188405797101447,"[172, 64, 23, 6]"
0.0001,None,32,glorot_uniform,0.2911283376399651,0.48511904761904756,0.5067204301075269,0.3403755868544601,0.5372810795291416,0.5229414682539683,0.5325268817204301,0.37183098591549296,"[224, 124, 71, 28]"
0.005,None,16,he_uniform,0.29715762273901786,0.4508076358296624,0.5860215053763441,0.41025641025641024,0.5448463967843813,0.51070729319628,0.5954301075268816,0.44871794871794873,"[227, 124, 78, 37]"
0.0001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,16,glorot_uniform,0.1670973298880278,0.34696016771488475,0.3548387096774194,0.17391304347826086,0.37456215905828305,0.3694968553459119,0.3709677419354839,0.17391304347826086,"[159, 62, 23, 4]"
0.005,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,32,he_uniform,0.20671834625323002,0.29693486590038315,0.30050505050505055,0.047619047619047616,0.4196382428940569,0.353448275862069,0.30303030303030304,0.047619047619047616,"[174, 66, 21, 1]"
0.001,None,64,glorot_uniform,0.26701119724375516,0.47504025764895336,0.5427728613569321,0.2916666666666667,0.4958082113120873,0.5203972088030059,0.6120943952802359,0.3298611111111111,"[207, 113, 72, 26]"
0.001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,16,he_uniform,0.17226528854435846,0.2145833333333334,0.36585365853658536,0.34375,0.3793712316968131,0.24131944444444448,0.38414634146341464,0.375,"[160, 41, 16, 6]"
0.0001,None,32,he_uniform,0.2695951765719205,0.43608414239482196,0.5251572327044025,0.31025641025641026,0.492305483778352,0.49049352750809055,0.5799640610961365,0.34615384615384615,"[206, 106, 65, 25]"
0.0001,None,64,he_uniform,0.2575366063738156,0.3965811965811966,0.49149659863945583,0.3515151515151515,0.4650875681883433,0.47143874643874645,0.5352283770651117,0.36818181818181817,"[195, 98, 55, 22]"
0.0001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,32,glorot_uniform,0.1438415159345393,0.2012345679012346,0.41935483870967744,0.39285714285714285,0.31922193511340796,0.22592592592592592,0.41935483870967744,0.38095238095238093,"[135, 31, 14, 6]"
0.001,None,32,glorot_uniform,0.3057708871662358,0.4518348623853212,0.5478260869565217,0.3618421052631579,0.5322710307206431,0.48936034658511723,0.6304347826086957,0.4057017543859649,"[218, 115, 76, 33]"
0.001,None,16,glorot_uniform,0.297157622739018,0.46177370030581044,0.5403225806451613,0.3691983122362869,0.5259402813666378,0.5440239551478084,0.6084869431643625,0.41139240506329117,"[218, 124, 79, 34]"
0.001,<keras.src.regularizers.regularizers.L2 object at 0x00000207B791A8A0>,32,glorot_uniform,0.16537467700258413,0.19895833333333332,0.37142857142857144,0.15384615384615385,0.38293138099339646,0.20625,0.34285714285714286,0.15384615384615385,"[160, 35, 13, 2]"
