#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precisionatn nivel1,Precisionatn nivel2,Precisionatn nivel3,Precisionatn nivel4,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
294,64,32,4,4,32,64,0.0,0.0001,0.0001,23.52941176470588,25.78125,57.57575757575758,84.21052631578947,0.1309216192937123,0.2727272727272727,0.6333333333333333,0.6052631578947368,0.26546080964685614,0.2681818181818182,0.6166666666666667,0.8421052631578947,"[110, 30, 19, 16]"
269,32,128,3,4,32,32,0.1,0.0001,0.0001,24.080882352941178,21.374045801526716,35.714285714285715,20.0,0.14211886304909555,0.2196969696969697,0.4,0.15,0.26485788113695086,0.22272727272727272,0.4,0.2,"[110, 25, 10, 2]"
228,64,128,2,4,32,32,0.0,0.0001,0.0001,24.63235294117647,21.641791044776117,48.275862068965516,50.0,0.14728682170542637,0.20216049382716048,0.5466666666666667,0.4642857142857143,0.26076658053402235,0.21862139917695472,0.54,0.5,"[108, 25, 14, 7]"
133,32,64,2,4,32,128,0.0,1e-05,0.0001,27.75735294117647,33.77483443708609,64.70588235294117,57.57575757575758,0.15073212747631362,0.37926509186351703,0.62,0.4494949494949495,0.31201550387596894,0.378827646544182,0.65,0.5757575757575758,"[127, 50, 33, 19]"
239,64,128,2,3,32,32,0.2,1e-05,0.0001,23.713235294117645,33.33333333333333,65.11627906976744,64.28571428571429,0.1515934539190354,0.3364485981308411,0.6495726495726496,0.5,0.2592592592592593,0.3561786085150571,0.6923076923076923,0.6428571428571429,"[107, 39, 28, 18]"
258,32,64,4,4,32,32,0.2,0.0001,0.0001,28.125,33.33333333333333,39.21568627450981,65.0,0.1533161068044789,0.33070866141732286,0.43478260869565216,0.5,0.30964685615848403,0.347331583552056,0.42391304347826086,0.65,"[127, 46, 20, 13]"
207,32,128,4,4,128,32,0.2,1e-05,0.0001,25.183823529411764,31.386861313868614,53.48837209302325,56.52173913043478,0.1584840654608097,0.303834808259587,0.581081081081081,0.41304347826086957,0.27863910422049953,0.3274336283185841,0.5945945945945946,0.5652173913043478,"[113, 37, 23, 13]"
39,64,32,4,4,128,32,0.0,1e-05,0.001,40.07352941176471,12.844036697247708,46.42857142857143,15.384615384615385,0.1619293712316973,0.14945652173913043,0.4642857142857143,0.15384615384615385,0.4467700258397933,0.13858695652173914,0.4642857142857143,0.15384615384615385,"[184, 28, 13, 2]"
28,64,128,4,4,128,32,0.2,1e-05,0.001,40.07352941176471,12.844036697247708,46.42857142857143,15.384615384615385,0.1619293712316973,0.14945652173913043,0.4642857142857143,0.15384615384615385,0.4467700258397933,0.13858695652173914,0.4642857142857143,0.15384615384615385,"[184, 28, 13, 2]"
178,128,32,4,4,32,32,0.0,0.0001,0.0001,40.07352941176471,12.844036697247708,46.42857142857143,15.384615384615385,0.1619293712316973,0.14945652173913043,0.4642857142857143,0.15384615384615385,0.4467700258397933,0.13858695652173914,0.4642857142857143,0.15384615384615385,"[184, 28, 13, 2]"
58,64,32,3,4,64,128,0.1,0.0001,0.0001,40.07352941176471,12.844036697247708,46.42857142857143,15.384615384615385,0.1619293712316973,0.14945652173913043,0.4642857142857143,0.15384615384615385,0.4467700258397933,0.13858695652173914,0.4642857142857143,0.15384615384615385,"[184, 28, 13, 2]"
123,32,32,2,4,128,64,0.2,0.0001,0.0001,40.07352941176471,12.844036697247708,46.42857142857143,15.384615384615385,0.1619293712316973,0.14945652173913043,0.4642857142857143,0.15384615384615385,0.4467700258397933,0.13858695652173914,0.4642857142857143,0.15384615384615385,"[184, 28, 13, 2]"
29,64,64,2,4,64,32,0.0,0.0001,0.001,40.07352941176471,12.844036697247708,46.42857142857143,15.384615384615385,0.1619293712316973,0.14945652173913043,0.4642857142857143,0.15384615384615385,0.4467700258397933,0.13858695652173914,0.4642857142857143,0.15384615384615385,"[184, 28, 13, 2]"
21,128,32,3,4,128,64,0.0,0.0001,0.001,40.07352941176471,12.844036697247708,46.42857142857143,15.384615384615385,0.1619293712316973,0.14945652173913043,0.4642857142857143,0.15384615384615385,0.4467700258397933,0.13858695652173914,0.4642857142857143,0.15384615384615385,"[184, 28, 13, 2]"
