n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
50,40,2,1,None,0.3887445887445886,0.5475260416666667,0.6302681992337165,0.6718749999999999,0.6250649350649351,0.6654296875,0.6905172413793105,0.7565104166666666,"[256, 174, 128, 102]",0.4793614686265951,0.7116852780309935,0.5955233733287943
500,None,2,1,None,0.3757575757575757,0.5377492877492878,0.6385281385281385,0.6430678466076697,0.5765367965367965,0.6393162393162393,0.6905844155844156,0.7433628318584071,"[234, 154, 113, 89]",0.45498130684056665,0.6895876482771606,0.5722844775588636
50,None,2,1,None,0.3722943722943723,0.5190476190476192,0.6915113871635612,0.6256613756613756,0.5905627705627706,0.6378231292517006,0.748343685300207,0.7129629629629629,"[245, 161, 126, 95]",0.4566891310889153,0.6664653784219,0.5615772547554077
100,None,2,1,balanced,0.3601731601731602,0.516528925619835,0.5968468468468469,0.6194968553459118,0.5865800865800866,0.590013774104683,0.6719594594594596,0.7374213836477987,"[242, 148, 106, 81]",0.44630510474131874,0.673334936633216,0.5598200206872673
100,40,2,1,None,0.3939393939393937,0.5086321381142099,0.7085953878406711,0.5794270833333334,0.6031168831168833,0.6188579017264276,0.7614255765199162,0.6959635416666667,"[251, 159, 128, 95]",0.4765859357731534,0.6323711608814021,0.5544785483272777
100,20,5,1,None,0.3584415584415582,0.4795081967213114,0.6462829736211031,0.5920634920634921,0.5935930735930736,0.5505464480874316,0.7139088729016788,0.6863492063492063,"[244, 139, 105, 76]",0.44697623220722504,0.6357294610584902,0.5413528466328577
500,40,5,2,None,0.3601731601731601,0.4540466392318245,0.6390804597701149,0.5825242718446603,0.5821645021645023,0.5828532235939643,0.6740229885057473,0.6504854368932039,"[243, 145, 103, 71]",0.44502100863732613,0.6146319088754683,0.5298264587563972
100,20,2,1,None,0.3844155844155845,0.5313725490196081,0.6445783132530122,0.5416666666666667,0.6164069264069264,0.6322875816993464,0.7237951807228916,0.6328125,"[255, 166, 128, 84]",0.4735233796006322,0.5837028824833703,0.5286131310420012
50,40,2,1,balanced,0.3688311688311689,0.56612685560054,0.5898989898989899,0.5507246376811594,0.5950649350649351,0.6582995951417003,0.6554545454545455,0.658695652173913,"[247, 165, 115, 80]",0.4553986568537903,0.5998905879594654,0.5276446224066278
500,20,2,1,None,0.3593073593073592,0.4992816091954025,0.6621923937360178,0.5768115942028986,0.5607792207792208,0.628448275862069,0.7251677852348994,0.6637681159420289,"[232, 149, 115, 78]",0.437985088215633,0.6172423134227278,0.5276137008191804
