n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
500,40,2,2,None,0.36883116883116884,0.4397163120567376,0.6691542288557213,0.5247524752475248,0.5731880024737168,0.5297872340425531,0.7300995024875622,0.6386138613861386,"[235, 134, 101, 67]"
100,None,2,1,None,0.35930735930735935,0.5146842878120412,0.6609977324263039,0.6460055096418734,0.5498964131106988,0.6261380323054333,0.786281179138322,0.7107438016528925,"[227, 147, 121, 90]"
500,40,5,2,balanced,0.32640692640692626,0.4561011904761906,0.5701058201058202,0.5038314176245211,0.5334245516388374,0.538531037414966,0.6473544973544973,0.5862068965517241,"[224, 126, 87, 53]"
100,40,2,1,None,0.3809523809523809,0.5534188034188035,0.6327160493827161,0.5928961748633879,0.5707730364873221,0.6575854700854701,0.7205761316872428,0.6762295081967213,"[234, 162, 122, 86]"
500,None,2,2,balanced,0.33073593073593055,0.5081481481481482,0.5821428571428572,0.5192982456140351,0.5450803957946816,0.5845925925925926,0.6416666666666667,0.6157894736842106,"[225, 140, 95, 62]"
50,20,2,1,None,0.39826839826839816,0.5199203187250998,0.5848670756646216,0.6353276353276354,0.6028849721706865,0.6245019920318725,0.6952965235173824,0.6965811965811965,"[251, 163, 117, 86]"
50,None,2,2,balanced,0.33246753246753225,0.4902402402402403,0.5802469135802468,0.49290780141843976,0.5307591218305504,0.5767374517374517,0.6666666666666666,0.5851063829787234,"[222, 135, 94, 60]"
100,None,5,1,None,0.3861471861471863,0.4789196310935442,0.6137387387387387,0.533639143730887,0.6141573902288188,0.5602766798418972,0.7105855855855856,0.6422018348623854,"[253, 148, 109, 72]"
100,20,5,2,None,0.35238095238095235,0.5505050505050506,0.5526315789473685,0.49669966996699677,0.5555519480519481,0.6289940218511647,0.6348684210526315,0.5891089108910891,"[231, 152, 101, 63]"
500,None,5,1,balanced,0.34285714285714286,0.48085106382978715,0.5371702637889687,0.5777777777777777,0.564008967223253,0.5606382978723404,0.6177458033573142,0.6444444444444445,"[235, 139, 90, 62]"
100,20,5,1,None,0.3558441558441559,0.487994350282486,0.6025641025641025,0.5264797507788163,0.5657158317872605,0.5755649717514123,0.7097902097902098,0.5825545171339565,"[236, 143, 107, 69]"
