n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
500,None,2,2,None,0.38008658008658003,0.5520421607378131,0.5399201596806387,0.5231481481481481,0.6160018552875695,0.6416337285902504,0.6034930139720559,0.5725308641975309,"[253, 167, 108, 65]"
500,40,2,1,balanced,0.3696969696969698,0.4986449864498645,0.6190476190476191,0.5630630630630631,0.6000927643784787,0.6055555555555555,0.6885281385281385,0.6216216216216216,"[246, 154, 111, 73]"
500,40,2,2,None,0.3714285714285711,0.515456989247312,0.6143162393162395,0.4546783625730993,0.6049969078540507,0.6063844086021505,0.700534188034188,0.5023391812865498,"[248, 156, 114, 59]"
50,40,5,2,None,0.35411255411255416,0.4669479606188468,0.5821428571428571,0.4456140350877193,0.575451453308596,0.5767932489451477,0.655,0.49894736842105264,"[237, 140, 95, 51]"
500,None,5,2,None,0.3541125541125542,0.5006802721088437,0.6155555555555555,0.4811320754716982,0.5882003710575139,0.5882993197278912,0.6904444444444445,0.5094339622641509,"[245, 150, 106, 58]"
100,20,2,2,balanced,0.28051948051948017,0.42767295597484273,0.4804804804804805,0.3222222222222222,0.5132900432900434,0.49779874213836484,0.5093093093093093,0.35833333333333334,"[212, 111, 60, 24]"
500,None,2,1,None,0.3935064935064933,0.5247395833333335,0.6090534979423867,0.46045197740113,0.62143475572047,0.6116536458333333,0.688477366255144,0.538135593220339,"[256, 162, 118, 67]"
500,None,2,1,balanced,0.3610389610389609,0.5288065843621399,0.6222943722943722,0.6283185840707964,0.5952566481137911,0.6157750342935527,0.687987012987013,0.7153392330383481,"[243, 154, 113, 84]"
100,None,5,2,balanced,0.3004329004329003,0.46879756468797573,0.578125,0.4922480620155039,0.5274551638837353,0.564187866927593,0.6174479166666667,0.5290697674418605,"[219, 128, 86, 48]"
50,None,5,2,None,0.3506493506493504,0.5398550724637683,0.5927152317880795,0.5064102564102565,0.5626808905380334,0.6249275362318841,0.6437086092715232,0.5665064102564102,"[230, 151, 104, 62]"
100,None,2,1,balanced,0.3731601731601733,0.4779614325068871,0.5742009132420092,0.5825242718446602,0.5904452690166975,0.5800964187327824,0.6751141552511416,0.6394822006472493,"[242, 146, 103, 70]"
100,40,5,2,None,0.3662337662337663,0.4711021505376345,0.6,0.4833333333333333,0.6046722325293753,0.5666666666666667,0.6657471264367816,0.5823333333333334,"[248, 145, 100, 62]"
100,40,5,1,balanced,0.3393939393939393,0.46841397849462363,0.5712560386473429,0.3791208791208791,0.6028324056895484,0.5341397849462367,0.6294685990338165,0.4322344322344322,"[248, 138, 91, 42]"
500,40,5,2,None,0.35844155844155823,0.4431216931216931,0.624113475177305,0.43402777777777773,0.6104483611626468,0.5400132275132274,0.6539007092198582,0.49826388888888884,"[252, 141, 96, 50]"
100,40,2,2,balanced,0.30129870129870084,0.4701046337817638,0.6863517060367453,0.3468013468013468,0.5348144712430427,0.5534913516976298,0.7227034120734908,0.3754208754208754,"[223, 127, 99, 40]"
100,20,5,1,balanced,0.27099567099567085,0.44847020933977455,0.4793510324483775,0.28333333333333327,0.5069418676561533,0.5157004830917874,0.48259587020648964,0.325,"[207, 113, 60, 21]"
500,40,5,2,balanced,0.2995670995670993,0.42717717717717724,0.5811965811965811,0.43506493506493504,0.5392486085343228,0.4954954954954955,0.6138176638176638,0.4675324675324675,"[222, 117, 77, 38]"
