n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
500,None,2,1,None,0.3844155844155845,0.5028129395218005,0.6893939393939394,0.6151761517615175,0.5787878787878787,0.629395218002813,0.7559523809523809,0.7140921409214092,"[237, 154, 123, 91]",0.46198978549540354,0.6609537858885214,0.5614717856919624
100,20,2,1,None,0.3878787878787879,0.493951612903226,0.6452991452991453,0.5811594202898551,0.6042857142857142,0.6041666666666666,0.7077991452991453,0.717391304347826,"[248, 156, 115, 85]",0.472481347353724,0.6421292701863355,0.5573053087700297
50,40,2,1,None,0.3844155844155845,0.5115176151761521,0.6623376623376623,0.5903954802259888,0.6025108225108224,0.6039972899728997,0.7316017316017316,0.6949152542372881,"[246, 154, 118, 87]",0.4693653920428199,0.6384056621344757,0.5538855270886478
100,40,2,1,balanced,0.3454545454545455,0.4892703862660946,0.6863425925925927,0.6181818181818183,0.5774025974025974,0.5890557939914163,0.7349537037037037,0.7257575757575757,"[233, 144, 110, 83]",0.43228001944579486,0.6676642410577023,0.5499721302517486
500,40,2,1,None,0.3670995670995667,0.4900793650793651,0.6348684210526315,0.5530973451327434,0.6212770562770563,0.5879629629629629,0.7072368421052633,0.6607669616519174,"[252, 152, 113, 77]",0.4615053270463556,0.6021570124409941,0.5318311697436748
500,20,2,1,None,0.3688311688311689,0.5145833333333332,0.6293859649122807,0.5651515151515152,0.5860389610389609,0.6118055555555555,0.6836622807017543,0.653030303030303,"[240, 152, 110, 77]",0.4527305404558039,0.6059211518166742,0.529325846136239
500,40,5,1,None,0.3619047619047618,0.4819444444444445,0.6035714285714286,0.5387205387205388,0.5854761904761905,0.5690972222222223,0.6714285714285714,0.6700336700336701,"[240, 140, 99, 69]",0.4473102837516006,0.5972444969659455,0.5222773903587731
50,20,2,1,None,0.3696969696969698,0.4911202185792349,0.6394557823129251,0.5233644859813085,0.5991341991341991,0.5846994535519126,0.6921768707482993,0.6448598130841121,"[244, 147, 107, 72]",0.45724808405773565,0.5777943925233645,0.5175212382905501
100,40,2,1,None,0.3636363636363637,0.5661040787623068,0.7114583333333333,0.5192307692307693,0.5793939393939394,0.6687763713080169,0.7739583333333335,0.6538461538461539,"[237, 160, 130, 88]",0.44683337228324377,0.5788146279949559,0.5128240001390998
50,40,2,2,None,0.3411255411255411,0.4775362318840579,0.5698529411764707,0.5359848484848485,0.5545887445887445,0.5793478260869566,0.607843137254902,0.6477272727272727,"[230, 136, 88, 59]",0.4224212756618149,0.5865818181818183,0.5045015469218166
50,None,5,2,balanced,0.3134199134199131,0.3820621468926551,0.5574712643678161,0.574074074074074,0.5787445887445888,0.4579802259887005,0.5919540229885056,0.625,"[236, 116, 72, 46]",0.406629222428145,0.5984555984555984,0.5025424104418716
100,None,2,2,balanced,0.3082251082251079,0.4349070100143061,0.5633608815426997,0.5641025641025642,0.5584632034632036,0.5042918454935622,0.6067493112947657,0.6517094017094017,"[233, 121, 78, 53]",0.3972186517477591,0.604749673290974,0.5009841625193665
500,None,2,1,balanced,0.3454545454545452,0.5486409155937054,0.6103896103896103,0.5227272727272728,0.5752597402597402,0.6441344778254648,0.6883116883116883,0.6090909090909091,"[233, 154, 110, 70]",0.4316780898768343,0.5626140927345749,0.4971460913057046
100,40,5,2,None,0.3558441558441558,0.4347222222222223,0.6076923076923078,0.5055555555555555,0.5852597402597403,0.5159722222222222,0.6423076923076922,0.5981481481481481,"[240, 130, 90, 55]",0.44258930195589274,0.5479679343773304,0.49527861816661156
50,40,5,1,None,0.3298701298701296,0.5050287356321841,0.5729166666666666,0.5274725274725275,0.566125541125541,0.5969827586206896,0.6140046296296295,0.6227106227106227,"[232, 144, 91, 58]",0.41685001796126303,0.5711485966263037,0.4939993072937834
50,40,5,2,balanced,0.2822510822510822,0.4123630672926446,0.6183800623052959,0.5787037037037037,0.5148268398268399,0.4839593114241001,0.6448598130841121,0.6666666666666666,"[213, 107, 72, 50]",0.36460784745917124,0.6195786864931847,0.49209326697617795
100,None,2,1,None,0.3627705627705624,0.5287356321839083,0.664459161147903,0.4899425287356322,0.5718831168831169,0.6361350574712643,0.7190949227373069,0.5948275862068966,"[232, 151, 116, 72]",0.4439341858206634,0.5373144553551039,0.49062432058788363
500,20,5,1,None,0.3428571428571427,0.4949712643678161,0.6842723004694836,0.501557632398754,0.5648051948051948,0.5872844827586207,0.738262910798122,0.6121495327102804,"[232, 142, 107, 69]",0.426695010526746,0.5513626560355533,0.48902883328114966
50,40,5,1,balanced,0.2909090909090908,0.4666666666666667,0.674931129476584,0.5627240143369175,0.5283982683982684,0.5441860465116279,0.7334710743801653,0.6451612903225806,"[215, 121, 93, 62]",0.37523368526221734,0.601129510864363,0.48818159806329015
50,20,2,2,None,0.3385281385281383,0.4865470852017938,0.6567164179104479,0.5016339869281046,0.5433333333333332,0.5919282511210763,0.7356965174129353,0.6225490196078431,"[223, 134, 102, 66]",0.41714856086266405,0.5555888052895577,0.48636868307611086
50,None,5,2,None,0.3359307359307358,0.4510638297872341,0.6098191214470283,0.4981684981684982,0.5681601731601732,0.5354609929078014,0.6802325581395349,0.6098901098901099,"[235, 129, 91, 57]",0.42221963118321654,0.5483970574879666,0.48530834433559156
100,None,5,2,balanced,0.3082251082251081,0.4011799410029497,0.5275482093663912,0.5648148148148148,0.553982683982684,0.5103244837758112,0.5592286501377409,0.5833333333333334,"[226, 121, 72, 44]",0.3960794005077781,0.5739247311827957,0.48500206584528693
500,None,5,1,None,0.3489177489177487,0.4805194805194805,0.6349765258215961,0.4918300653594771,0.562987012987013,0.5963203463203464,0.6784037558685446,0.5931372549019608,"[231, 142, 102, 63]",0.4308260455423995,0.5377539570044886,0.484290001273444
50,40,5,2,None,0.329004329004329,0.4858630952380952,0.6258992805755396,0.5255102040816327,0.5429004329004328,0.6104910714285714,0.6678657074340528,0.5918367346938775,"[224, 139, 98, 60]",0.4097158323860076,0.5567048737303142,0.4832103530581609
50,None,2,1,None,0.361038961038961,0.5462962962962963,0.6687898089171974,0.4817927170868347,0.572987012987013,0.6509971509971509,0.7208067940552018,0.5675070028011204,"[234, 157, 119, 71]",0.4429654883492481,0.5211489828179003,0.4820572355835742
50,40,2,2,balanced,0.2805194805194803,0.4186795491143318,0.5738993710691823,0.5776255707762556,0.5024675324675324,0.4923510466988728,0.6493710691823898,0.6301369863013698,"[207, 106, 73, 48]",0.36003644721508354,0.6027397260273971,0.48138808662124033
500,40,5,2,None,0.3419913419913418,0.4788937409024745,0.6132315521628499,0.4893617021276596,0.5652380952380952,0.5480349344978166,0.6946564885496184,0.5797872340425532,"[229, 131, 94, 58]",0.42614696305587163,0.5307505028051234,0.4784487329304975
100,None,2,1,balanced,0.348051948051948,0.5240174672489082,0.6494252873563218,0.4895833333333333,0.5621428571428572,0.6179039301310044,0.7344827586206898,0.5684523809523809,"[229, 145, 112, 66]",0.4299187721032623,0.5260782934833568,0.4779985327933095
100,20,5,1,None,0.3307359307359306,0.4917043740573152,0.6070559610705596,0.5085034013605443,0.5304329004329005,0.5976621417797887,0.6788321167883211,0.5952380952380952,"[221, 137, 98, 60]",0.407430489047138,0.5484628365984299,0.477946662822784
50,20,5,1,None,0.346320346320346,0.5028368794326241,0.6390887290167866,0.4660194174757281,0.5711688311688311,0.575886524822695,0.7110311750599521,0.576051779935275,"[235, 139, 103, 64]",0.4311928516892183,0.5152264367122957,0.473209644200757
100,20,5,2,None,0.3393939393939397,0.4456521739130435,0.6348600508905853,0.476950354609929,0.5642640692640692,0.5485507246376811,0.693384223918575,0.5585106382978723,"[230, 131, 94, 56]",0.4238501811329905,0.5145183619935878,0.4691842715632891
50,None,2,2,None,0.3367965367965366,0.5361702127659576,0.6344444444444445,0.4678899082568808,0.5717099567099568,0.6141843971631205,0.6905555555555556,0.5672782874617737,"[235, 150, 109, 64]",0.42388234943448994,0.5128128684292549,0.46834760893187244
100,None,5,2,None,0.3601731601731598,0.5061224489795918,0.6144444444444446,0.4567901234567901,0.6008225108225109,0.5874149659863945,0.6861111111111111,0.5185185185185185,"[245, 150, 108, 59]",0.4503665291268334,0.4857008907641819,0.46803370994550764
500,20,5,2,None,0.3177489177489174,0.4887892376681613,0.5952380952380952,0.4908424908424909,0.543051948051948,0.6065022421524664,0.6273809523809524,0.5824175824175825,"[223, 140, 91, 55]",0.4009154163998386,0.5327232494467989,0.4668193329233188
100,40,2,2,balanced,0.3116883116883115,0.471342383107089,0.6375661375661374,0.4855072463768116,0.5342857142857144,0.5546757164404224,0.6832010582010581,0.588768115942029,"[221, 126, 92, 57]",0.39370147813500583,0.5321748906322556,0.46293818438363077
100,40,5,1,balanced,0.3264069264069261,0.4437134502923978,0.6755050505050505,0.4793814432989691,0.5508658008658008,0.5537280701754386,0.6893939393939394,0.5463917525773195,"[228, 132, 97, 55]",0.40992135588730677,0.5106978189918665,0.4603095874395866
50,None,5,1,balanced,0.2969696969696968,0.4433962264150943,0.6888888888888889,0.4963768115942029,0.5134199134199134,0.5400943396226415,0.7319444444444444,0.5652173913043478,"[212, 120, 92, 55]",0.37628852628852616,0.5285650690013355,0.4524267976449308
100,40,2,2,None,0.3307359307359306,0.4719696969696969,0.6423076923076925,0.4392361111111111,0.5273593073593075,0.5825757575757575,0.7038461538461539,0.546875,"[220, 130, 96, 53]",0.4065205436610945,0.48718089788732394,0.44685072077420923
100,None,5,1,balanced,0.3108225108225107,0.5090497737556561,0.5686274509803921,0.4641577060931899,0.5382683982683983,0.5938914027149321,0.6292892156862745,0.525089605734767,"[221, 136, 93, 52]",0.3940825022501375,0.4927471300192197,0.4434148161346786
500,None,2,2,balanced,0.3012987012987009,0.4731182795698925,0.5806451612903227,0.4477911646586346,0.5210389610389611,0.5606758832565284,0.6364247311827956,0.5662650602409639,"[217, 124, 83, 47]",0.3818099777670211,0.5001073601336038,0.44095866895031244
500,None,5,2,balanced,0.2787878787878786,0.4613526570048309,0.5869565217391305,0.4177777777777777,0.5006926406926406,0.539049919484702,0.6217391304347826,0.5066666666666667,"[207, 115, 75, 39]",0.3581540160014,0.4579487179487179,0.40805136697505895
100,20,2,1,balanced,0.2848484848484847,0.5119047619047619,0.60498687664042,0.407843137254902,0.509891774891775,0.5825396825396826,0.634514435695538,0.4980392156862745,"[210, 127, 85, 44]",0.36550784419074295,0.448450895509719,0.406979369850231
50,20,2,1,balanced,0.276190476190476,0.456910569105691,0.6452991452991453,0.4352941176470588,0.494069264069264,0.5495934959349593,0.6951566951566952,0.4725490196078431,"[205, 117, 85, 44]",0.35431483221063376,0.4531571591919705,0.40373599570130214
100,20,5,1,balanced,0.2450216450216449,0.4958540630182421,0.5470085470085471,0.4178743961352656,0.4825108225108225,0.5538971807628524,0.5555555555555556,0.463768115942029,"[201, 117, 69, 33]",0.3250043145794662,0.439626761961485,0.3823155382704756
50,20,2,2,balanced,0.2632034632034631,0.4370915032679738,0.6141975308641975,0.4009009009009009,0.4913203463203462,0.5049019607843137,0.6419753086419753,0.4391891891891892,"[204, 108, 74, 34]",0.3427783591758461,0.41917252373016456,0.3809754414530053
50,20,5,1,balanced,0.2493506493506491,0.4788494077834179,0.4985119047619047,0.3989071038251366,0.4759307359307358,0.5342639593908629,0.5052083333333334,0.4754098360655737,"[197, 112, 61, 30]",0.3272485423136012,0.43381147540983606,0.3805300088617186
100,20,2,2,balanced,0.2484848484848482,0.3841269841269841,0.5283687943262411,0.389937106918239,0.5079220779220779,0.4257936507936508,0.5301418439716311,0.4528301886792453,"[210, 94, 53, 24]",0.3337117526781578,0.41903689101661507,0.3763743218473864
500,20,2,1,balanced,0.283116883116883,0.481658692185008,0.6209677419354839,0.363095238095238,0.5066666666666667,0.5749601275917066,0.6458333333333333,0.4166666666666667,"[209, 124, 84, 36]",0.36325367244025425,0.38804071246819344,0.37564719245422384
500,20,5,1,balanced,0.2614718614718612,0.4786535303776683,0.5714285714285714,0.3733333333333333,0.4892424242424242,0.5578817733990148,0.5980392156862744,0.3933333333333333,"[203, 119, 75, 31]",0.34080376465983225,0.3830724637681159,0.36193811421397404
500,20,5,2,balanced,0.2415584415584414,0.3767361111111111,0.5648148148148148,0.380952380952381,0.4634632034632034,0.4600694444444445,0.5648148148148149,0.4107142857142857,"[192, 90, 56, 24]",0.317588686641861,0.3952738990332975,0.35643129283757924
