n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
50,40,2,1,None,0.405194805194805,0.5424966799468792,0.7172619047619049,0.6246913580246912,0.6086611008039581,0.6404793524315439,0.7465277777777778,0.7308641975308642,"[251, 168, 135, 104]",0.486511573707233,0.6736198250466616,0.5800656993769473
100,40,2,1,None,0.4138528138528137,0.5389105058365761,0.5968992248062014,0.5913978494623656,0.6302473716759431,0.6417207090358842,0.6841085271317829,0.7204301075268816,"[257, 172, 124, 94]",0.49962570988212,0.6495681297373523,0.5745969198097362
500,40,2,1,balanced,0.3636363636363634,0.5411522633744859,0.6468749999999999,0.6461748633879781,0.5851468769325913,0.6266689529035209,0.7015625,0.7418032786885246,"[243, 160, 122, 92]",0.4485338134626924,0.6906947850780948,0.5696142992703936
50,None,2,1,balanced,0.367099567099567,0.5244897959183673,0.6624472573839663,0.6162464985994398,0.594930426716141,0.6181519274376418,0.6944092827004219,0.7163865546218487,"[245, 158, 119, 89]",0.45403719947570315,0.662554038956623,0.5582956192161631
500,40,2,1,None,0.419047619047619,0.5246212121212123,0.6453488372093025,0.524547803617571,0.6468243661100804,0.622885101010101,0.6937015503875968,0.6679586563307494,"[264, 172, 129, 90]",0.5085980574305305,0.5876299338467698,0.5481139956386502
500,None,2,2,None,0.3896103896103897,0.4601593625498007,0.6833333333333335,0.5782608695652174,0.6050154607297464,0.564962372731297,0.7238888888888888,0.6695652173913044,"[251, 150, 115, 82]",0.47398790066559343,0.6205726405090137,0.5472802705873036
500,20,2,1,None,0.3913419913419912,0.5337381916329287,0.6392405063291139,0.569672131147541,0.6020516388373532,0.6115283277226597,0.7368143459915611,0.6721311475409835,"[247, 158, 122, 86]",0.4743499053658782,0.6166747822323215,0.5455123437990999
50,None,2,1,None,0.3965367965367963,0.5435374149659865,0.6575203252032521,0.5489417989417991,0.5945037105751392,0.6362018140589569,0.7304878048780488,0.6878306878306879,"[245, 164, 126, 89]",0.47574765154191195,0.6105876694111989,0.5431676604765554
100,None,5,2,None,0.3740259740259743,0.4737903225806451,0.6735159817351599,0.581081081081081,0.5982807668521954,0.5519233230926779,0.7191780821917807,0.6636636636636637,"[248, 146, 111, 76]",0.46029208099656277,0.6196329019006943,0.5399624914486285
50,40,2,1,balanced,0.3679653679653675,0.5245901639344264,0.6518046709129514,0.5833333333333334,0.5899845392702536,0.6153574681238616,0.7056263269639067,0.673728813559322,"[244, 157, 118, 82]",0.4532468273063039,0.6252808988764046,0.5392638630913542
50,20,5,2,None,0.3774891774891778,0.4607046070460705,0.6585081585081587,0.566358024691358,0.5947572665429809,0.5578816621499549,0.7086247086247085,0.6697530864197531,"[246, 143, 108, 76]",0.46184675239726636,0.6137312926742805,0.5377890225357734
100,None,2,1,balanced,0.3896103896103897,0.4830065359477124,0.6518046709129514,0.5583333333333333,0.6148623995052568,0.5864923747276689,0.7181528662420382,0.6416666666666667,"[255, 157, 120, 80]",0.4769801265376869,0.5971064814814815,0.5370433040095842
100,None,2,1,None,0.3870129870129871,0.5625000000000001,0.6373737373737374,0.5634920634920635,0.5815831787260359,0.6618171296296296,0.7038961038961038,0.6507936507936508,"[240, 165, 126, 86]",0.4647555940375596,0.6040045647888784,0.534380079413219
100,40,5,1,None,0.3679653679653679,0.5478142076502732,0.6460905349794238,0.5488505747126438,0.5868320964749537,0.6242372495446266,0.6748971193415637,0.6767241379310345,"[244, 162, 116, 80]",0.45231349339594157,0.6061163439382302,0.5292149186670859
