#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
22,64,64,3,2,128,128,0.0,1e-05,0.001,0.4253112033195022,0.6728187919463087,0.7852983988355169,0.6019417475728154,0.6029564315352697,0.7586689038031319,0.8857350800582242,0.7572815533980582,"[298, 229, 206, 157]",0.49878867476309824
30,128,128,3,2,128,128,0.1,0.0001,0.001,0.4142461964038724,0.6536723163841809,0.7869565217391306,0.6534653465346534,0.5983748271092668,0.7663841807909604,0.860144927536232,0.7945544554455446,"[295, 230, 202, 161]",0.489570116357795
56,32,64,4,2,128,64,0.0,0.0001,0.001,0.4232365145228215,0.6148018648018647,0.7256289308176098,0.6499068901303536,0.5793568464730291,0.7275641025641025,0.8317610062893083,0.7877094972067039,"[286, 212, 179, 142]",0.48914142444075703
36,128,64,3,2,64,128,0.1,0.0001,0.001,0.4073305670816041,0.6405895691609979,0.7593423019431987,0.6229946524064169,0.5929287690179805,0.7497165532879818,0.8243647234678625,0.7700534759358288,"[294, 223, 187, 145]",0.48291078724617115
40,64,64,4,2,128,128,0.1,0.0001,0.001,0.4121715076071921,0.5909090909090906,0.7405582922824303,0.6361904761904761,0.5569674965421852,0.7266060606060606,0.8456486042692939,0.7828571428571428,"[275, 203, 175, 139]",0.4737527470365068
33,128,128,2,2,64,128,0.2,0.0001,0.001,0.4024896265560165,0.6320422535211269,0.7697674418604652,0.6362007168458779,0.5725276625172891,0.7493544600938967,0.8527131782945737,0.8010752688172043,"[284, 215, 186, 150]",0.4726817619789871
29,32,128,3,2,64,128,0.2,1e-05,0.001,0.399723374827109,0.6107142857142858,0.7894736842105263,0.6384335154826957,0.5687240663900415,0.7366071428571429,0.8580542264752792,0.773224043715847,"[280, 209, 183, 142]",0.46947783325672604
44,32,64,2,3,128,128,0.2,1e-05,0.001,0.3997233748271091,0.5646135265700484,0.7725694444444445,0.6646942800788953,0.5580048409405257,0.6881038647342995,0.8611111111111112,0.7988165680473372,"[276, 192, 169, 136]",0.4657847070148913
24,128,128,3,2,128,128,0.0,0.0001,0.001,0.3858921161825724,0.6248548199767711,0.778830963665087,0.5814814814814815,0.5804806362378976,0.7244483159117305,0.8333333333333334,0.7222222222222222,"[287, 211, 180, 131]",0.4635952339504382
30,64,64,2,2,64,128,0.1,0.0001,0.001,0.3921161825726137,0.6068840579710143,0.7283333333333334,0.6191919191919191,0.5603388658367912,0.7092391304347826,0.8141666666666667,0.7515151515151515,"[276, 200, 165, 125]",0.46137177263308826
