#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
23,128,128,3,2,128,128,0.0,1e-05,0.001,0.4474412171507608,0.7003311258278144,0.7769028871391072,0.6814814814814812,0.6061549100968189,0.8325607064017659,0.8713910761154856,0.8377777777777777,"[302, 254, 225, 191]",0.514843750354633
35,128,64,3,2,64,64,0.1,1e-05,0.001,0.4377593360995849,0.703638497652582,0.7669491525423727,0.5971563981042652,0.5736514522821576,0.8196009389671362,0.8841807909604521,0.7851500789889415,"[284, 236, 211, 167]",0.4965762315139908
43,32,64,2,2,128,64,0.1,1e-05,0.001,0.4408713692946057,0.6696428571428571,0.7518037518037515,0.624378109452736,0.5612033195020746,0.8185714285714285,0.8542568542568543,0.7927031509121062,"[280, 231, 201, 161]",0.4938124446964424
23,128,128,3,2,64,128,0.0,1e-05,0.001,0.4024896265560171,0.7091722595078298,0.7941970310391362,0.6704545454545456,0.603042876901798,0.8208053691275168,0.8771929824561403,0.7954545454545454,"[298, 247, 220, 176]",0.48276609952798727
35,32,128,4,2,128,64,0.1,1e-05,0.001,0.4170124481327802,0.6996466431095404,0.8024691358024688,0.6103286384976523,0.565698478561549,0.8537102473498233,0.8689986282578875,0.7848200312989045,"[283, 243, 213, 169]",0.4801072238882676
35,64,64,2,3,128,128,0.0,1e-05,0.001,0.4076763485477178,0.6925795053003533,0.7699849170437403,0.597079037800687,0.5650069156293223,0.7749116607773852,0.8638763197586727,0.7731958762886598,"[283, 221, 194, 150]",0.47361759937928966
25,64,64,2,2,64,128,0.1,1e-05,0.001,0.3921161825726141,0.6912943871706759,0.7911301859799713,0.6543513957307059,0.5850622406639004,0.790721649484536,0.8612303290414879,0.7848932676518884,"[291, 233, 203, 161]",0.4695403969659328
23,128,64,2,2,128,128,0.1,1e-05,0.001,0.3941908713692943,0.7049941927990707,0.7666666666666665,0.6674958540630184,0.578838174273859,0.8128919860627178,0.8343971631205674,0.8275290215588723,"[287, 235, 201, 168]",0.46899468278052514
50,64,64,4,2,128,64,0.0,0.0001,0.001,0.4097510373443983,0.6586715867158672,0.7570093457943924,0.6165755919854279,0.5466804979253111,0.7771217712177122,0.8403426791277259,0.7859744990892532,"[271, 214, 183, 145]",0.4684138756626852
24,128,64,3,2,128,128,0.2,1e-05,0.001,0.4004149377593361,0.6928223844282236,0.7690582959641256,0.6445578231292515,0.5549792531120332,0.804014598540146,0.8710762331838565,0.7933673469387756,"[274, 223, 196, 157]",0.46519433594189974
