Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.0,0.0,0.0,0.10512483574244409,0.15813953488372093,0.34615384615384615,0.0,0.25714129278518244,0.17069767441860467,0.358974358974359,0.0,"[215, 39, 14, 0]"
123,0.0008760402978537013,0.001314060446780552,0.0010512483574244417,0.09855453350854142,0.17980295566502463,0.2692307692307692,0.18181818181818182,0.24264647602361133,0.17282430213464695,0.2649572649572649,0.18181818181818182,"[203, 39, 11, 2]"
47899,0.0,0.0,0.0,0.09986859395532192,0.1188118811881188,0.2222222222222222,0.0,0.23987808439188205,0.13366336633663367,0.2222222222222222,0.0,"[202, 27, 6, 0]"
2025,0.0008760402978537013,0.002628120893561104,0.001314060446780552,0.09986859395532198,0.16159052453468697,0.25,0.2,0.23825375967294493,0.1637660140198211,0.2598039215686274,0.2,"[197, 34, 10, 2]"
1,0.0,0.0,0.0,0.09767849321068779,0.08663366336633663,0.21052631578947367,0.0,0.23820213586967862,0.08663366336633663,0.21052631578947367,0.0,"[202, 19, 4, 0]"
20,0.0004380201489268506,0.001314060446780552,0.000657030223390276,0.09899255365746822,0.14766839378238342,0.24242424242424243,0.125,0.22898024737709363,0.16839378238341968,0.24242424242424243,0.125,"[193, 33, 8, 1]"
99,0.0008760402978537013,0.002628120893561104,0.001314060446780552,0.10118265440210253,0.21,0.2553191489361702,0.16666666666666666,0.24314863483720253,0.2225,0.2553191489361702,0.16666666666666666,"[200, 47, 12, 2]"
1020,0.0008760402978537013,0.001501783367749202,0.0009198423127463862,0.09636443276390719,0.21641791044776118,0.35106382978723405,0.11764705882352941,0.2379779112696327,0.23134328358208955,0.33687943262411346,0.11764705882352941,"[201, 47, 17, 2]"
345,0.0008760402978537013,0.0017520805957074025,0.0010950503723171265,0.0972404730617609,0.17517006802721088,0.25675675675675674,0.2,0.23386573639530278,0.17687074829931976,0.25675675675675674,0.2,"[196, 37, 10, 2]"
78,0.0004380201489268506,0.001314060446780552,0.000657030223390276,0.09855453350854142,0.14540816326530612,0.3548387096774194,0.09090909090909091,0.23473134764199155,0.14965986394557823,0.3387096774193548,0.09090909090909091,"[196, 31, 11, 1]"
