#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
19,64,128,2,3,2,0.2,1e-05,0.001,0.4095238095238093,0.5498366013071895,0.7352941176470589,0.4985380116959064,0.4898577612863327,0.652859477124183,0.7809173669467786,0.5913742690058479,"[204, 136, 114, 72]",0.44610301797952195
33,128,256,2,4,4,0.1,1e-05,0.0001,0.3878787878787879,0.6156773211567732,0.7538126361655774,0.5674300254452925,0.5177334570191713,0.6864535768645357,0.8237005913476501,0.6730279898218828,"[219, 153, 131, 94]",0.4434962687049755
22,128,256,4,4,2,0.0,1e-05,0.0001,0.392207792207792,0.5639810426540285,0.7523148148148149,0.6147540983606558,0.5090702947845805,0.659044233807267,0.8025132275132276,0.7336065573770492,"[211, 144, 122, 94]",0.44306266684528833
22,128,256,2,4,4,0.0,0.0001,0.0001,0.3818181818181817,0.5173453996983407,0.8133802816901408,0.611111111111111,0.5251030715316429,0.6210407239819004,0.8473340040241449,0.7037037037037036,"[221, 142, 126, 95]",0.4421418051430723
39,64,256,4,3,4,0.0,0.0001,0.0001,0.3757575757575757,0.5749999999999998,0.813199105145414,0.6201550387596899,0.5278808493094207,0.6613636363636364,0.8180888462767658,0.7028423772609819,"[220, 149, 129, 96]",0.4390145941628187
82,64,64,2,3,2,0.2,0.0001,0.0001,0.3878787878787876,0.5764895330112719,0.6960784313725489,0.4638364779874214,0.4954493918779633,0.648090637221072,0.7339810924369748,0.5778301886792454,"[207, 136, 106, 66]",0.4351141828846158
36,128,128,4,4,4,0.2,0.0001,0.0001,0.3930735930735932,0.5626016260162602,0.7189054726368158,0.4579579579579579,0.4867192331478046,0.6342276422764227,0.7923951670220326,0.5864864864864866,"[205, 134, 111, 71]",0.4349125659801348
9,128,128,2,3,4,0.1,0.0001,0.001,0.3852813852813854,0.5123762376237624,0.752,0.5046728971962617,0.4785301999587715,0.6011551155115512,0.8155428571428571,0.604361370716511,"[202, 125, 107, 68]",0.4268726687379068
29,128,128,4,4,4,0.1,1e-05,0.0001,0.3844155844155843,0.5665024630541873,0.7748091603053435,0.5315315315315317,0.4783137497423212,0.629720853858785,0.8058160668847693,0.6501501501501501,"[203, 131, 111, 77]",0.426254799416731
25,128,128,2,2,4,0.0,0.0001,0.0001,0.3696969696969697,0.5311004784688995,0.7595419847328245,0.5565476190476192,0.5012213976499691,0.6029505582137161,0.816993820428935,0.681547619047619,"[209, 131, 112, 80]",0.42552789975700983
60,64,256,2,2,4,0.0,0.0001,0.0001,0.3653679653679655,0.576923076923077,0.8075117370892019,0.5538057742782153,0.4992011956297671,0.6664091117216115,0.8642689470154259,0.6732283464566929,"[208, 142, 127, 90]",0.42192604914572485
40,128,256,2,4,4,0.2,1e-05,0.0001,0.3653679653679652,0.5563725490196078,0.7709923664122138,0.5645645645645647,0.4926716141001855,0.6214110644257703,0.7898945837877135,0.6591591591591592,"[204, 131, 111, 76]",0.4195760418182846
10,128,128,2,3,2,0.0,1e-05,0.001,0.3653679653679655,0.5346534653465349,0.7559055118110236,0.558641975308642,0.4813079777365492,0.610543375766148,0.8113048368953881,0.6504629629629629,"[202, 127, 108, 76]",0.41539981848584384
30,128,128,4,2,2,0.1,0.0001,0.0001,0.3688311688311687,0.5676818950930628,0.7406015037593986,0.5075757575757576,0.4688157081014223,0.6534263959390862,0.8011278195488722,0.584848484848485,"[197, 133, 110, 70]",0.4128561816374436
39,64,128,2,4,4,0.0,1e-05,0.0001,0.3523809523809524,0.5688225538971806,0.8181818181818182,0.6034482758620691,0.4829880437023295,0.6347014925373133,0.8348845598845599,0.7334770114942528,"[201, 132, 116, 89]",0.4074745115665564
38,64,256,2,4,2,0.0,1e-05,0.0001,0.3506493506493505,0.5585808580858086,0.8215223097112861,0.5526315789473685,0.4789991754277469,0.60746699669967,0.8539745031871017,0.6944444444444445,"[202, 127, 114, 83]",0.40489615673639023
53,64,256,4,2,2,0.1,0.0001,0.0001,0.3593073593073593,0.5561139028475715,0.6781170483460558,0.537953795379538,0.4625850340136054,0.6488932759033261,0.732824427480916,0.5866336633663366,"[199, 131, 101, 65]",0.40445734350926216
37,128,128,2,2,2,0.2,1e-05,0.0001,0.3593073593073592,0.5292096219931273,0.7079772079772081,0.4964539007092197,0.4571583178726036,0.5857204221894943,0.7567155067155069,0.6108156028368794,"[194, 117, 94, 62]",0.4023692668809978
55,64,128,4,3,4,0.1,0.0001,0.0001,0.354978354978355,0.6131260794473229,0.748201438848921,0.559322033898305,0.4600803957946816,0.7000863557858377,0.7963514902363823,0.6807909604519774,"[193, 139, 118, 85]",0.4007529074489127
69,64,256,2,4,4,0.1,1e-05,0.0001,0.3454545454545454,0.6170033670033669,0.865967365967366,0.5753086419753086,0.4731395588538446,0.6940476190476191,0.8946886446886447,0.6382716049382715,"[198, 143, 135, 94]",0.3993388429752066
32,128,256,4,4,4,0.2,0.0001,0.0001,0.36017316017316,0.5930851063829788,0.7820512820512824,0.4770114942528736,0.4471809936095651,0.6785714285714286,0.8549450549450549,0.5738505747126437,"[188, 130, 116, 72]",0.398988698783795
41,64,64,4,2,2,0.0,0.0001,0.001,0.3411255411255409,0.6700336700336699,0.790084388185654,0.5808823529411765,0.4692949907235622,0.7782828282828282,0.8273960216998193,0.6605392156862745,"[198, 158, 136, 96]",0.395075152631717
70,64,256,2,4,4,0.2,0.0001,0.0001,0.3575757575757575,0.5273224043715847,0.7791666666666667,0.4936507936507937,0.4369356833642547,0.638752276867031,0.8438492063492063,0.5587301587301587,"[183, 120, 105, 62]",0.3932922798594439
25,128,128,2,2,4,0.2,0.0001,0.0001,0.3497835497835499,0.5276338514680483,0.7324561403508771,0.42831541218638,0.4490929705215419,0.5693251912163828,0.779344193817878,0.5295698924731184,"[193, 114, 93, 55]",0.3932656159474383
39,64,128,4,2,4,0.0,1e-05,0.0001,0.3428571428571429,0.5709219858156027,0.8002645502645501,0.5438596491228072,0.4492424242424243,0.6534384498480243,0.8642290249433107,0.6776315789473685,"[188, 126, 114, 82]",0.3889055881951087
11,128,128,2,4,4,0.2,0.0001,0.001,0.3506493506493508,0.5989010989010991,0.6666666666666669,0.4140350877192982,0.4289270253555968,0.653937728937729,0.7364692218350753,0.5754385964912281,"[182, 123, 95, 59]",0.38585823671994673
56,64,128,4,3,2,0.1,0.0001,0.0001,0.3350649350649348,0.5664845173041896,0.787878787878788,0.4768518518518519,0.4360183467326325,0.6361111111111111,0.8584022038567494,0.5709876543209877,"[183, 121, 108, 67]",0.37893302185079397
60,64,256,2,3,4,0.2,1e-05,0.0001,0.3437229437229436,0.5828779599271403,0.6942148760330579,0.4191919191919191,0.4213512677798392,0.6431498829039812,0.7890594254230617,0.4966329966329966,"[183, 121, 99, 54]",0.3785988232911542
66,64,64,4,3,4,0.1,1e-05,0.0001,0.3454545454545454,0.5454545454545454,0.7850877192982456,0.5363036303630363,0.4136672850958565,0.633996212121212,0.8463032581453634,0.6353135313531352,"[176, 114, 101, 68]",0.37649620440659126
28,128,128,4,4,4,0.2,1e-05,0.0001,0.3437229437229439,0.4818007662835248,0.6564625850340136,0.3854166666666667,0.4130746237889096,0.548323754789272,0.7727405247813411,0.5041666666666667,"[174, 98, 80, 44]",0.37522114700440745
60,64,128,4,3,2,0.2,0.0001,0.0001,0.3393939393939396,0.5777153558052434,0.6449275362318841,0.4019607843137254,0.4140486497629355,0.624250936329588,0.7008281573498965,0.531372549019608,"[178, 115, 85, 48]",0.37302272095087335
72,64,64,4,3,4,0.2,1e-05,0.0001,0.3463203463203464,0.5680473372781067,0.581081081081081,0.5058823529411764,0.3955936920222634,0.6425049309664694,0.7259974259974259,0.5882352941176471,"[169, 111, 85, 53]",0.36932080360508895
13,128,128,2,2,2,0.1,0.0001,0.001,0.322077922077922,0.5473588342440802,0.7179487179487181,0.595744680851064,0.4315244279529994,0.6183320322664585,0.777065527065527,0.7021276595744681,"[183, 117, 94, 69]",0.36885365624261457
