#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
38,128,64,4,4,2,0.1,0.0001,0.001,0.2398268398268399,0.5232323232323232,0.7482993197278911,0.5256410256410258,0.38561533704390843,0.5868686868686869,0.7448979591836733,0.6089743589743589,"[165, 98, 78, 50]"
35,64,256,2,2,4,0.1,0.0001,0.0001,0.26406926406926406,0.5148401826484018,0.7441860465116279,0.3499999999999999,0.345139146567718,0.5785388127853881,0.7480620155038761,0.46666666666666673,"[146, 86, 70, 34]"
13,64,64,2,2,4,0.2,0.0001,0.001,0.232034632034632,0.4208037825059101,0.7850241545893719,0.41525423728813565,0.3285734900020614,0.4778368794326241,0.8077984817115251,0.4971751412429378,"[141, 69, 59, 31]"
38,64,64,4,4,4,0.1,1e-05,0.0001,0.26233766233766237,0.43870967741935485,0.7705627705627704,0.28109452736318413,0.3744465058750772,0.4881720430107526,0.8474025974025974,0.35074626865671643,"[155, 77, 67, 26]"
32,128,256,4,2,2,0.0,0.0001,0.001,0.21298701298701303,0.3908045977011494,0.6666666666666666,0.48717948717948717,0.34094619666048226,0.39287356321839084,0.6422413793103449,0.6923076923076923,"[145, 58, 39, 27]"
12,128,64,2,3,4,0.0,0.0001,0.001,0.3203463203463203,0.5842490842490842,0.7611548556430446,0.5911949685534592,0.44113997113997117,0.6729395604395604,0.7727784026996625,0.7028301886792453,"[182, 127, 106, 77]"
54,64,64,2,4,2,0.1,0.0001,0.0001,0.23982683982683967,0.48333333333333334,0.6723484848484849,0.4,0.3585982271696557,0.5811666666666666,0.6900703463203464,0.4205128205128205,"[150, 88, 65, 29]"
23,64,64,4,3,2,0.2,0.0001,0.001,0.11255411255411256,0.3765432098765431,0.4473684210526316,0.29411764705882354,0.12418058132343847,0.7037037037037037,0.4342105263157895,0.2549019607843137,"[54, 38, 17, 6]"
25,128,256,4,3,2,0.1,1e-05,0.0001,0.2649350649350648,0.5900900900900901,0.7783171521035599,0.45977011494252873,0.35705009276437844,0.681081081081081,0.7977346278317151,0.5526819923371648,"[148, 103, 87, 53]"
37,64,64,4,2,4,0.1,1e-05,0.0001,0.24155844155844153,0.4901315789473684,0.7269076305220885,0.2923076923076923,0.362634508348794,0.5350877192982456,0.7289156626506024,0.4076923076923077,"[152, 83, 65, 27]"
27,64,128,4,4,4,0.0,1e-05,0.0001,0.24415584415584413,0.554398148148148,0.7359550561797753,0.4481981981981983,0.3435827664399093,0.6067708333333334,0.7747458533975389,0.5033783783783784,"[144, 89, 74, 41]"
14,64,64,2,3,4,0.1,1e-05,0.001,0.31774891774891795,0.5127450980392158,0.8068535825545172,0.5601374570446735,0.39298907441764575,0.617892156862745,0.8521361815754339,0.6958762886597938,"[170, 107, 97, 71]"
9,128,128,4,2,2,0.1,1e-05,0.001,0.23463203463203458,0.48870056497175146,0.3904761904761904,0.24509803921568624,0.2910636982065553,0.5932203389830508,0.45,0.4264705882352941,"[118, 70, 34, 15]"
30,64,128,4,3,4,0.2,1e-05,0.001,0.22597402597402602,0.49056603773584906,0.6125541125541125,0.30272108843537415,0.25461348175633886,0.7264150943396226,0.6071428571428571,0.445578231292517,"[106, 77, 49, 23]"
29,64,256,4,2,2,0.2,0.0001,0.001,0.10735930735930739,0.5059523809523809,0.4222222222222222,0.5714285714285714,0.12575757575757573,0.5238095238095238,0.44166666666666665,0.6428571428571429,"[56, 30, 14, 10]"
31,128,64,2,2,4,0.1,0.0001,0.0001,0.28917748917748914,0.6322222222222222,0.7422839506172837,0.5235507246376813,0.35580911152339717,0.7075555555555555,0.8310185185185185,0.6612318840579711,"[150, 108, 92, 65]"
37,64,128,4,4,2,0.1,1e-05,0.0001,0.23636363636363625,0.5388127853881278,0.6954022988505747,0.43034825870646765,0.35337043908472476,0.5865296803652967,0.7385057471264368,0.582089552238806,"[146, 87, 67, 42]"
20,128,64,4,4,2,0.0,1e-05,0.0001,0.27445887445887446,0.5555555555555556,0.8139158576051779,0.47282608695652173,0.399325912183055,0.6065656565656566,0.8584142394822007,0.6032608695652174,"[165, 103, 92, 59]"
20,128,128,2,4,2,0.2,1e-05,0.001,0.29437229437229456,0.5786749482401657,0.7380952380952381,0.42696629213483145,0.38439909297052155,0.6325569358178053,0.7958049886621316,0.5767790262172285,"[161, 105, 89, 54]"
25,64,256,2,4,4,0.0,1e-05,0.0001,0.23549783549783562,0.512531328320802,0.7489451476793249,0.4435897435897436,0.31453308596165735,0.5714285714285714,0.7911392405063291,0.5435897435897435,"[133, 79, 65, 38]"
38,64,256,4,4,4,0.2,1e-05,0.001,0.17489177489177488,0.4083333333333333,0.3954248366013071,0.44,0.2806617192331478,0.4166666666666667,0.4803921568627451,0.4733333333333334,"[120, 51, 25, 14]"
32,128,256,4,2,4,0.2,1e-05,0.001,0.1281385281385282,0.35398230088495575,0.45,0.19444444444444445,0.2759121830550402,0.35398230088495575,0.45,0.2037037037037037,"[113, 40, 18, 5]"
47,64,64,2,3,2,0.1,1e-05,0.0001,0.27272727272727276,0.5634408602150538,0.7433333333333332,0.37974683544303794,0.3651164708307565,0.6255376344086022,0.7342857142857143,0.4978902953586497,"[155, 100, 79, 43]"
16,128,256,2,3,4,0.2,1e-05,0.001,0.30735930735930733,0.5265151515151515,0.7530303030303029,0.46236559139784955,0.426705833848691,0.610842803030303,0.7899350649350649,0.5295698924731183,"[176, 110, 93, 53]"
20,128,256,2,3,4,0.0,1e-05,0.0001,0.30649350649350654,0.5458801498127341,0.7087087087087086,0.5149812734082397,0.41593073593073593,0.6090823970037453,0.7680180180180181,0.6423220973782772,"[178, 111, 89, 60]"
31,64,128,4,4,2,0.0,0.0001,0.001,0.21471861471861473,0.3695652173913044,0.7412935323383084,0.35454545454545455,0.33156462585034013,0.4840579710144927,0.7674129353233831,0.3393939393939394,"[138, 67, 55, 21]"
22,64,256,2,3,2,0.1,1e-05,0.001,0.3428571428571427,0.6515912897822447,0.8011494252873562,0.6591478696741855,0.4758029272314986,0.717964824120603,0.8736453201970443,0.8032581453634083,"[199, 145, 133, 110]"
20,128,128,4,4,4,0.2,1e-05,0.0001,0.30909090909090914,0.5166666666666666,0.6883333333333332,0.42324561403508776,0.4035559678416821,0.5801960784313726,0.725,0.5372807017543859,"[170, 100, 76, 43]"
16,128,256,4,2,4,0.0,1e-05,0.0001,0.2701298701298699,0.5193548387096774,0.7586805555555555,0.40170940170940167,0.3679241393527107,0.6045698924731182,0.7648809523809524,0.46367521367521364,"[155, 96, 78, 39]"
18,128,64,4,2,4,0.2,0.0001,0.001,0.12294372294372301,0.35185185185185186,0.18421052631578946,0.25,0.26189857761286334,0.34336419753086417,0.18421052631578946,0.25,"[108, 38, 8, 2]"
40,64,64,4,2,4,0.2,0.0001,0.0001,0.24155844155844164,0.47696476964769646,0.6476190476190476,0.34905660377358483,0.2909853638425067,0.5514905149051491,0.75,0.44339622641509435,"[123, 70, 53, 26]"
23,128,256,2,4,4,0.0,0.0001,0.0001,0.30909090909090914,0.550179211469534,0.7314814814814814,0.5501618122977346,0.4473242630385487,0.6573028673835126,0.7699357520786093,0.616504854368932,"[186, 126, 103, 69]"
13,128,256,4,3,2,0.2,1e-05,0.001,0.1852813852813853,0.43137254901960786,0.75,0.3131313131313131,0.25080395794681504,0.4248366013071896,0.6818181818181818,0.47979797979797983,"[102, 44, 33, 17]"
25,128,64,4,2,2,0.2,1e-05,0.001,0.21904761904761905,0.4230769230769231,0.659313725490196,0.23913043478260865,0.3104700061842919,0.5151282051282051,0.6507352941176471,0.34057971014492755,"[130, 68, 46, 16]"
51,64,128,2,4,2,0.1,0.0001,0.0001,0.16623376623376632,0.5198776758409787,0.6151960784313727,0.47407407407407404,0.2554875283446712,0.6086391437308869,0.6223739495798319,0.48518518518518516,"[109, 68, 45, 24]"
26,64,128,4,3,4,0.2,0.0001,0.0001,0.1913419913419914,0.4959677419354839,0.7077294685990337,0.3395061728395061,0.296338899196042,0.5524193548387096,0.7463768115942029,0.37037037037037035,"[124, 69, 54, 21]"
29,128,64,4,4,2,0.1,1e-05,0.0001,0.29437229437229445,0.5089820359281437,0.7633333333333332,0.45436507936507936,0.4038280766852195,0.5722554890219561,0.8024999999999999,0.5297619047619047,"[167, 100, 84, 49]"
22,64,64,4,3,4,0.0,0.0001,0.001,0.26666666666666655,0.6252525252525252,0.6929824561403507,0.5878136200716846,0.3958524015666873,0.6637878787878788,0.7734962406015038,0.6362007168458781,"[165, 114, 93, 64]"
