n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
50,40,2,2,None,0.37897648686030466,0.47729618163054693,0.6492146596858638,0.5393518518518517,0.6578492392807745,0.5846233230134159,0.7460732984293194,0.6597222222222222,"[323, 191, 144, 95]"
50,None,2,1,balanced,0.3478561549100969,0.5225694444444444,0.6475409836065575,0.6990407673860911,0.5812586445366529,0.6255787037037037,0.750455373406193,0.8117505995203836,"[288, 183, 139, 115]"
500,20,5,1,balanced,0.2524204702627937,0.5013123359580053,0.5468036529680365,0.40555555555555556,0.5072614107883818,0.5662729658792651,0.6118721461187215,0.4777777777777778,"[254, 146, 90, 43]"
500,20,2,1,balanced,0.3035961272475795,0.5011820330969268,0.5842911877394636,0.4568452380952381,0.5682918395573998,0.6057919621749409,0.6408045977011494,0.5669642857142857,"[282, 174, 112, 64]"
100,40,5,2,balanced,0.2821576763485473,0.48271604938271606,0.5725108225108224,0.585858585858586,0.5421853388658369,0.5598765432098766,0.632034632034632,0.6767676767676768,"[270, 154, 99, 68]"
100,40,5,2,None,0.3672199170124484,0.5170394036208734,0.5639730639730639,0.553030303030303,0.6300138312586446,0.6251331203407882,0.6616161616161617,0.6401515151515151,"[313, 198, 132, 85]"
100,None,5,2,None,0.3734439834024894,0.5162866449511402,0.5506872852233676,0.5542929292929293,0.6172199170124482,0.6248642779587406,0.668384879725086,0.6477272727272727,"[307, 194, 132, 87]"
100,20,5,1,balanced,0.2676348547717839,0.5045395590142675,0.5529801324503312,0.2829861111111111,0.5152143845089904,0.5797665369649806,0.6208609271523179,0.3368055555555555,"[257, 151, 96, 33]"
500,40,2,1,None,0.38796680497925345,0.5321910695742472,0.6866028708133974,0.5828343313373253,0.6417704011065007,0.6474558670820353,0.788676236044657,0.7215568862275449,"[321, 209, 167, 121]"
50,None,5,2,balanced,0.302213001383126,0.4715447154471545,0.5773809523809524,0.5586419753086419,0.5769363762102352,0.5760743321718932,0.632936507936508,0.6296296296296297,"[287, 168, 108, 68]"
500,40,5,2,None,0.3520055325034578,0.4728682170542636,0.6064814814814816,0.57421875,0.6044260027662518,0.5908084163898117,0.700925925925926,0.6666666666666667,"[301, 180, 128, 86]"
100,40,5,1,None,0.35546334716459205,0.4914965986394559,0.6574585635359117,0.533816425120773,0.5916320885200553,0.600907029478458,0.7578268876611419,0.6413043478260869,"[294, 181, 138, 89]"
50,None,5,2,None,0.3520055325034579,0.4860646599777035,0.5963963963963965,0.6299212598425197,0.600103734439834,0.6098104793756968,0.6810810810810811,0.7270341207349081,"[299, 185, 127, 94]"
500,None,2,2,None,0.3727524204702629,0.48583877995642716,0.6163194444444444,0.5760869565217391,0.6184301521438451,0.622004357298475,0.7144097222222223,0.6956521739130435,"[306, 192, 138, 97]"
