n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
100,20,2,1,None,0.3879668049792533,0.5253623188405798,0.6558333333333334,0.5485232067510549,0.6578492392807747,0.6180124223602484,0.7775,0.6550632911392406,"[322, 200, 158, 104]"
50,20,2,2,balanced,0.25380359612724723,0.43410852713178294,0.4659090909090909,0.38235294117647056,0.5217842323651453,0.5087209302325582,0.5113636363636364,0.45588235294117646,"[258, 132, 68, 32]"
100,40,2,2,balanced,0.3174273858921161,0.47960372960372954,0.5450980392156863,0.5122324159021406,0.5821230982019363,0.5926573426573427,0.6352941176470588,0.6055045871559633,"[286, 170, 109, 66]"
500,40,5,1,balanced,0.32710926694329195,0.4844290657439446,0.6276190476190476,0.5989583333333333,0.5899031811894884,0.6020761245674741,0.7228571428571429,0.68359375,"[289, 175, 128, 88]"
50,40,2,2,None,0.37551867219917023,0.5396039603960394,0.6209935897435896,0.5215419501133787,0.614972337482711,0.6826182618261827,0.7019230769230769,0.6122448979591837,"[303, 208, 147, 90]"
100,None,2,1,None,0.39038727524204725,0.5505208333333332,0.6426282051282051,0.553125,0.655255878284924,0.6447916666666667,0.7596153846153846,0.66875,"[320, 208, 160, 108]"
500,None,5,2,balanced,0.31466113416320823,0.45131729667812154,0.5770833333333334,0.4858490566037736,0.5973374827109267,0.5463917525773195,0.646875,0.5990566037735849,"[291, 160, 106, 64]"
500,None,5,1,balanced,0.30359612724757934,0.46223021582733814,0.6029723991507431,0.5887850467289719,0.5670816044260029,0.5593525179856115,0.6719745222929936,0.7009345794392523,"[278, 157, 107, 75]"
50,40,5,1,balanced,0.3139695712309821,0.5287769784172662,0.6379310344827587,0.5465116279069767,0.5665629322268326,0.6163069544364509,0.7327586206896551,0.6317829457364341,"[278, 174, 129, 82]"
50,None,5,2,balanced,0.29598893499308415,0.4904761904761905,0.593167701863354,0.5357142857142858,0.5705394190871369,0.5732142857142857,0.6894409937888198,0.6160714285714286,"[280, 161, 112, 69]"
500,40,2,2,None,0.36445366528354084,0.5227272727272726,0.6365159128978225,0.518018018018018,0.6275933609958505,0.6444805194805194,0.7361809045226131,0.6013513513513513,"[308, 199, 148, 90]"
500,None,2,1,balanced,0.344398340248963,0.5584415584415584,0.6180904522613065,0.5305164319248826,0.6298409405255879,0.636904761904762,0.7060301507537688,0.6373239436619719,"[308, 199, 142, 91]"
500,20,5,2,None,0.3644536652835405,0.4950980392156863,0.6721311475409838,0.5,0.6267289073305672,0.5964052287581699,0.7814207650273224,0.59375,"[306, 183, 144, 86]"
50,20,2,1,None,0.3796680497925314,0.5603632478632478,0.6441223832528179,0.55175983436853,0.6355463347164592,0.6618589743589743,0.7705314009661836,0.6780538302277432,"[312, 207, 161, 110]"
500,20,5,2,balanced,0.2544951590594738,0.41055341055341055,0.5521628498727736,0.36075949367088606,0.52783540802213,0.4980694980694981,0.5954198473282443,0.4240506329113924,"[259, 131, 79, 34]"
100,20,5,1,balanced,0.25172890733056674,0.4493589743589743,0.5634328358208955,0.3869047619047619,0.5271438450899032,0.5044871794871796,0.6119402985074627,0.43452380952380953,"[260, 134, 84, 37]"
50,40,5,2,None,0.4073305670816046,0.5103199174406605,0.570754716981132,0.4965753424657534,0.6611341632088521,0.6522187822497421,0.6839622641509434,0.571917808219178,"[323, 212, 146, 84]"
100,None,5,1,None,0.38520055325034624,0.5317204301075269,0.6446078431372549,0.47111111111111126,0.6334716459197787,0.6548387096774193,0.7279411764705882,0.6466666666666666,"[310, 204, 150, 97]"
