Seed,Precision,Recall,F1,Precision_level3,Recall_level3,F1_level3,Precision_level2,Recall_level2,F1_level2,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.06767411300919852,0.16491458607095927,0.09218674448635024,0.12965396408234758,0.2816625993367124,0.1708570594247337,0.23806395094174365,0.4697328077091545,0.3045209936799946,0.46430135786246135,0.5427272727272726,0.5218722659667542,0.47960618846694797,0.6888894103414472,0.6701904761904761,0.5993000874890639,0.5843881856540084,"[550, 381, 237, 140]"
123,0.06548401226456425,0.17411300919842312,0.09334209373631185,0.12658782303985974,0.2934077967586509,0.17280833489769123,0.24113009198423158,0.4765784368938114,0.30724506184427286,0.44283837056504577,0.5839694656488551,0.5108506944444443,0.48744769874476995,0.6676162317752331,0.7062022900763361,0.607204861111111,0.5871687587168759,"[524, 384, 239, 144]"
47899,0.06964520367936937,0.17430073211939182,0.09658970026906949,0.14082347787998215,0.31401090878751853,0.18738501971090674,0.25667980727113493,0.4901163882110007,0.3199674613603648,0.4653964082347794,0.5807434491163925,0.5361041141897565,0.4807692307692307,0.683099722587239,0.7159441107338732,0.6341309823677582,0.5589743589743589,"[547, 397, 260, 150]"
2025,0.04380201489268501,0.1124616732369689,0.061362640863297874,0.10709592641261492,0.2442431637569614,0.14440272823978487,0.21375383267630335,0.432544897065265,0.2743528773752161,0.4353920280332889,0.5038167938931297,0.49761904761904757,0.40215588723051415,0.6539885906180255,0.6574745547073791,0.5614285714285714,0.4684908789386401,"[524, 350, 201, 97]"
1,0.06044678055190545,0.15363556723609284,0.08448157186659155,0.11563731931668851,0.26498393926120606,0.15589876614843776,0.2266754270696453,0.4587291158250421,0.2903489560519778,0.44283837056504605,0.5535935563816603,0.5017730496453902,0.49925261584454406,0.6658047055878856,0.6855638166047089,0.5766843971631206,0.5739910313901345,"[538, 376, 223, 132]"
20,0.0689881734559791,0.16997528314873914,0.09461348988287224,0.12614980289093278,0.2783070521243977,0.1664529659273419,0.24813841436706127,0.4751642575558476,0.3119506497298869,0.4489706526500222,0.5701593137254899,0.4813368055555556,0.5562865497076023,0.6810764866612438,0.6948529411764706,0.5774739583333334,0.6308479532163742,"[544, 384, 228, 146]"
99,0.06176084099868602,0.16349623511252945,0.0875226831862837,0.12286465177398147,0.2802724068164279,0.16516175458356813,0.22930354796320654,0.46873631187034603,0.29667218458282807,0.44152431011826493,0.5495079950799507,0.519349164467898,0.5064655172413792,0.6798223932586615,0.6842250922509225,0.5967458223394898,0.584051724137931,"[542, 379, 232, 137]"
1020,0.06329391151993001,0.15462111257117825,0.08666143317917298,0.1289969338589573,0.2844627995744947,0.1709803118475919,0.24003504161191458,0.4674113009198423,0.3032184051894954,0.44371441086289937,0.5714285714285717,0.5198412698412697,0.46280400572246055,0.6665164883298919,0.6969298245614035,0.5972222222222221,0.5586552217453504,"[532, 378, 233, 133]"
345,0.06789312308366197,0.17644911665936633,0.09575120455540954,0.1294349540078842,0.2925114198110256,0.1733444829371244,0.24704336399474408,0.4830267192290846,0.31410007717497795,0.4531318440648275,0.5882899628252787,0.5047008547008547,0.5083333333333333,0.6748607721669483,0.7103469640644361,0.6017094017094018,0.5916666666666667,"[538, 390, 240, 147]"
78,0.053876478318002644,0.1416995181778362,0.0763969714035417,0.1272448532632499,0.28538577060259057,0.17028971904136175,0.2691633815155504,0.5122864651773982,0.33690215464196993,0.4842312746386329,0.5849500293944739,0.46291866028708134,0.4,0.7057229418267525,0.7226967330141933,0.5472488038277512,0.49574468085106377,"[567, 418, 235, 119]"
