n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
500,40,2,1,None,0.4104426002766255,0.5009861932938857,0.6445497630331753,0.5548523206751055,0.6870677731673582,0.6198224852071006,0.7440758293838863,0.680379746835443,"[338, 211, 158, 108]",0.5138937912726241
50,40,5,2,None,0.4073305670816046,0.5103199174406605,0.570754716981132,0.4965753424657534,0.6611341632088521,0.6522187822497421,0.6839622641509434,0.571917808219178,"[323, 212, 146, 84]",0.5040880545372349
100,None,2,1,None,0.3903872752420472,0.5505208333333332,0.6426282051282051,0.553125,0.655255878284924,0.6447916666666667,0.7596153846153846,0.66875,"[320, 208, 160, 108]",0.48927505726433823
100,20,2,1,None,0.3879668049792533,0.5253623188405798,0.6558333333333334,0.5485232067510549,0.6578492392807747,0.6180124223602484,0.7775,0.6550632911392406,"[322, 200, 158, 104]",0.4880852018337109
50,20,2,2,None,0.3865836791147994,0.5104166666666667,0.5695142378559463,0.5318627450980392,0.6536998616874137,0.6171875,0.6809045226130653,0.6507352941176471,"[320, 199, 136, 89]",0.485847728347368
100,40,5,1,None,0.3858921161825727,0.5186335403726708,0.6353135313531352,0.5187637969094923,0.6526625172890733,0.6273291925465838,0.7425742574257426,0.6456953642384106,"[322, 202, 151, 98]",0.4850150619574536
100,20,5,1,None,0.3831258644536653,0.4958592132505177,0.6751269035532993,0.4838709677419355,0.656984785615491,0.6066252587991718,0.7817258883248731,0.5967741935483871,"[322, 197, 155, 93]",0.4840020894029016
50,20,5,1,None,0.3858921161825728,0.5188172043010753,0.6079931972789115,0.5539568345323741,0.6348547717842323,0.6274193548387097,0.701530612244898,0.6690647482014388,"[310, 196, 139, 93]",0.4800121445197856
100,None,5,1,None,0.3852005532503462,0.5317204301075269,0.6446078431372549,0.4711111111111112,0.6334716459197787,0.6548387096774193,0.7279411764705882,0.6466666666666666,"[310, 204, 150, 97]",0.4790817471518221
50,40,2,1,balanced,0.3748271092669434,0.51619644723093,0.6442786069651741,0.5461711711711711,0.6545643153526972,0.624869383490073,0.7263681592039801,0.6790540540540541,"[319, 201, 148, 101]",0.47668640768715065
50,40,2,1,None,0.3810511756569854,0.5643086816720257,0.6555023923444977,0.5528455284552845,0.6348547717842323,0.6704180064308681,0.7727272727272727,0.6859756097560976,"[311, 209, 164, 113]",0.4762491208347343
50,20,2,1,None,0.3796680497925314,0.5603632478632478,0.6441223832528179,0.55175983436853,0.6355463347164592,0.6618589743589743,0.7705314009661836,0.6780538302277432,"[312, 207, 161, 110]",0.4753609506257987
50,20,5,2,None,0.3817427385892115,0.514705882352941,0.5910652920962199,0.5263788968824941,0.625,0.6315359477124183,0.7087628865979382,0.6402877697841727,"[306, 194, 139, 89]",0.47398248325605347
100,None,2,2,None,0.3713692946058092,0.4792993630573248,0.6117117117117117,0.5199004975124379,0.6436721991701244,0.5843949044585988,0.7162162162162162,0.6156716417910447,"[314, 185, 134, 83]",0.47099570220317755
500,None,5,2,None,0.3734439834024895,0.496805111821086,0.6397569444444445,0.4580335731414868,0.6360650069156293,0.610223642172524,0.7161458333333334,0.5899280575539568,"[313, 192, 139, 83]",0.47059442196874773
100,None,5,2,None,0.3741355463347167,0.4940282301845819,0.6181657848324514,0.5527577937649881,0.628630705394191,0.6091205211726385,0.7222222222222222,0.6366906474820144,"[307, 189, 139, 89]",0.4690885677493205
100,20,5,2,None,0.3755186721991699,0.5413907284768211,0.6053067993366501,0.5195402298850575,0.617911479944675,0.6583885209713024,0.7139303482587065,0.6241379310344828,"[302, 201, 145, 91]",0.4671436597423716
50,40,2,2,None,0.3755186721991702,0.5396039603960394,0.6209935897435896,0.5215419501133787,0.614972337482711,0.6826182618261827,0.7019230769230769,0.6122448979591837,"[303, 208, 147, 90]",0.4663012452478437
50,None,5,1,None,0.3720608575380363,0.5163934426229507,0.6050347222222222,0.5591787439613527,0.6218879668049793,0.6254098360655738,0.7057291666666666,0.6884057971014492,"[305, 192, 138, 95]",0.46557763248019346
50,None,2,2,None,0.371369294605809,0.5158469945355193,0.6202749140893471,0.494212962962963,0.623789764868603,0.6327868852459017,0.7371134020618557,0.6041666666666666,"[305, 194, 144, 88]",0.46556650970735197
500,40,2,2,None,0.3644536652835408,0.5227272727272726,0.6365159128978225,0.518018018018018,0.6275933609958505,0.6444805194805194,0.7361809045226131,0.6013513513513513,"[308, 199, 148, 90]",0.46112471417889617
500,20,5,2,None,0.3644536652835405,0.4950980392156863,0.6721311475409838,0.5,0.6267289073305672,0.5964052287581699,0.7814207650273224,0.59375,"[306, 183, 144, 86]",0.46089116924920104
100,40,5,2,None,0.3692946058091287,0.488623435722412,0.6335174953959486,0.4852941176470588,0.5949170124481328,0.6177474402730375,0.7430939226519337,0.5955882352941176,"[293, 181, 136, 82]",0.455708351654729
50,None,5,2,None,0.3568464730290458,0.4967426710097719,0.6077898550724639,0.5025062656641605,0.6277662517289074,0.5971769815418023,0.7228260869565217,0.6127819548872181,"[307, 184, 133, 82]",0.4550340802698737
100,40,2,1,balanced,0.3544260027662517,0.563465783664459,0.6094276094276095,0.6190476190476191,0.6156639004149379,0.6539735099337748,0.7323232323232324,0.7482993197278912,"[302, 198, 147, 110]",0.44987025337751646
100,None,2,1,balanced,0.3506224066390043,0.5176017601760176,0.6500872600349039,0.6087470449172576,0.6213692946058091,0.6287128712871287,0.7303664921465969,0.7198581560283688,"[303, 191, 141, 102]",0.4482877728426117
