Seed,Precision,Recall,F1,Precision_level3,Recall_level3,F1_level3,Precision_level2,Recall_level2,F1_level2,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.031152647975077875,0.07211188992731049,0.041648904191944024,0.06801661474558675,0.14445186174158137,0.08814497761721507,0.1240913811007269,0.24168397369331945,0.1551636750234882,0.25804776739356183,0.47701149425287354,0.5331491712707183,0.46120689655172414,0.44384518864659045,0.5506792058516197,0.6003683241252302,0.4956896551724138,"[319, 181, 116, 60]"
123,0.025960539979231576,0.06222741433021807,0.03541388518024031,0.08774662512980277,0.18457943925233644,0.11377886564802453,0.1516095534787122,0.2941996736389259,0.19080873263116277,0.32814122533748735,0.47207446808510656,0.5522273425499233,0.3029197080291971,0.5371198635217328,0.5479388297872341,0.6052227342549922,0.34428223844282235,"[376, 217, 137, 49]"
47899,0.023364485981308424,0.05795690550363447,0.03204407223098812,0.06671858774662516,0.14963655244029075,0.08829921376650345,0.1274662512980269,0.26611284181377637,0.1658952677644268,0.3213914849428867,0.4065040650406504,0.4848484848484848,0.3441358024691358,0.5375259605399791,0.4934507678410118,0.5511586452762923,0.37037037037037035,"[369, 187, 108, 44]"
2025,0.03063343717549325,0.06879543094496365,0.0404440488552638,0.07242990654205612,0.1600986500519211,0.09533822874944366,0.14356178608515044,0.29314641744548287,0.1837079068387482,0.30373831775700966,0.4678442028985507,0.4887278582930757,0.4194915254237288,0.5293187212579734,0.5498188405797101,0.5434782608695653,0.43079096045197734,"[368, 207, 118, 58]"
1,0.029075804776739357,0.06516713642881868,0.037680094222150295,0.07606438213914855,0.1595238095238095,0.09711372607194482,0.14096573208722732,0.2853669089650398,0.17892397495201248,0.29906542056074786,0.4793388429752066,0.5129449838187703,0.4010840108401084,0.519462369579192,0.5409090909090908,0.552346278317152,0.39457994579945793,"[363, 206, 123, 54]"
20,0.025441329179646952,0.057762201453790234,0.03371656035207437,0.07242990654205617,0.1548546209761163,0.09400682391336593,0.1308411214953271,0.2618380062305296,0.1662115489218294,0.30321910695742493,0.4233511586452762,0.5357766143106458,0.34180790960451973,0.5337598279187065,0.4888591800356506,0.5833333333333334,0.39265536723163846,"[374, 191, 118, 49]"
99,0.02336448598130842,0.050804776739356176,0.030325619344310932,0.07580477673935625,0.1466918854769322,0.09478440389655338,0.155503634475597,0.2727154724818276,0.18688397099612075,0.3213914849428869,0.45660203139427513,0.4848484848484847,0.3028985507246376,0.5147808188696038,0.5368421052631579,0.539983164983165,0.34347826086956523,"[361, 198, 115, 42]"
1020,0.024922118380062315,0.05855281789861228,0.03348662414082974,0.07866043613707176,0.16371896535447938,0.1015588686149433,0.15109034267912752,0.2777536715620828,0.18472666136217558,0.31152647975077913,0.4625000000000001,0.5130718954248366,0.304,0.5180712330245042,0.5415895061728394,0.5723039215686274,0.35,"[360, 204, 125, 47]"
345,0.026479750778816216,0.061474558670820356,0.035106067349058,0.08489096573208733,0.17975077881619936,0.11056964842011568,0.15290758047767378,0.2985981308411215,0.19201898828067074,0.318795430944964,0.46833773087071234,0.5526315789473685,0.2901234567901234,0.5496365524402907,0.5362796833773087,0.6056618819776715,0.35061728395061725,"[379, 209, 135, 50]"
78,0.02647975077881621,0.06205749079580856,0.03524452356228056,0.07684319833852556,0.1681545090423595,0.0995416546680977,0.14589823468328114,0.2781844929041191,0.17930472953837456,0.3094496365524405,0.46520146520146516,0.5250809061488673,0.32170542635658916,0.5188403561651225,0.5418171114599687,0.5933656957928803,0.375968992248062,"[364, 206, 129, 51]"
