Seed,Precision,Recall,F1,Precision_level3,Recall_level3,F1_level3,Precision_level2,Recall_level2,F1_level2,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.10228452751817249,0.2317645749888741,0.13533476734411312,0.1596573208722739,0.31800734312416556,0.20099155776725885,0.22170301142263743,0.41655787964199176,0.2738911140780299,0.4029075804776744,0.5372057706909641,0.6870748299319727,0.6005747126436782,0.6397338426544036,0.6477790432801822,0.7475056689342404,0.7083333333333334,"[439, 294, 232, 170]"
123,0.09397715472481846,0.22144340602284532,0.12614473619146518,0.16199376947040464,0.32951713395638627,0.2056260198783565,0.2326064382139149,0.42441774217475153,0.28286480739751757,0.42782969885773636,0.543461829176115,0.6872909698996654,0.565677966101695,0.6444883301191712,0.6515225137674118,0.7594760312151616,0.6758474576271187,"[441, 299, 236, 165]"
47899,0.08956386292834907,0.20643821391484943,0.11924788607031596,0.1466770508826581,0.2924269396232014,0.18508657876442386,0.21339563862928332,0.3962789892696435,0.2638443851060673,0.40784008307372827,0.5323089046493301,0.6636904761904762,0.5882800608828005,0.6244937694704051,0.6370764381402679,0.7371428571428571,0.6925418569254187,"[423, 280, 219, 158]"
2025,0.0963136033229493,0.22476635514018695,0.1295678188201553,0.15264797507788128,0.31826323987538946,0.1972073876279485,0.22144340602284512,0.42123572170301143,0.27516318053701216,0.39304257528556613,0.5778301886792452,0.6723744292237442,0.6143067846607668,0.6252132472926867,0.6711084905660377,0.7465753424657534,0.6887905604719764,"[424, 292, 226, 162]"
1,0.09423676012461077,0.22622848983830296,0.12761683899165452,0.15550363447559698,0.30520879691440433,0.1953006001796548,0.22767393561786084,0.4083957622509024,0.276094163710986,0.40732087227414376,0.5622537431048066,0.6723744292237444,0.5927601809954751,0.615974385600554,0.6659377462568953,0.7353310502283105,0.721342383107089,"[423, 292, 221, 166]"
20,0.09034267912772602,0.20432428423082627,0.11852964446422387,0.13759086188992717,0.26477989170746186,0.1716147846251143,0.21002076843198314,0.3874091381100727,0.25713486928440205,0.37279335410176556,0.5685785536159599,0.612530413625304,0.6237113402061855,0.5814073085101122,0.6640274314214464,0.6730882864094543,0.7560137457044674,"[401, 274, 194, 152]"
99,0.09423676012461076,0.22863447559709246,0.12881743559313652,0.15368639667705072,0.32174380655689067,0.1993744746081197,0.23286604361370702,0.4386033229491173,0.2895737526578649,0.41121495327102797,0.5578703703703701,0.6399108138238573,0.5991189427312775,0.6430907877169559,0.6739969135802468,0.7214046822742475,0.7085168869309838,"[432, 299, 227, 168]"
1020,0.09371754932502613,0.21092140811766974,0.12267366589796495,0.14901349948078904,0.2918268128548502,0.18620317285792828,0.233385254413292,0.4127979281016664,0.28041001919506586,0.40861889927310513,0.5686507936507935,0.615162037037037,0.6137071651090342,0.6169975792639342,0.6655687830687831,0.6993634259259259,0.7161214953271028,"[420, 288, 214, 162]"
345,0.08047767393561797,0.18307372793354104,0.10630121868439621,0.1446002076843197,0.29005711318795435,0.18266206794244194,0.2056074766355137,0.3829216733422341,0.25320944199448886,0.396936656282451,0.49575617283950607,0.6928838951310861,0.5330188679245284,0.6403686396677052,0.5999614197530865,0.7565543071161048,0.6198899371069182,"[432, 267, 212, 138]"
78,0.09813084112149555,0.22471628838451269,0.12903432351292657,0.16017653167185864,0.31439764804250786,0.20064712281589725,0.23468328141225328,0.4282667012807199,0.2874401558980997,0.4335410176531676,0.5405303030303027,0.6512141280353199,0.5829756795422032,0.6461857392348046,0.6592340992340993,0.7317604856512141,0.7010014306151645,"[440, 302, 233, 170]"
