Seed,Precision,Recall,F1,Precision_level3,Recall_level3,F1_level3,Precision_level2,Recall_level2,F1_level2,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.194704049844236,0.4374935098650052,0.2557746852262348,0.2393561786085152,0.5417964693665629,0.3157828580313465,0.2925752855659405,0.6050697225930871,0.373662414082975,0.5586708203530636,0.756410256410256,0.829113924050633,0.6379155435759212,0.6679820006922811,0.8566483516483517,0.9021217600964437,0.8456873315363881,"[455, 395, 371, 324]"
123,0.18535825545171286,0.41015180734806894,0.24108586982418787,0.23572170301142248,0.5363929684023142,0.31309029323048043,0.29698857736240963,0.6227451416703752,0.38305642090688835,0.5861889927310487,0.7627118644067797,0.7741935483870966,0.6046195652173919,0.6933961331157593,0.8362641242937854,0.8795994328252393,0.8075181159420289,"[472, 403, 368, 309]"
47899,0.1749740394600203,0.3880581516095534,0.22856176360849267,0.22585669781931425,0.4959204865746923,0.29540091218211084,0.26869158878504723,0.5651349948078921,0.3461467141373684,0.5280373831775703,0.7457165109034269,0.8131868131868133,0.6191889218595454,0.634592419522326,0.8372329773030708,0.8919871794871793,0.8199307616221564,"[428, 364, 337, 291]"
2025,0.20456905503634423,0.46207165109034265,0.2714399221408571,0.25311526479750807,0.5760977599762648,0.33636970506129416,0.29958463136033314,0.6419930277406912,0.38923379320575585,0.5758047767393566,0.7690677966101697,0.8066343042071197,0.6412948381452321,0.7051086634030559,0.8638064971751412,0.8972491909385114,0.842082239720035,"[472, 412, 381, 331]"
1,0.17497403946002035,0.39669250358502695,0.22995901322266327,0.23001038421599132,0.5177477377243732,0.30346980763418396,0.2998442367601251,0.6102822281560599,0.38048396739985535,0.5560747663551399,0.7938299473288191,0.7585034013605443,0.5943661971830987,0.6438782574296595,0.86955551972482,0.8632572076449628,0.8034741784037559,"[443, 392, 355, 295]"
20,0.1874350986500513,0.42244474113632996,0.24767838599614314,0.22533748701972986,0.5099336151906245,0.29903978534081854,0.26661474558670856,0.5667705088265836,0.34533661215904216,0.5306334371754933,0.745634016704632,0.8160919540229887,0.6685606060606062,0.6378455224249617,0.8399256969302525,0.9130226095743338,0.8622159090909091,"[439, 377, 352, 313]"
99,0.17757009345794347,0.4140335261830589,0.23837091430549395,0.22326064382139119,0.5181482717697671,0.3005675356142649,0.28556593977154765,0.5819444444444444,0.36416344126624517,0.5586708203530635,0.7378234398782341,0.7914414414414419,0.6268221574344026,0.6483848835484347,0.8255327245053273,0.9006756756756759,0.8417881438289602,"[438, 370, 343, 301]"
1020,0.16614745586708166,0.3521455655801451,0.2110807676228238,0.2289719626168223,0.5071015562837993,0.2990619102356325,0.28219106957424794,0.5822874944370271,0.35959697104556926,0.5394600207684326,0.7675134719014624,0.8074173369079536,0.5631681243926141,0.6410068643713505,0.8418605387427559,0.8787182433295032,0.750971817298348,"[433, 373, 343, 269]"
345,0.1801661474558666,0.4119678089304258,0.23894597960018535,0.2326064382139146,0.5471703011422638,0.31417715202761953,0.28167185877466294,0.628534342085744,0.37304925085298946,0.5534787123572167,0.784379671150972,0.8098827470686769,0.58470695970696,0.6634086188992733,0.8800822122571001,0.8827470686767168,0.7941849816849818,"[446, 398, 364, 299]"
78,0.19055036344755907,0.4272798917074619,0.24926477077239514,0.23961578400830721,0.5410709228466238,0.31446010670859514,0.29049844236760186,0.6077492211838006,0.3720585921520503,0.5638629283489093,0.7540029112081512,0.7971380471380474,0.639652014652015,0.6710608252080216,0.8440620151318841,0.89337822671156,0.8365384615384616,"[458, 396, 364, 316]"
