learning_rate,batch_size,kernel_initializer,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
0.0001,16,glorot_uniform,0.27178423236514504,0.45979247730220496,0.5307328605200945,0.4089147286821706,0.5160788381742739,0.546692607003891,0.6063829787234043,0.46899224806201545,"[257, 141, 86, 41]"
0.001,32,glorot_uniform,0.30912863070539426,0.46089049338146815,0.5795698924731183,0.3816666666666667,0.5601659751037344,0.5577617328519856,0.6333333333333334,0.44333333333333336,"[277, 155, 100, 46]"
0.001,32,he_uniform,0.3070539419087133,0.4889705882352941,0.5161290322580645,0.3247422680412371,0.5511756569847857,0.5661764705882353,0.6161290322580645,0.39862542955326463,"[272, 155, 97, 39]"
0.0001,32,he_uniform,0.24896265560165945,0.4479606188466948,0.5141025641025642,0.2857142857142857,0.47614107883817425,0.5464135021097046,0.5923076923076923,0.30303030303030304,"[237, 130, 77, 24]"
0.0001,32,glorot_uniform,0.263485477178423,0.3760330578512398,0.48550724637681153,0.3413978494623656,0.4910096818810512,0.47107438016528924,0.527536231884058,0.3951612903225806,"[242, 115, 62, 25]"
0.001,64,glorot_uniform,0.30843706777316715,0.4734567901234567,0.5326797385620915,0.3524305555555555,0.547372060857538,0.5598765432098766,0.6209150326797386,0.3993055555555555,"[270, 153, 96, 39]"
0.005,16,he_uniform,0.2704011065006913,0.4638888888888891,0.6170483460559797,0.29924242424242425,0.4809820193637621,0.54375,0.6717557251908397,0.36363636363636365,"[240, 131, 88, 32]"
0.0001,64,glorot_uniform,0.21784232365145215,0.3466353677621283,0.475095785440613,0.32653061224489793,0.4325726141078838,0.40375586854460094,0.5593869731800766,0.41836734693877553,"[213, 87, 49, 21]"
0.001,64,he_uniform,0.3084370677731674,0.421972534332085,0.5296296296296297,0.3948412698412697,0.5383817427385892,0.5037453183520599,0.6160493827160494,0.5,"[267, 135, 84, 43]"
0.005,16,glorot_uniform,0.2952973720608574,0.4309252217997464,0.557142857142857,0.336996336996337,0.5280082987551867,0.532319391634981,0.6440476190476191,0.3791208791208791,"[263, 140, 91, 35]"
0.001,16,glorot_uniform,0.29183955739972334,0.474609375,0.5123042505592842,0.3108614232209738,0.5176348547717843,0.578125,0.5883668903803132,0.39325842696629215,"[256, 149, 89, 35]"
0.0001,16,he_uniform,0.2503457814661134,0.42836257309941517,0.5406162464985994,0.34703196347031967,0.4598893499308437,0.5175438596491229,0.6008403361344538,0.410958904109589,"[228, 119, 73, 30]"
0.0001,64,he_uniform,0.23305670816044216,0.3725925925925926,0.5132013201320133,0.2627118644067797,0.4545297372060857,0.4422222222222223,0.5759075907590759,0.3135593220338983,"[225, 101, 59, 19]"
0.001,16,he_uniform,0.31258644536652813,0.4868913857677903,0.5844017094017092,0.38117283950617287,0.5356154910096819,0.5842696629213483,0.685897435897436,0.46141975308641975,"[267, 156, 108, 51]"
0.005,32,he_uniform,0.2814661134163206,0.463186077643909,0.6067146282973622,0.3118279569892473,0.49965421853388664,0.5502008032128514,0.6618705035971223,0.3978494623655914,"[249, 139, 93, 37]"
0.005,64,he_uniform,0.3132780082987551,0.42753623188405804,0.5273972602739726,0.3043478260869565,0.5591286307053942,0.5235507246376812,0.6278538812785388,0.37862318840579706,"[276, 146, 92, 36]"
0.005,32,glorot_uniform,0.28146611341632066,0.4251968503937008,0.6246819338422392,0.32065217391304346,0.5093360995850622,0.515748031496063,0.6959287531806616,0.3731884057971015,"[254, 131, 92, 36]"
0.005,64,glorot_uniform,0.3105117565698476,0.4849056603773585,0.5581140350877193,0.35016835016835013,0.5369986168741356,0.5716981132075472,0.6425438596491229,0.42424242424242425,"[265, 152, 99, 43]"
