#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1
20,64,128,2,2,32,128,0.2,1e-05,0.001,0.4508990318118953,0.7800851970181042,0.7747252747252746,0.6837431693989071,0.6362378976486861,0.8623535676251332,0.8803418803418803,0.8702185792349726,"[313, 273, 244, 216]",0.151106500691563,0.4215940525587829,0.2191449168627592,0.5277698591182487
18,64,128,2,2,32,128,0.1,1e-05,0.001,0.4495159059474415,0.7598343685300204,0.7996389891696751,0.6659973226238286,0.654045643153527,0.8465320910973086,0.8910950661853189,0.8453815261044176,"[322, 277, 249, 211]",0.1497233748271094,0.4208160442600277,0.2177468221036685,0.5328274078643807
17,128,128,3,2,32,128,0.1,1e-05,0.001,0.459197786998617,0.7655913978494621,0.762531328320802,0.651577503429355,0.6281120331950207,0.8518817204301077,0.9047619047619048,0.812071330589849,"[310, 266, 243, 201]",0.1410788381742741,0.3965248962655601,0.2052971924341219,0.5305344443205519
23,64,64,3,2,64,128,0.1,0.0001,0.001,0.5117565698478562,0.7784679089026914,0.7314148681055154,0.5635245901639343,0.6550829875518672,0.8524844720496895,0.8651079136690647,0.8046448087431693,"[322, 278, 244, 199]",0.1400414937759339,0.3941044260027663,0.2040523791561136,0.5746171708856207
17,64,64,4,2,32,128,0.1,0.0001,0.001,0.5041493775933608,0.7411003236245951,0.7251908396946566,0.6007407407407405,0.6326071922544951,0.8360302049622439,0.8479643765903307,0.8362962962962964,"[309, 262, 225, 190]",0.1348547717842327,0.3792358229598894,0.1962739427469718,0.5611201741791961
26,64,128,2,3,32,128,0.1,1e-05,0.001,0.4322268326417706,0.7787356321839078,0.7379032258064517,0.6420890937019968,0.5874827109266944,0.846551724137931,0.8575268817204301,0.8509984639016898,"[290, 248, 217, 187]",0.1327800829875522,0.3666147994467497,0.1915515558669085,0.49803552977847965
30,128,128,2,2,64,64,0.1,0.0001,0.001,0.4695712309820196,0.7390841320553779,0.7636248415716094,0.5991379310344827,0.6353734439834025,0.8309371671991481,0.873257287705957,0.7923850574712643,"[313, 263, 232, 186]",0.1307053941908717,0.3711964038727524,0.1913027728380425,0.5400326314689162
27,128,128,3,2,128,128,0.1,1e-05,0.001,0.4757952973720608,0.7570621468926553,0.7405913978494623,0.5889387144992523,0.5999308437067774,0.8290960451977403,0.8850806451612904,0.8198804185351269,"[295, 248, 223, 185]",0.1286307053941912,0.3670470262793914,0.1886056774023579,0.530700637055947
35,64,128,4,3,64,128,0.1,0.0001,0.001,0.4778699861687412,0.7461111111111112,0.7291666666666665,0.6001529051987764,0.6107365145228216,0.815595238095238,0.8649193548387096,0.8134556574923546,"[300, 248, 218, 179]",0.125172890733057,0.3558955739972337,0.1829662960368354,0.5361949419966898
40,64,64,4,3,64,128,0.1,1e-05,0.001,0.4585062240663898,0.7027491408934708,0.7464387464387463,0.6523125996810206,0.5885200553250346,0.7941008018327607,0.8810541310541311,0.8413078149920254,"[291, 234, 209, 178]",0.1244813278008301,0.3545988934993084,0.1823816110123164,0.5154409467377778
