#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1
18,128,64,2,2,32,128,0.1,1e-05,0.001,0.4937759336099585,0.7896825396825397,0.7686733556298773,0.6406844106463878,0.6817081604426002,0.8854166666666666,0.8729096989966555,0.8365019011406845,"[336, 299, 263, 222]",0.1576763485477178,0.4396611341632089,0.2291543173285912,0.5727190781656322
19,128,128,3,2,32,128,0.1,1e-05,0.001,0.4515905947441215,0.744979919678715,0.7945454545454547,0.6891156462585035,0.6704702627939142,0.8253012048192772,0.8824242424242424,0.8612244897959184,"[332, 275, 245, 213]",0.1500691562932228,0.4202973720608575,0.218504248172298,0.5396820728559949
17,128,128,2,2,64,128,0.2,1e-05,0.001,0.4654218533886584,0.7518518518518521,0.7971285892634207,0.622267759562842,0.6346818810511756,0.8476190476190476,0.9001248439450686,0.8107923497267759,"[315, 267, 244, 199]",0.1417704011065008,0.3921161825726141,0.205127445168939,0.5370308419895535
17,128,128,3,2,64,128,0.1,0.0001,0.001,0.4844398340248959,0.7499999999999999,0.756160830090791,0.6130434782608696,0.6267289073305671,0.8274193548387097,0.8793774319066148,0.8623188405797102,"[310, 257, 230, 200]",0.1403872752420472,0.3924619640387276,0.2042975696502668,0.5464740620321294
19,128,128,3,2,64,128,0.2,1e-05,0.001,0.4778699861687415,0.7751572327044026,0.74907063197026,0.6160968660968661,0.6431535269709543,0.8443396226415094,0.8599752168525403,0.8368945868945868,"[318, 269, 234, 198]",0.1386583679114802,0.3905601659751037,0.2023908318514128,0.5483270661775811
18,64,128,2,2,128,128,0.1,1e-05,0.001,0.4854771784232363,0.7645161290322583,0.7775735294117645,0.5704323570432355,0.6248271092669433,0.8766129032258064,0.8670343137254902,0.7956764295676431,"[310, 272, 239, 193]",0.1348547717842327,0.3789764868603043,0.1965520648093262,0.5464075125573268
23,128,128,2,3,32,128,0.2,1e-05,0.001,0.4505532503457813,0.7475728155339808,0.7570512820512822,0.6577380952380955,0.6225795297372061,0.8414239482200647,0.8519230769230769,0.816220238095238,"[309, 260, 224, 185]",0.1303596127247583,0.3654910096818811,0.1898439043667259,0.5227782357000673
23,64,128,4,3,32,128,0.1,1e-05,0.001,0.4827109266943293,0.7577262693156732,0.7420634920634919,0.5641025641025639,0.6080567081604427,0.8327814569536424,0.8591269841269841,0.8069381598793363,"[302, 252, 221, 180]",0.1258644536652838,0.3475103734439834,0.1820983995257854,0.5381817496224303
29,128,64,3,2,128,128,0.2,0.0001,0.001,0.512448132780083,0.7375661375661374,0.7052287581699346,0.5615615615615613,0.6338174273858921,0.807936507936508,0.8562091503267975,0.795045045045045,"[315, 255, 222, 177]",0.1230982019363765,0.3480290456431535,0.1800533491404861,0.5667073468391507
28,64,64,4,2,32,64,0.1,1e-05,0.001,0.4654218533886583,0.7546296296296297,0.7331989247311825,0.5959119496855344,0.5781466113416321,0.859375,0.8454301075268816,0.815251572327044,"[288, 248, 212, 175]",0.122752420470263,0.3407676348547718,0.1781169729302509,0.5156960496128805
21,64,64,4,2,64,128,0.2,0.0001,0.001,0.4840940525587829,0.7266226622662266,0.698252688172043,0.5660066006600659,0.6118603042876902,0.8140814081408141,0.801747311827957,0.8457095709570958,"[303, 248, 202, 173]",0.1217150760719228,0.3407676348547718,0.1771487848251334,0.5405296898581898
