n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
100,None,2,1,None,0.3879668049792532,0.5525762355415352,0.5970948012232417,0.5934182590233545,0.63917704011065,0.674553101997897,0.7155963302752294,0.6942675159235668,"[317, 218, 157, 109]",0.4828524753436455
500,20,2,1,None,0.3879668049792531,0.5633652822151223,0.5943683409436835,0.5587606837606838,0.6319156293222684,0.6908945686900958,0.7054794520547946,0.6773504273504274,"[313, 219, 156, 106]",0.48076578138639436
50,40,2,1,None,0.3789764868603044,0.5501054852320675,0.641509433962264,0.5949367088607594,0.6378803596127247,0.6537447257383967,0.7382075471698113,0.7267932489451477,"[316, 212, 158, 116]",0.4754684173326848
500,None,2,1,None,0.3789764868603043,0.5461454940282303,0.6593495934959349,0.597222222222222,0.6199861687413556,0.6506514657980456,0.7536585365853659,0.7275641025641025,"[307, 205, 156, 114]",0.47040833571514407
500,None,2,1,balanced,0.3727524204702631,0.5564430244941427,0.5979462875197474,0.58,0.6322614107883817,0.663471778487753,0.6974723538704583,0.7066666666666667,"[313, 211, 150, 107]",0.4690024433716676
50,40,2,2,None,0.3720608575380361,0.489915074309979,0.6335034013605442,0.537037037037037,0.6341632088520056,0.6149150743099788,0.7329931972789115,0.6516203703703705,"[314, 196, 144, 95]",0.468975678848631
50,None,2,1,None,0.376901798063624,0.5420765027322403,0.6227197346600333,0.5506756756756755,0.6154910096818811,0.6478142076502733,0.7255389718076284,0.7117117117117117,"[305, 201, 148, 106]",0.4675158192008715
500,40,2,2,None,0.3672199170124482,0.5005274261603377,0.5483333333333333,0.5249343832020998,0.6378803596127247,0.6205168776371308,0.63,0.6456692913385826,"[316, 200, 127, 82]",0.4661074684157315
100,40,2,1,None,0.3727524204702625,0.5667752442996742,0.6384976525821596,0.6346153846153846,0.6200726141078837,0.6826818675352878,0.7284820031298904,0.75,"[307, 213, 156, 118]",0.46560785581770897
50,40,5,1,None,0.367911479944675,0.5016077170418007,0.6235194585448393,0.533096926713948,0.6301867219917012,0.6195069667738478,0.7030456852791879,0.6453900709219859,"[311, 197, 141, 92]",0.4645894143074104
100,20,2,1,None,0.3727524204702628,0.5287730727470139,0.6724709784411277,0.6614255765199161,0.6159232365145229,0.6451682953311618,0.7819237147595357,0.7735849056603774,"[307, 201, 159, 124]",0.4644331548221776
500,40,5,2,None,0.3713692946058091,0.4961997828447342,0.5769230769230769,0.5325520833333334,0.616701244813278,0.6248642779587407,0.6512820512820513,0.66015625,"[307, 195, 128, 85]",0.46357804859454804
500,40,2,1,None,0.3679114799446752,0.5319031903190318,0.6589347079037802,0.6204954954954953,0.6135892116182573,0.628987898789879,0.7568728522336768,0.7432432432432432,"[303, 194, 148, 111]",0.46000276284081454
500,40,5,1,None,0.3644536652835409,0.5048859934853419,0.6090750436300174,0.5634328358208955,0.6229253112033195,0.6099348534201955,0.6919720767888307,0.6965174129353234,"[307, 191, 134, 95]",0.4598587133659947
100,None,5,1,None,0.3589211618257261,0.5108225108225107,0.5616319444444444,0.5221354166666667,0.6221473029045643,0.612012987012987,0.65625,0.6354166666666666,"[308, 192, 128, 82]",0.45522171145647206
500,None,2,2,None,0.3596127247579528,0.4793028322440089,0.5956284153005466,0.547979797979798,0.6147130013831259,0.5871459694989107,0.7185792349726776,0.6199494949494949,"[306, 183, 132, 83]",0.4537673827972324
100,40,5,2,None,0.3589211618257262,0.4901315789473684,0.600900900900901,0.5247395833333335,0.6136756569847855,0.5937500000000001,0.6837837837837838,0.640625,"[304, 185, 128, 82]",0.4529341974581513
50,20,5,1,None,0.36237897648686,0.5022222222222222,0.598404255319149,0.525925925925926,0.6030428769017981,0.6125,0.7101063829787234,0.6259259259259259,"[300, 188, 135, 85]",0.45271413681453015
100,40,5,1,None,0.3609958506224064,0.522075055187638,0.598404255319149,0.5652173913043477,0.6048582295988936,0.6161699779249449,0.7278368794326242,0.6799516908212561,"[302, 188, 138, 95]",0.4521414063912965
500,20,2,2,None,0.3568464730290459,0.5238888888888888,0.5942760942760944,0.5126262626262628,0.6041666666666666,0.6491666666666667,0.6557239057239058,0.6401515151515151,"[300, 198, 132, 85]",0.4486821984348297
100,None,2,2,None,0.356846473029046,0.526374859708193,0.6064572425828971,0.5269607843137255,0.5956085753803597,0.6391694725028059,0.7094240837696335,0.6470588235294118,"[297, 191, 136, 88]",0.44630099821567004
50,None,2,1,balanced,0.3526970954356849,0.547222222222222,0.5586264656616415,0.5777777777777777,0.6058091286307054,0.6522222222222223,0.66750418760469,0.6765432098765433,"[300, 199, 135, 93]",0.4458335578667531
100,None,5,2,None,0.352005532503458,0.5016666666666668,0.5490196078431372,0.5286885245901639,0.6004495159059475,0.6155555555555556,0.6443850267379679,0.6174863387978141,"[300, 187, 122, 76]",0.4438247284024358
100,40,2,1,balanced,0.3482019363762104,0.5359911406423035,0.6341666666666667,0.6503496503496503,0.6103907330567081,0.6482360386014872,0.705,0.7552447552447552,"[301, 200, 143, 108]",0.4434401429799659
50,None,5,2,None,0.3478561549100971,0.4994444444444444,0.5922939068100359,0.5368852459016393,0.6069329183955741,0.6122222222222222,0.6514336917562724,0.6543715846994536,"[300, 186, 122, 81]",0.4422450092573637
500,None,5,1,None,0.3506224066390043,0.5312855517633676,0.6427304964539008,0.5714285714285714,0.5881742738589212,0.6313993174061433,0.7340425531914894,0.6738095238095239,"[293, 188, 140, 95]",0.4393434355012495
500,20,5,1,None,0.3450899031811898,0.564317673378076,0.6440536013400336,0.5827814569536424,0.6016597510373444,0.6579977628635348,0.7520938023450586,0.6754966887417219,"[298, 199, 151, 102]",0.4386095190177283
100,None,2,1,balanced,0.344744121715076,0.5747716894977168,0.6633663366336632,0.6129032258064516,0.59033540802213,0.680365296803653,0.7566006600660065,0.7258064516129032,"[292, 202, 155, 113]",0.43528845469025684
100,20,5,2,None,0.3447441217150764,0.5348173515981735,0.5794473229706391,0.5438596491228069,0.5877420470262794,0.6403538812785389,0.6839378238341969,0.6616541353383458,"[292, 193, 133, 88]",0.43458149319380807
500,20,5,2,None,0.3409405255878287,0.5121527777777777,0.630952380952381,0.6040100250626566,0.5787517289073305,0.6235532407407408,0.728021978021978,0.6942355889724311,"[288, 182, 133, 94]",0.4290998813442076
50,None,5,1,balanced,0.3288381742738592,0.4702970297029704,0.5770712909441232,0.5742296918767507,0.6087482710926695,0.553905390539054,0.684971098265896,0.6470588235294118,"[303, 173, 119, 77]",0.4270105888321069
100,40,5,1,balanced,0.3236514522821579,0.4583333333333333,0.6074950690335306,0.5324858757062146,0.5702800829875518,0.579518779342723,0.6863905325443787,0.6129943502824858,"[284, 169, 118, 73]",0.4129443246698376
50,20,2,2,None,0.3229598893499311,0.5478723404255318,0.5939716312056738,0.5354330708661418,0.5667358229598893,0.6551418439716312,0.6728723404255319,0.6377952755905512,"[282, 188, 127, 82]",0.41145064799419895
500,40,2,2,balanced,0.3181189488243429,0.4812865497076024,0.5548902195608781,0.5672782874617737,0.5747752420470262,0.5754385964912281,0.6437125748502994,0.6651376146788991,"[285, 167, 109, 73]",0.4095600524219297
500,40,5,1,balanced,0.3139695712309821,0.4960182025028443,0.5303030303030304,0.5871559633027523,0.5883471645919778,0.5878839590443686,0.6126893939393939,0.6773700305810397,"[293, 176, 109, 75]",0.40944182828090897
500,None,5,1,balanced,0.314661134163209,0.5080183276059566,0.5307262569832403,0.5345345345345346,0.5819502074688797,0.6010882016036656,0.6135940409683427,0.6486486486486487,"[291, 179, 111, 72]",0.40846485830827667
50,40,5,1,balanced,0.3146611341632089,0.5222222222222221,0.6132596685082874,0.5613333333333334,0.5739107883817427,0.6248538011695907,0.6823204419889503,0.648,"[285, 181, 125, 81]",0.40646663483014767
500,None,5,2,balanced,0.3077455048409405,0.5,0.5441176470588235,0.5644654088050314,0.5859266943291839,0.5727376861397481,0.6147058823529412,0.6823899371069182,"[291, 170, 106, 73]",0.4035401493155145
50,None,2,2,balanced,0.3063623789764869,0.4934988179669032,0.5456349206349207,0.5533980582524273,0.5688105117565697,0.58274231678487,0.6041666666666666,0.7087378640776699,"[282, 168, 103, 73]",0.3982347794676578
50,None,5,2,balanced,0.3001383125864452,0.4454225352112677,0.583864118895966,0.5313531353135315,0.5727869986168741,0.5422535211267606,0.6369426751592356,0.6237623762376238,"[284, 157, 101, 63]",0.39388323612552706
100,None,5,2,balanced,0.2890733056708161,0.5477075588599752,0.5433526011560693,0.5121212121212121,0.5409751037344398,0.6298017348203222,0.6252408477842003,0.6,"[269, 173, 110, 66]",0.37680082209705623
50,20,5,1,balanced,0.2738589211618255,0.4688249400479616,0.4644444444444444,0.39375,0.5546334716459197,0.5218824940047962,0.5333333333333333,0.4375,"[278, 150, 80, 35]",0.3666692066306913
100,20,2,2,balanced,0.2724757952973716,0.4252450980392156,0.5060386473429952,0.391025641025641,0.5440871369294605,0.4960171568627451,0.5555555555555556,0.4423076923076923,"[272, 138, 78, 35]",0.3631087562146216
100,20,5,1,balanced,0.2676348547717839,0.4621794871794872,0.478310502283105,0.4761904761904763,0.5204011065006915,0.5423076923076923,0.5205479452054794,0.5454545454545454,"[260, 146, 77, 42]",0.3534799968683939
500,20,5,1,balanced,0.2593360995850619,0.438058748403576,0.5161691542288558,0.3782051282051282,0.5224757952973721,0.5025542784163474,0.5783582089552238,0.4294871794871794,"[261, 134, 78, 34]",0.346622597499362
500,20,2,2,balanced,0.2607192254495154,0.4509043927648579,0.5,0.3717948717948718,0.5149550484094052,0.5133813215208565,0.5698529411764706,0.3974358974358974,"[258, 136, 78, 32]",0.34617283539569027
100,20,5,2,balanced,0.2586445366528351,0.4583333333333332,0.5035714285714286,0.391025641025641,0.5158195020746889,0.5328776041666666,0.5571428571428572,0.4209401709401709,"[256, 140, 78, 34]",0.3445321911390708
