Seed,Precision,Recall,F1,Precision_level3,Recall_level3,F1_level3,Precision_level2,Recall_level2,F1_level2,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.0915462111257119,0.23861669065348431,0.128805228936635,0.17586508979412988,0.44231691800679973,0.2439459357987611,0.26390713972842866,0.5893154370815343,0.3465490269695263,0.5238720981165134,0.7408111533586822,0.6395881006864985,0.43601190476190466,0.6568409361116325,0.8170876335325005,0.746376811594203,0.5912698412698413,"[526, 437, 336, 207]"
123,0.11169513797634677,0.29480581106730913,0.1580638371702761,0.19031975470871634,0.5048286506893603,0.27023965959577007,0.26412614980289223,0.6615011576246793,0.3657332665874059,0.5054752518615858,0.8036036036036037,0.6610225763612217,0.520017406440383,0.699400851010575,0.8852209352209353,0.7456507304116866,0.6244560487380331,"[555, 502, 383, 244]"
47899,0.10381077529566354,0.27306332519867343,0.14659311341308714,0.1929478756022777,0.486890161233131,0.2687341786553351,0.29106438896189374,0.6214661160127651,0.37723859583255115,0.5703022339027595,0.7515096618357487,0.6648590021691971,0.4242831541218637,0.6886161692009259,0.8230676328502416,0.7913955169920464,0.6111111111111112,"[552, 461, 372, 233]"
2025,0.06044678055190545,0.16283399036355672,0.08666541518052685,0.14169951817783571,0.34531631312183214,0.19510043176271835,0.23981603153745132,0.473215067893123,0.3023016915920988,0.48576434515987715,0.7085168869309839,0.5810055865921787,0.3231552162849873,0.5607612164445278,0.7726138032305433,0.7136871508379887,0.5095419847328244,"[454, 358, 262, 138]"
1,0.07271134472185738,0.1828968775420812,0.10029751238686845,0.1270258431887863,0.3181903510418622,0.17622005677196217,0.1903197547087165,0.4858363056129153,0.26683770310577143,0.35523434077967597,0.7237991266375544,0.6146118721461188,0.5201822916666666,0.5719635817533321,0.7812954876273654,0.6725570776255708,0.6217447916666667,"[458, 365, 256, 162]"
20,0.10205869469995617,0.2752847130968025,0.14562321165474912,0.19229084537888733,0.49261571032267487,0.26923230806279436,0.2958826106000893,0.6469119579500657,0.38652775170515,0.5672360928602711,0.7687134502923973,0.5958333333333333,0.46402550091074674,0.7171490102830445,0.8218629908103592,0.7411458333333333,0.6206739526411658,"[570, 480, 366, 229]"
99,0.07358738501971107,0.18818962100828068,0.10236872194822261,0.15221200175208,0.38387251527856,0.21229186932209285,0.2722295225580388,0.5501533070521244,0.3445656110570696,0.5462111257117827,0.6967637540453079,0.5752032520325207,0.365406643757159,0.6382089147529358,0.7780073971336107,0.6914634146341463,0.5446735395189003,"[515, 410, 291, 164]"
1020,0.09767849321068772,0.26347433410508314,0.13925513820388985,0.19272886552781424,0.4768553282022401,0.2657775426500788,0.28777923784494264,0.6241568112133158,0.37513505621258575,0.5413929040735878,0.7794028031687997,0.6278248587570622,0.44054307116104857,0.6910430094070042,0.8461826412466267,0.7302612994350283,0.6076779026217228,"[547, 472, 356, 221]"
345,0.06176084099868602,0.15730398598335524,0.0862598198997673,0.14169951817783566,0.34939928665290026,0.1957096779698621,0.22185720543145038,0.4918309242225142,0.29305320901904336,0.425317564607972,0.7256410256410258,0.6178637200736646,0.36046511627906974,0.5603784702667751,0.7831501831501833,0.6945211786372008,0.5135658914728682,"[455, 362, 258, 137]"
78,0.11344721857205414,0.301492918674259,0.16069736220853173,0.19338589575120435,0.49128809210937996,0.2702282824490447,0.27660972404730744,0.6228208497590889,0.3662703627223993,0.5492772667542707,0.7612031921424188,0.6571845368344273,0.512646793134598,0.6772219093506873,0.8305489783390336,0.7843180160466813,0.6734417344173442,"[543, 457, 369, 253]"
