#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1,F1 nivel4,F1 promedio
22,64,64,2,2,32,128,0.1,0.0001,0.001,0.4892807745504841,0.7747747747747747,0.7609195402298853,0.6750972762645917,0.6780428769017981,0.8633633633633634,0.8724137931034482,0.8638132295719845,"[333, 290, 257, 223]",0.1583679114799446,0.4478734439834024,0.231201163981247,0.5683999353156457,0.757884173606773,0.6631420544612093
20,128,128,3,2,32,128,0.2,0.0001,0.001,0.4792531120331947,0.7556584362139918,0.8108747044917258,0.6886304909560723,0.6585408022130014,0.868724279835391,0.901595744680851,0.8565891472868217,"[324, 282, 258, 223]",0.1590594744121714,0.4448305670816043,0.2307516480752995,0.554771342876292,0.7634816312773846,0.6591264870768383
23,128,128,3,2,64,128,0.2,1e-05,0.001,0.4861687413554635,0.7292292292292291,0.8042131350681534,0.6646174863387977,0.6811030428769018,0.8017017017017017,0.8912639405204461,0.8599726775956283,"[333, 269, 244, 213]",0.1514522821576764,0.4213001383125865,0.2188536221731242,0.5673588851573275,0.7497790459682316,0.6585689655627796
19,128,64,2,2,64,128,0.1,1e-05,0.001,0.5283540802213,0.7204142011834319,0.7424789410348975,0.6263661202185791,0.6875864453665284,0.8164694280078897,0.8691335740072202,0.840846994535519,"[338, 277, 244, 207]",0.1479944674965423,0.4120504840940526,0.2143171489644519,0.5975441993573469,0.7179298826713881,0.6577370410143675
27,64,128,3,3,32,128,0.1,1e-05,0.001,0.461964038727524,0.7386831275720163,0.762254901960784,0.7047619047619047,0.6585408022130014,0.8308641975308639,0.8915441176470589,0.8469387755102041,"[324, 272, 245, 210]",0.1486860304287691,0.4153699861687413,0.2157101542993659,0.5430091107894274,0.7693367570614392,0.6561729339254333
20,128,64,3,2,32,128,0.2,1e-05,0.001,0.4930843706777314,0.7427427427427427,0.8189448441247003,0.6511627906976747,0.6796334716459198,0.8307307307307307,0.9100719424460432,0.8585271317829457,"[333, 278, 258, 224]",0.1597510373443982,0.4418914246196403,0.230583697077473,0.5715213507693241,0.7406036361465207,0.6560624934579224
18,128,128,4,2,32,128,0.1,1e-05,0.001,0.4723374827109266,0.7546583850931674,0.7870036101083031,0.6812749003984064,0.6570712309820194,0.8565217391304348,0.8929602888086643,0.8632138114209827,"[322, 277, 251, 218]",0.1556016597510373,0.4331604426002766,0.2253493740008263,0.5495962045290093,0.7615282635579781,0.6555622340434937
19,64,64,3,2,32,128,0.1,1e-05,0.001,0.4861687413554633,0.758811681772407,0.8234265734265734,0.6616729088639202,0.6727178423236515,0.8614300100704935,0.9134615384615384,0.846441947565543,"[331, 286, 267, 228]",0.1621715076071921,0.4496715076071922,0.2343477753228791,0.5644286357195608,0.7427387950492348,0.6535837153843977
31,64,64,2,3,64,128,0.2,0.0001,0.001,0.5006915629322268,0.6809978768577496,0.736705577172503,0.6474074074074072,0.6365491009681881,0.8142250530785562,0.867704280155642,0.8244444444444444,"[314, 257, 225, 188]",0.1320885200553253,0.3760373443983403,0.1937462951985773,0.5605053958478132,0.7252787563607894,0.6428920761043013
23,64,128,4,2,64,128,0.2,0.0001,0.001,0.4961964038727524,0.7507788161993767,0.7462962962962961,0.619341563786008,0.6554287690179806,0.8384215991692627,0.8833333333333333,0.8292181069958847,"[321, 270, 243, 204]",0.1455739972337483,0.4047199170124481,0.2106963230407214,0.5648042537401604,0.7090757108118217,0.6369399822759911
17,128,64,4,2,32,128,0.1,1e-05,0.001,0.5262793914246192,0.7056213017751478,0.7848484848484847,0.5849802371541504,0.6866009681881052,0.8096646942800788,0.9030303030303032,0.8043478260869565,"[338, 275, 253, 205]",0.1466113416320885,0.407244121715076,0.2122819780496129,0.59584432516488,0.6773455377574372,0.6365949314611585
27,128,64,4,3,32,128,0.1,1e-05,0.001,0.5089903181189487,0.7004287245444802,0.704780361757106,0.6248131539611358,0.6326071922544951,0.8267952840300107,0.8468992248062015,0.8094170403587444,"[311, 258, 223, 182]",0.1279391424619643,0.3617565698478561,0.1866380162023315,0.5641058833855015,0.7052346490254405,0.6346702662054711
20,128,128,3,2,64,128,0.1,0.0001,0.001,0.5006915629322268,0.768205128205128,0.7945041816009556,0.6062992125984252,0.6645919778699861,0.8501538461538461,0.8942652329749103,0.8162729658792651,"[325, 279, 254, 209]",0.1497233748271093,0.4133471645919779,0.2156032763916581,0.5711152427037033,0.6957898712845396,0.6334525569941214
24,64,64,2,3,32,128,0.1,1e-05,0.001,0.4986168741355463,0.6998928188638803,0.7395013123359578,0.621212121212121,0.63067081604426,0.8129689174705251,0.8582677165354331,0.8181818181818182,"[311, 254, 220, 181]",0.1307053941908716,0.3637621023513139,0.1896364354870578,0.5569229411407716,0.7062200956937797,0.6315715184172757
30,64,128,2,2,32,64,0.2,0.0001,0.001,0.4426002766251727,0.7459546925566343,0.8152454780361755,0.6430615164520742,0.628457814661134,0.8316073354908308,0.8914728682170543,0.8497854077253219,"[309, 258, 233, 200]",0.1407330567081606,0.3999654218533887,0.2061005730092867,0.5194033916166272,0.7321102841830994,0.6257568378998632
30,128,64,4,2,32,64,0.2,1e-05,0.001,0.4903181189488244,0.7247942386831276,0.7449494949494949,0.6023391812865495,0.656984785615491,0.8126543209876543,0.8494318181818182,0.8070175438596491,"[324, 264, 228, 185]",0.1313969571230984,0.3664246196403872,0.1901488207504804,0.5615457661258387,0.6898158258717332,0.625680795998786
36,64,64,3,2,32,64,0.2,1e-05,0.001,0.4868603042876901,0.7736240913811006,0.7997557997557997,0.604249667994688,0.6538727524204703,0.8482866043613707,0.9065934065934066,0.8027888446215139,"[321, 273, 251, 204]",0.145228215767635,0.4097337482710926,0.2117633058504427,0.5581405488984674,0.689511891085963,0.6238262199922152
30,64,128,3,3,64,128,0.1,1e-05,0.001,0.4861687413554632,0.7430555555555557,0.7452471482889733,0.606060606060606,0.6353734439834026,0.8380341880341882,0.8678707224334601,0.7994227994227994,"[312, 263, 231, 186]",0.1320885200553253,0.3722856154910097,0.1921278583104309,0.5508463463793208,0.6894406073050836,0.6201434768422023
