Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.3088042049934297,0.2749614125106898,0.2844137830340196,0.6005256241787122,0.8315098468271335,0.8210526315789474,0.7532051282051282,0.5594367269465824,0.8177972283005106,0.7973684210526316,0.7387820512820513,"[457, 380, 312, 235]"
123,0.27989487516425754,0.24883194626952845,0.2574828442108336,0.5519053876478318,0.8642857142857143,0.7796143250688705,0.7526501766784452,0.5199950983459525,0.8505952380952381,0.7607897153351698,0.7420494699646644,"[420, 363, 283, 213]"
47899,0.278580814717477,0.2406972863608869,0.2515768725361366,0.607095926412615,0.8203463203463204,0.7994722955145118,0.6996699669966997,0.5628532841082119,0.8107864357864358,0.7803430079155673,0.6859185918591859,"[462, 379, 303, 212]"
2025,0.23653088042049936,0.20540224850343114,0.21376843334793405,0.568988173455979,0.8267898383371824,0.7430167597765364,0.6766917293233082,0.5331430031495734,0.8111624326404927,0.7229981378026071,0.6541353383458647,"[433, 358, 266, 180]"
1,0.30223390275952694,0.2631771061468828,0.2742152138998393,0.5624178712220762,0.8364485981308412,0.8519553072625698,0.7540983606557377,0.5260486410946331,0.8267133956386292,0.8289106145251397,0.7377049180327869,"[428, 358, 305, 230]"
20,0.2720105124835742,0.2354300940700415,0.2452985837348518,0.5716162943495401,0.8114942528735632,0.8073654390934845,0.7263157894736842,0.5331664685146945,0.797816091954023,0.7792728989612844,0.7157894736842105,"[435, 353, 285, 207]"
99,0.28252299605781866,0.24730617608409988,0.2573076361512629,0.5703022339027596,0.8410138248847926,0.8027397260273973,0.7337883959044369,0.5254541851782325,0.8250768049155147,0.7789954337899544,0.7303754266211604,"[434, 365, 293, 215]"
1020,0.2575558475689882,0.22421156373193166,0.23362534676595123,0.557161629434954,0.8773584905660378,0.7688172043010753,0.6853146853146853,0.5216814759193207,0.8599449685534591,0.7517921146953404,0.6800699300699301,"[424, 372, 286, 196]"
345,0.28252299605781866,0.24806541100890644,0.2581690757774858,0.5348226018396847,0.8329238329238329,0.8053097345132744,0.7875457875457875,0.5051644661368708,0.816953316953317,0.7853982300884956,0.7728937728937729,"[407, 339, 273, 215]"
78,0.2996057818659658,0.2620273032559498,0.27295955613958245,0.5650459921156373,0.8162790697674419,0.8148148148148148,0.7972027972027972,0.5245306926975783,0.8040697674418604,0.7891737891737892,0.7867132867132867,"[430, 351, 286, 228]"
