learning_rate,batch_size,kernel_initializer,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
0.0001,32,glorot_uniform,0.27593360995850597,0.4182754182754183,0.5078125,0.2848101265822785,0.5276625172890733,0.4922779922779923,0.609375,0.310126582278481,"[259, 128, 79, 25]"
0.005,64,he_uniform,0.3319502074688791,0.45316301703163026,0.5196078431372549,0.3631578947368421,0.5613762102351315,0.5541362530413626,0.6176470588235294,0.4263157894736842,"[274, 153, 95, 41]"
0.005,16,glorot_uniform,0.28907330567081596,0.4444444444444443,0.5703703703703704,0.28735632183908044,0.49636929460580914,0.5447154471544715,0.6444444444444445,0.40229885057471265,"[246, 135, 87, 35]"
0.001,16,glorot_uniform,0.313278008298755,0.47668997668997665,0.510752688172043,0.2943262411347518,0.5807399723374828,0.5384615384615384,0.6,0.35106382978723405,"[286, 155, 94, 33]"
0.001,64,glorot_uniform,0.31466113416320884,0.490086741016109,0.5445859872611466,0.355,0.548582295988935,0.5817843866171004,0.6273885350318471,0.43,"[269, 157, 100, 43]"
0.005,64,glorot_uniform,0.3105117565698477,0.45006485084306097,0.5654761904761905,0.33684210526315783,0.5269709543568465,0.5363164721141375,0.6642857142857143,0.42105263157894735,"[257, 140, 95, 40]"
0.0001,16,he_uniform,0.2814661134163204,0.4669163545568041,0.5697399527186761,0.31382978723404253,0.5440871369294605,0.5280898876404494,0.6560283687943262,0.3617021276595745,"[267, 141, 94, 34]"
0.0001,64,glorot_uniform,0.25034578146611297,0.37168758716875877,0.5063492063492063,0.2956989247311828,0.48634163208852005,0.4309623430962343,0.5857142857142857,0.3387096774193548,"[239, 105, 62, 21]"
0.001,64,he_uniform,0.32572614107883824,0.4697508896797152,0.5158227848101266,0.38945578231292516,0.5703665283540803,0.5593119810201661,0.6139240506329114,0.45408163265306123,"[281, 158, 98, 45]"
0.0001,16,glorot_uniform,0.29114799446749634,0.3996138996138995,0.5266666666666667,0.26709401709401714,0.5285269709543567,0.4768339768339768,0.624,0.3717948717948718,"[259, 125, 78, 29]"
0.0001,32,he_uniform,0.262793914246196,0.4500674763832659,0.4544270833333333,0.28809523809523807,0.5039764868603043,0.5121457489878543,0.546875,0.37142857142857144,"[247, 128, 70, 26]"
0.005,16,he_uniform,0.29253112033195006,0.4538866930171278,0.5742092457420925,0.32765151515151514,0.5157330567081604,0.5395256916996047,0.635036496350365,0.4431818181818182,"[253, 137, 88, 39]"
0.005,32,glorot_uniform,0.31673582295988945,0.5082070707070708,0.6193415637860082,0.3594202898550724,0.5380359612724759,0.6117424242424242,0.7006172839506173,0.4434782608695652,"[264, 162, 115, 51]"
0.001,32,glorot_uniform,0.3042876901798063,0.46641318124207864,0.561936936936937,0.2725694444444445,0.5363070539419087,0.5608365019011406,0.6418918918918919,0.3645833333333333,"[263, 148, 96, 35]"
0.001,32,he_uniform,0.3167358229598896,0.48088410991636793,0.5863453815261045,0.3151515151515151,0.567600276625173,0.589605734767025,0.6566265060240963,0.37727272727272726,"[279, 166, 110, 42]"
0.001,16,he_uniform,0.33125864453665294,0.47359154929577474,0.568089430894309,0.39143730886850153,0.5810857538035962,0.5710093896713616,0.6524390243902439,0.47706422018348627,"[284, 164, 109, 52]"
0.0001,64,he_uniform,0.24965421853388622,0.4194444444444444,0.44252873563218387,0.23728813559322035,0.4899723374827109,0.48333333333333334,0.5,0.288135593220339,"[240, 116, 59, 17]"
0.005,32,he_uniform,0.3098201936376209,0.5056603773584907,0.6453252032520326,0.3276353276353276,0.5413208852005532,0.6132075471698113,0.698170731707317,0.4230769230769231,"[265, 164, 117, 50]"
