#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
11,128,64,2,4,2,0.0,0.0001,0.001,0.3360995850622406,0.6153846153846155,0.6387225548902196,0.5505464480874318,0.4730290456431535,0.7115384615384616,0.7145708582834331,0.691256830601093,"[234, 167, 122, 85]",0.3929779763804659,0.6129295989708262,0.502953787675646
14,128,64,2,2,2,0.1,1e-05,0.001,0.3547717842323652,0.5644257703081234,0.7119205298013244,0.4813333333333334,0.4801175656984786,0.6323529411764706,0.8167770419426048,0.6506666666666666,"[238, 151, 125, 83]",0.4080353053689286,0.553334903808402,0.4806851045886653
8,128,64,2,2,4,0.1,1e-05,0.001,0.3326417704011066,0.5862831858407083,0.717439293598234,0.4715447154471546,0.454356846473029,0.6670353982300885,0.8057395143487859,0.6639566395663956,"[226, 151, 123, 83]",0.3840872463155131,0.5514484739119468,0.46776786011372995
22,64,64,4,4,2,0.1,1e-05,0.001,0.3229598893499308,0.5943683409436835,0.6417233560090703,0.4845679012345678,0.4422544951590594,0.6689497716894978,0.7278911564625851,0.6450617283950616,"[219, 147, 108, 72]",0.3733083583177238,0.5534136139782769,0.46336098614800036
14,64,128,2,2,4,0.1,1e-05,0.001,0.301521438450899,0.5879828326180259,0.6420940170940171,0.4910714285714285,0.4687067773167358,0.6695278969957081,0.704059829059829,0.6383928571428571,"[233, 156, 112, 73]",0.3669695262134174,0.5551242236024845,0.46104687490795093
12,128,256,2,3,2,0.0,1e-05,0.001,0.3049792531120331,0.5426179604261797,0.6678657074340527,0.5077160493827161,0.4401798063623789,0.6301369863013698,0.7679856115107914,0.6265432098765431,"[219, 139, 108, 69]",0.3603142359272558,0.5609053497942387,0.4606097928607472
14,64,256,2,3,2,0.1,1e-05,0.001,0.3243430152143846,0.6218236173393122,0.590625,0.4853801169590643,0.4495159059474412,0.7152466367713004,0.7052083333333333,0.5994152046783625,"[223, 160, 114, 70]",0.3768060051641643,0.5364039028388581,0.4566049540015112
23,128,128,2,3,2,0.0,0.0001,0.0001,0.296680497925311,0.596969696969697,0.5795206971677559,0.5079365079365079,0.4429460580912863,0.6931818181818182,0.6710239651416122,0.6079365079365079,"[220, 153, 105, 65]",0.3553508348221818,0.5534557113504481,0.454403273086315
9,128,64,2,4,4,0.0,0.0001,0.001,0.3360995850622408,0.5637681159420289,0.6969696969696968,0.4462365591397849,0.459716459197787,0.6695652173913044,0.7987012987012987,0.6155913978494624,"[230, 154, 124, 77]",0.3883071026202469,0.5174084660405607,0.4528577843304038
20,128,64,4,3,4,0.0,1e-05,0.001,0.2738589211618258,0.4935275080906148,0.6088154269972452,0.496031746031746,0.4185684647302904,0.5849514563106796,0.6735537190082644,0.6428571428571429,"[206, 121, 84, 54]",0.3310923586181175,0.5599800895968143,0.4455362241074659
