#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precisionatn nivel1,Precisionatn nivel2,Precisionatn nivel3,Precisionatn nivel4,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
32,128,256,4,4,2,0.1,0.0001,0.001,38.419117647058826,65.55023923444976,61.31386861313869,64.28571428571429,0.22825150732127453,0.5966029723991506,0.6683168316831684,0.5648148148148148,0.3695521102497847,0.6249115357395612,0.6478076379066479,0.6597222222222223,"[157, 101, 72, 51]"
56,32,128,2,3,2,0.1,1e-05,0.0001,29.59558823529412,54.6583850931677,62.5,50.90909090909091,0.2291128337639965,0.5241730279898218,0.5563063063063062,0.3401360544217688,0.32385874246339363,0.5398642917726888,0.6486486486486487,0.5,"[131, 74, 49, 27]"
50,32,64,4,3,2,0.1,0.0001,0.001,29.22794117647059,60.37735849056604,41.66666666666667,52.5,0.22911283376399663,0.4354005167958657,0.3640350877192982,0.4494949494949495,0.31237438989376975,0.5843023255813954,0.38972431077694236,0.5454545454545454,"[129, 76, 33, 20]"
81,32,64,2,3,2,0.1,1e-05,0.0001,31.801470588235293,57.22543352601156,70.70707070707071,38.57142857142858,0.22997416020671835,0.4828767123287671,0.6916666666666667,0.35,0.34273614699971283,0.5356735159817352,0.7285714285714285,0.4166666666666667,"[146, 80, 60, 27]"
29,32,64,3,3,2,0.0,0.0001,0.001,39.52205882352941,49.30232558139535,66.0377358490566,51.42857142857142,0.23169681309216186,0.5104166666666667,0.6441947565543072,0.39344262295081966,0.38050531151306344,0.5230902777777778,0.6694756554307116,0.512568306010929,"[160, 89, 61, 33]"
56,32,64,3,2,4,0.1,0.0001,0.0001,32.35294117647059,55.68181818181818,57.14285714285714,37.5,0.23169681309216192,0.5144927536231884,0.5576131687242798,0.3066666666666667,0.32704565030146426,0.568438003220612,0.5699588477366255,0.3866666666666667,"[138, 81, 50, 21]"
39,64,64,4,4,2,0.1,0.0001,0.001,40.44117647058824,60.45454545454545,64.66165413533834,48.837209302325576,0.23255813953488363,0.5858585858585859,0.6307189542483661,0.38809523809523805,0.38850129198966404,0.5936700336700337,0.6452614379084967,0.511904761904762,"[165, 102, 70, 40]"
67,32,128,2,4,4,0.1,0.0001,0.0001,30.698529411764707,58.08383233532935,69.0721649484536,49.25373134328358,0.2325581395348837,0.5606060606060607,0.6495726495726495,0.3620689655172414,0.3251507321274763,0.5757575757575758,0.7243589743589743,0.5,"[132, 78, 58, 33]"
26,128,256,3,4,4,0.2,1e-05,0.001,36.029411764705884,50.51020408163265,53.535353535353536,45.28301886792453,0.2334194659776055,0.49786324786324787,0.48995983935742987,0.34722222222222215,0.37829457364341085,0.5240384615384616,0.5371485943775101,0.4479166666666666,"[156, 83, 48, 23]"
66,32,256,3,3,4,0.1,0.0001,0.0001,30.14705882352941,58.536585365853654,73.95833333333334,43.66197183098591,0.23341946597760557,0.49404761904761896,0.6361788617886179,0.4032258064516128,0.3372093023255814,0.5773809523809524,0.7378048780487805,0.43548387096774194,"[140, 82, 62, 30]"
63,32,64,4,2,2,0.0,0.0001,0.0001,31.985294117647058,62.643678160919535,66.05504587155964,47.22222222222222,0.23428079242032723,0.5876543209876542,0.6356589147286822,0.37903225806451607,0.32222222222222224,0.6164609053497943,0.681782945736434,0.48118279569892475,"[135, 86, 62, 34]"
17,32,128,4,2,2,0.1,1e-05,0.001,30.14705882352941,63.41463414634146,59.61538461538461,53.2258064516129,0.23514211886304914,0.5632603406326033,0.501984126984127,0.4475308641975309,0.33363479758828596,0.6021897810218978,0.5972222222222223,0.5462962962962963,"[137, 84, 54, 32]"
24,128,256,4,4,2,0.2,0.0001,0.001,29.963235294117645,55.21472392638037,74.44444444444444,53.73134328358209,0.23600344530577083,0.49884259259259256,0.660337552742616,0.4027777777777778,0.34526270456503017,0.5381944444444444,0.7341772151898734,0.538888888888889,"[144, 79, 60, 34]"
56,32,64,3,4,2,0.2,0.0001,0.0001,29.044117647058826,51.89873417721519,52.4390243902439,53.48837209302325,0.23600344530577091,0.4501216545012165,0.42018779342723,0.3873873873873874,0.3372093023255814,0.5097323600973237,0.5140845070422535,0.5540540540540541,"[137, 71, 37, 22]"
71,32,64,2,4,4,0.2,1e-05,0.0001,28.676470588235293,58.333333333333336,64.83516483516483,28.8135593220339,0.23686477174849266,0.5428921568627451,0.5101626016260163,0.26543209876543206,0.3310508182601206,0.5882352941176471,0.6463414634146342,0.2962962962962963,"[136, 82, 54, 17]"
52,32,128,2,3,4,0.0,0.0001,0.0001,34.375,59.893048128342244,66.07142857142857,51.35135135135135,0.23772609819121457,0.5680272108843538,0.7189922480620154,0.3602941176470588,0.34810508182601213,0.563114134542706,0.7206533776301218,0.5171568627450981,"[147, 86, 68, 37]"
49,32,256,3,4,4,0.2,0.0001,0.001,29.77941176470588,61.111111111111114,49.494949494949495,44.89795918367347,0.23858742463393628,0.49004975124378114,0.4538152610441767,0.35984848484848486,0.3232127476313523,0.6032338308457712,0.48594377510040154,0.4772727272727273,"[134, 83, 44, 22]"
60,32,256,4,2,2,0.1,0.0001,0.0001,32.35294117647059,55.11363636363637,63.91752577319587,43.54838709677419,0.2411714039621015,0.5123873873873873,0.5596707818930041,0.3557692307692308,0.362489233419466,0.5341591591591591,0.6358024691358025,0.41346153846153844,"[148, 81, 52, 25]"
23,128,256,3,4,4,0.2,1e-05,0.0001,32.35294117647059,63.06818181818182,69.36936936936937,40.25974025974026,0.24289405684754523,0.5517676767676767,0.6289682539682538,0.36197916666666663,0.3165518231409704,0.624894781144781,0.7125850340136055,0.4427083333333333,"[132, 84, 64, 31]"
47,64,64,2,4,2,0.2,0.0001,0.0001,31.985294117647058,58.04597701149425,57.42574257425742,41.37931034482759,0.243755383290267,0.573671497584541,0.5352941176470587,0.266025641025641,0.3267441860465116,0.5909822866344605,0.5752941176470588,0.40384615384615385,"[138, 85, 52, 23]"
22,128,256,3,2,4,0.2,1e-05,0.001,34.92647058823529,57.36842105263158,57.798165137614674,53.96825396825397,0.24375538329026708,0.5635964912280701,0.5181159420289854,0.38888888888888884,0.3654608096468562,0.5873538011695906,0.5760869565217391,0.5701754385964912,"[152, 92, 57, 34]"
26,128,128,4,3,2,0.0,1e-05,0.001,41.72794117647059,53.74449339207048,60.65573770491803,62.16216216216216,0.24461670973298874,0.4651600753295668,0.6428571428571428,0.5874316939890709,0.4265862761986793,0.4964689265536723,0.6180533751962323,0.6584699453551912,"[177, 91, 61, 44]"
56,32,256,3,3,4,0.2,1e-05,0.0001,30.330882352941174,59.3939393939394,60.204081632653065,47.45762711864407,0.2454780361757106,0.5355392156862746,0.5645833333333334,0.3238993710691823,0.3194229112833764,0.5784313725490196,0.6354166666666666,0.4716981132075472,"[136, 80, 53, 27]"
49,64,64,2,4,2,0.1,1e-05,0.0001,33.82352941176471,64.13043478260869,66.94915254237289,50.63291139240506,0.24720068906115417,0.56924882629108,0.6704980842911877,0.4044117647058823,0.33507034165948896,0.603971048513302,0.7403530377668308,0.5196078431372548,"[142, 87, 68, 38]"
31,128,128,3,4,2,0.1,0.0001,0.001,39.338235294117645,64.01869158878505,62.04379562043796,60.0,0.2472006890611542,0.5807770961145194,0.6759259259259259,0.5194805194805194,0.38397932816537467,0.6332651670074982,0.6604938271604939,0.5974025974025974,"[163, 108, 77, 48]"
42,64,256,2,4,4,0.2,1e-05,0.0001,32.904411764705884,64.24581005586593,65.21739130434783,46.666666666666664,0.24806201550387585,0.5532407407407408,0.6594202898550724,0.37179487179487175,0.34097042779213327,0.6148726851851852,0.671583850931677,0.46923076923076923,"[144, 92, 65, 32]"
43,64,256,3,2,2,0.0,1e-05,0.0001,36.76470588235294,69.5,67.62589928057554,54.25531914893617,0.24806201550387605,0.6371882086167802,0.6618122977346277,0.43201754385964913,0.3455641688199828,0.6753590325018897,0.6857374017568192,0.5552631578947369,"[147, 103, 76, 47]"
13,32,256,2,3,4,0.2,1e-05,0.001,30.514705882352942,60.8433734939759,69.3069306930693,51.42857142857142,0.2489233419465977,0.5486618004866182,0.6097560975609757,0.3722222222222222,0.3255383290267011,0.5778588807785888,0.6890243902439024,0.5347222222222222,"[137, 82, 60, 35]"
27,128,64,2,4,4,0.2,1e-05,0.0001,35.661764705882355,63.4020618556701,65.85365853658537,41.9753086419753,0.24978466838931968,0.5283446712018142,0.6226053639846743,0.3862433862433862,0.34971289118575943,0.5830498866213152,0.6706349206349206,0.43915343915343913,"[147, 87, 63, 32]"
45,64,128,4,3,2,0.1,0.0001,0.0001,34.92647058823529,66.3157894736842,65.87301587301587,45.78313253012048,0.25064599483204125,0.5744444444444444,0.6266666666666666,0.40610328638497645,0.3588285960378984,0.6437037037037037,0.684,0.46713615023474186,"[150, 100, 71, 36]"
41,64,256,4,4,2,0.2,1e-05,0.001,37.5,51.470588235294116,64.76190476190476,54.41176470588235,0.25150732127476305,0.5229166666666667,0.568100358422939,0.45555555555555555,0.37873959230548376,0.5491319444444446,0.6344086021505376,0.5583333333333333,"[160, 93, 60, 36]"
42,64,128,3,3,4,0.1,1e-05,0.0001,35.661764705882355,62.371134020618555,63.63636363636363,51.94805194805194,0.2515073212747631,0.5878995433789954,0.5762411347517731,0.44444444444444436,0.3502153316106805,0.6145357686453577,0.648758865248227,0.5429292929292928,"[146, 94, 66, 39]"
49,64,128,3,3,4,0.2,1e-05,0.0001,36.580882352941174,60.30150753768844,62.5,45.33333333333333,0.25409130060292845,0.5277777777777777,0.6213768115942029,0.3489583333333333,0.37865345966121156,0.5736289173789173,0.6658902691511388,0.4583333333333333,"[156, 92, 64, 33]"
39,32,128,4,3,2,0.1,1e-05,0.001,42.463235294117645,65.36796536796537,72.18543046357617,62.38532110091744,0.25409130060292856,0.6484848484848484,0.7203389830508474,0.5462962962962964,0.39569336778639097,0.6722895622895624,0.7139830508474576,0.6592592592592593,"[165, 118, 90, 64]"
35,128,128,4,4,4,0.2,0.0001,0.001,26.65441176470588,64.13793103448275,41.935483870967744,48.717948717948715,0.2566752799310939,0.47265625000000006,0.4166666666666667,0.3783783783783784,0.30598621877691645,0.6432291666666667,0.4166666666666667,0.4864864864864865,"[128, 84, 37, 19]"
35,64,256,4,3,2,0.2,1e-05,0.0001,32.720588235294116,66.29213483146067,67.79661016949152,38.75,0.2566752799310939,0.597323600973236,0.6537037037037037,0.32828282828282823,0.3339362618432386,0.6390916463909164,0.6914814814814815,0.3914141414141414,"[137, 90, 66, 30]"
61,64,256,2,4,4,0.2,0.0001,0.0001,34.55882352941176,60.1063829787234,61.06194690265486,60.86956521739131,0.2575366063738156,0.55119825708061,0.5602836879432623,0.4416666666666666,0.3655900086132644,0.5958605664488018,0.6152482269503545,0.5916666666666667,"[153, 94, 60, 38]"
55,32,128,4,2,2,0.0,1e-05,0.0001,38.23529411764706,66.82692307692307,72.66187050359713,45.54455445544555,0.2575366063738158,0.6065400843881856,0.6683006535947713,0.4050632911392405,0.37721791559000856,0.6346694796061885,0.7342670401493931,0.46540084388185654,"[158, 102, 79, 42]"
43,32,256,4,3,2,0.2,1e-05,0.001,40.44117647058824,63.18181818181819,62.589928057553955,65.51724137931035,0.2618432385874246,0.5409181636726548,0.6575757575757577,0.5432900432900433,0.39243468274476023,0.6343147039254824,0.6488095238095238,0.6623376623376623,"[167, 110, 77, 53]"
39,64,128,2,4,4,0.1,1e-05,0.0001,37.5,65.19607843137256,66.16541353383458,46.590909090909086,0.2618432385874248,0.5899795501022495,0.6474358974358976,0.3558558558558559,0.3905684754521964,0.6257668711656442,0.6762820512820513,0.4797297297297297,"[163, 104, 74, 38]"
15,128,128,3,2,2,0.0,0.0001,0.001,39.338235294117645,64.01869158878505,64.96350364963503,57.30337078651685,0.2627045650301464,0.5496031746031746,0.6585760517799353,0.4955555555555555,0.40211024978466836,0.6061507936507937,0.667799352750809,0.5813333333333335,"[168, 103, 75, 47]"
10,64,256,2,2,2,0.0,1e-05,0.001,41.911764705882355,69.2982456140351,77.84810126582279,55.28455284552846,0.2627045650301464,0.6237524950099799,0.7456140350877193,0.517361111111111,0.3961240310077519,0.6653359946773121,0.8041979949874687,0.5621527777777778,"[167, 114, 96, 59]"
32,128,128,4,3,2,0.2,1e-05,0.001,35.294117647058826,42.1875,58.0246913580247,55.319148936170215,0.26270456503014644,0.3885542168674699,0.5472972972972973,0.42460317460317465,0.3981481481481481,0.43273092369477917,0.5608108108108109,0.5555555555555556,"[166, 74, 42, 25]"
27,128,128,4,3,4,0.0,0.0001,0.001,29.77941176470588,53.70370370370371,47.12643678160919,51.21951219512195,0.26270456503014644,0.4280303030303031,0.46491228070175444,0.4166666666666667,0.3144702842377261,0.5547138047138047,0.4789473684210526,0.5131578947368421,"[132, 76, 38, 21]"
49,32,64,4,2,4,0.0,1e-05,0.0001,34.00735294117647,58.91891891891892,62.38532110091744,42.64705882352941,0.26356589147286824,0.568888888888889,0.5742753623188405,0.30874316939890717,0.356244616709733,0.5892592592592593,0.6347826086956522,0.45081967213114754,"[150, 92, 61, 29]"
19,32,128,3,3,2,0.2,1e-05,0.001,41.36029411764706,60.44444444444444,63.23529411764706,55.81395348837209,0.26442721791558993,0.524390243902439,0.6560283687943262,0.4791666666666667,0.38830031581969554,0.5503895663956639,0.6955927051671731,0.5949074074074074,"[164, 94, 72, 47]"
19,128,64,4,2,4,0.2,1e-05,0.0001,34.19117647058824,63.97849462365591,63.02521008403361,40.0,0.26442721791559,0.5739514348785871,0.603942652329749,0.29743589743589743,0.3647717484926787,0.609271523178808,0.6541218637992832,0.38974358974358975,"[151, 93, 65, 29]"
19,128,128,4,4,4,0.0,0.0001,0.0001,38.23529411764706,59.61538461538461,60.483870967741936,60.0,0.2652885443583118,0.5295857988165681,0.5783333333333334,0.4974358974358974,0.40426356589147283,0.5660749506903353,0.615,0.5974358974358973,"[169, 100, 65, 42]"
17,32,64,4,4,4,0.0,0.0001,0.001,39.705882352941174,52.77777777777778,50.877192982456144,41.37931034482759,0.26614987080103353,0.4404040404040404,0.487037037037037,0.4149659863945578,0.3892908412288257,0.5334175084175083,0.51,0.44217687074829937,"[165, 90, 49, 23]"
21,64,256,3,2,4,0.2,1e-05,0.001,34.375,48.663101604278076,67.03296703296702,50.81967213114754,0.2678725236864772,0.4531963470319635,0.6898148148148147,0.3575757575757576,0.3474160206718346,0.4726027397260274,0.7303240740740741,0.5151515151515151,"[146, 72, 55, 31]"
14,64,64,2,3,2,0.2,0.0001,0.001,36.029411764705884,68.36734693877551,67.16417910447761,60.0,0.26787252368647724,0.5584988962472405,0.7142857142857144,0.49567099567099554,0.3536606373815676,0.6376011773362766,0.7193391642371234,0.6147186147186148,"[151, 98, 77, 50]"
18,64,64,4,4,4,0.0,1e-05,0.001,40.99264705882353,64.57399103139014,67.36111111111111,73.19587628865979,0.26873385012919876,0.5688622754491018,0.7484567901234568,0.6098039215686274,0.3886017800746482,0.6153526280771789,0.7217813051146384,0.7254901960784313,"[167, 108, 85, 64]"
28,64,128,4,4,4,0.1,1e-05,0.001,37.5,51.9607843137255,70.75471698113208,53.333333333333336,0.26873385012919887,0.4658385093167702,0.7359550561797753,0.4333333333333333,0.3739448751076659,0.52864044168392,0.7554307116104869,0.5357142857142857,"[161, 89, 70, 38]"
31,64,128,4,4,2,0.1,0.0001,0.0001,34.55882352941176,60.1063829787234,69.91150442477876,50.63291139240506,0.2687338501291989,0.5544662309368192,0.6370370370370371,0.36318407960199,0.36930806775768016,0.5732570806100219,0.7084656084656085,0.5199004975124378,"[153, 90, 67, 39]"
35,64,256,4,2,4,0.1,1e-05,0.0001,34.92647058823529,56.315789473684205,64.48598130841121,53.62318840579711,0.26959517657192067,0.5108225108225108,0.5988372093023255,0.4462365591397849,0.37097329888027564,0.534992784992785,0.6782945736434108,0.5403225806451613,"[154, 86, 62, 36]"
