#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
24,64,64,4,3,32,128,0.0,1e-05,0.001,0.532503457814661,0.7026748971193415,0.7256809338521402,0.5700589970501472,0.6581085753803596,0.7915637860082305,0.8684824902723735,0.8104719764011798,"[324, 257, 226, 185]",0.5886805814772402
19,32,64,2,2,64,128,0.0,1e-05,0.001,0.515905947441217,0.7259371833839919,0.7852112676056338,0.6195928753180663,0.6693464730290456,0.8600810536980751,0.9119718309859156,0.7926208651399491,"[329, 284, 262, 211]",0.5826941508332497
24,64,128,3,2,64,128,0.2,0.0001,0.001,0.5034578146611338,0.7349397590361445,0.7726190476190473,0.6486666666666667,0.6752247579529737,0.8402610441767069,0.8798214285714285,0.8393333333333334,"[332, 280, 250, 212]",0.5768256678134386
17,128,64,2,2,64,128,0.0,1e-05,0.001,0.5034578146611339,0.752044989775051,0.7971014492753623,0.6220472440944882,0.6639004149377593,0.8419222903885482,0.9112318840579712,0.8287401574803149,"[326, 276, 254, 213]",0.5726534384771191
46,32,32,4,3,64,128,0.2,1e-05,0.001,0.518672199170124,0.6741693461950696,0.7123098201936378,0.5264423076923074,0.6303596127247579,0.7657020364415863,0.8475103734439834,0.7532051282051282,"[311, 241, 208, 159]",0.5690878237057697
28,32,128,2,2,64,64,0.1,0.0001,0.001,0.5089903181189489,0.7195253505933115,0.761627906976744,0.5747126436781606,0.6294951590594743,0.8299892125134845,0.8837209302325582,0.7974137931034483,"[309, 258, 232, 187]",0.5628652234688208
25,128,128,4,3,32,128,0.1,1e-05,0.001,0.4958506224066388,0.7134595162986331,0.7578027465667916,0.6285310734463277,0.6429806362378977,0.8391167192429022,0.8707865168539326,0.8008474576271186,"[317, 267, 236, 192]",0.5599114816244998
18,32,128,2,2,32,128,0.1,0.0001,0.001,0.475103734439834,0.7540160642570283,0.8021914648212224,0.6812420785804816,0.6775587828492392,0.8663654618473895,0.8953287197231834,0.8314321926489227,"[332, 289, 263, 221]",0.5585515330042626
40,32,64,4,2,64,64,0.1,0.0001,0.001,0.511756569847856,0.7105263157894739,0.6733333333333332,0.5283171521035597,0.6141078838174274,0.818969298245614,0.81,0.7548543689320388,"[304, 250, 206, 157]",0.5582798943794793
22,128,128,3,3,64,128,0.0,0.0001,0.001,0.5055325034578148,0.7064270152505445,0.7106666666666669,0.5594135802469135,0.6213692946058091,0.8072984749455336,0.856,0.7847222222222222,"[306, 250, 216, 171]",0.5574973358169335
18,32,64,3,3,32,128,0.0,0.0001,0.001,0.4875518672199171,0.71078431372549,0.7025745257452575,0.5869565217391303,0.6232710926694328,0.7985838779956427,0.8353658536585366,0.7995169082125604,"[306, 246, 207, 167]",0.5471204611137123
34,64,64,3,2,64,64,0.1,1e-05,0.001,0.4840940525587825,0.7276159654800434,0.7222222222222223,0.5571205007824723,0.628457814661134,0.8192017259978425,0.8235294117647058,0.7769953051643192,"[309, 255, 213, 167]",0.5469096755403806
68,64,64,3,2,128,64,0.1,1e-05,0.001,0.4972337482710929,0.6855555555555555,0.6758087201125176,0.519400352733686,0.6047717842323651,0.7848888888888889,0.7827004219409283,0.7777777777777778,"[300, 237, 189, 148]",0.5457557739103491
42,64,64,4,2,64,64,0.1,0.0001,0.001,0.4965421853388657,0.7343400447427293,0.7146666666666666,0.5395348837209301,0.6053250345781466,0.8361297539149888,0.8403333333333333,0.7790697674418605,"[298, 250, 215, 168]",0.5455637668073925
36,64,32,4,3,64,128,0.1,0.0001,0.001,0.487551867219917,0.7160087719298247,0.7222222222222223,0.6097756410256407,0.6149723374827109,0.7942982456140351,0.8415637860082305,0.8317307692307693,"[304, 243, 208, 176]",0.5438990094719287
39,32,128,2,2,128,64,0.2,1e-05,0.001,0.4840940525587829,0.7273242630385489,0.7350948509485091,0.5499999999999995,0.600103734439834,0.8340136054421768,0.8414634146341463,0.8095238095238095,"[294, 246, 210, 173]",0.5358923477695855
44,64,64,2,3,32,64,0.1,1e-05,0.001,0.4737206085753803,0.7105263157894737,0.7547425474254742,0.5848765432098764,0.6147648686030429,0.799890350877193,0.8658536585365854,0.7824074074074074,"[304, 246, 216, 170]",0.5351045903530409
24,32,64,2,2,32,64,0.0,1e-05,0.001,0.4723374827109265,0.7188888888888888,0.7661290322580644,0.5874811463046756,0.6115663900414937,0.8166666666666667,0.8810483870967742,0.7918552036199095,"[300, 248, 221, 176]",0.5330098663625479
38,32,64,4,3,64,128,0.0,1e-05,0.001,0.4702627939142459,0.7072222222222223,0.6686666666666667,0.6159420289855071,0.6077455048409404,0.8266666666666667,0.8193333333333334,0.782608695652174,"[300, 250, 207, 164]",0.5302372893146515
25,128,128,2,2,32,64,0.2,1e-05,0.001,0.4571230982019365,0.6946236559139787,0.8029100529100529,0.6275811209439528,0.6284232365145228,0.8059139784946235,0.876984126984127,0.8185840707964602,"[310, 252, 226, 186]",0.5292575133287885
22,32,64,2,3,32,128,0.1,0.0001,0.001,0.463347164591978,0.722772277227723,0.7364498644986456,0.6470125786163522,0.615491009681881,0.809020902090209,0.8414634146341463,0.8726415094339622,"[303, 246, 212, 186]",0.5286909954959748
46,32,32,3,4,64,128,0.2,0.0001,0.001,0.4840940525587827,0.6881533101045293,0.6569940476190476,0.5320855614973261,0.5809474412171507,0.7787456445993032,0.828125,0.7379679144385026,"[287, 224, 187, 140]",0.5281168908178376
28,128,32,4,3,64,128,0.0,1e-05,0.001,0.4937759336099582,0.6443236714975846,0.6336477987421382,0.4137596899224807,0.5554979253112033,0.763768115942029,0.8018867924528302,0.6046511627906976,"[276, 212, 172, 105]",0.5228215767634853
47,32,32,4,3,32,64,0.1,0.0001,0.001,0.4598893499308436,0.6841216216216217,0.6948051948051948,0.5250431778929188,0.6029045643153528,0.7781531531531531,0.8232323232323232,0.7253886010362695,"[296, 231, 193, 142]",0.5217745123239322
37,64,64,3,3,128,128,0.0,0.0001,0.001,0.4820193637621023,0.6173285198555957,0.6747967479674799,0.4672801635991819,0.5610304287690179,0.7346570397111913,0.7878048780487805,0.6993865030674846,"[277, 205, 163, 115]",0.5185323505413632
