Seed,Precision,Recall,F1,Precision level 1,Precision level 2,Precision level 3,Precision level 4,Recall level 1,Recall level 2,Recall level 3,Recall level 4,#Compounds that have at least one match
42,0.36578400830737284,0.3852630668051229,0.3549117116874122,0.5612668743509864,0.8533496732026142,0.9222222222222223,0.80458089668616,0.5963806680512288,0.8716765873015875,0.9064682539682539,0.8245614035087719,"[408, 360, 342, 292]"
123,0.2907580477673936,0.3202010087524106,0.2858440884141818,0.5693146417445483,0.8153594771241831,0.8572124756335282,0.723991507430998,0.5859287692231618,0.8200892857142859,0.8819270398217766,0.7680467091295117,"[408, 342, 314, 250]"
47899,0.2941329179646937,0.31788681204569064,0.2872427645654692,0.5552959501557633,0.8242659758203799,0.8850401606425702,0.7132034632034632,0.5606827622014539,0.8383974833456699,0.8812248995983936,0.7599567099567099,"[386, 332, 308, 245]"
2025,0.21625129802699894,0.23234683281412252,0.21130025218810283,0.5319314641744548,0.7644628099173554,0.7880371660859465,0.6612244897959184,0.5273197596795726,0.7737767283221829,0.8142276422764227,0.7027210884353741,"[363, 287, 245, 178]"
1,0.3195742471443407,0.33716313108836476,0.30762250902437804,0.5950155763239875,0.7966507177033493,0.8600583090379009,0.7719869706840392,0.5985384834099788,0.8084982601130927,0.85522351797862,0.8059174809989141,"[418, 343, 307, 258]"
20,0.3360591900311527,0.35372101073035656,0.3265724669930278,0.5765835929387332,0.8073803730738038,0.89067055393586,0.7898322851153039,0.587386886218662,0.8245133819951338,0.8980424822990422,0.8183962264150944,"[411, 343, 318, 270]"
99,0.29309449636552437,0.3259623943035158,0.2878282153983086,0.5379023883696782,0.8096446700507615,0.8679050567595459,0.7693602693602694,0.5684672155466548,0.7990693739424705,0.8785861713106295,0.8156004489337824,"[394, 323, 297, 254]"
1020,0.31593977154724817,0.31201175079679755,0.292769763069378,0.5934579439252337,0.8252427184466019,0.8457497612225405,0.7330097087378641,0.5946524659141481,0.8276255971644322,0.8380133715377268,0.7642934196332255,"[412, 349, 309, 247]"
345,0.2930944963655244,0.30421858774662514,0.28095979824951783,0.5677570093457944,0.7989690721649485,0.8615464994775339,0.7471461187214613,0.5661344755970924,0.8044243986254296,0.8719958202716824,0.7813926940639269,"[388, 319, 292, 237]"
78,0.34553478712357216,0.3723721696268425,0.33986778192385636,0.561786085150571,0.8341625207296849,0.8992359121298948,0.7984615384615384,0.5817472960580438,0.8516225689733155,0.8884670487106017,0.84,"[402, 349, 325, 280]"
