#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
18,128,256,4,4,2,0.0,0.0001,0.001,0.4972337482710924,0.7401041666666666,0.7820987654320987,0.573997233748271,0.6441908713692946,0.8385416666666666,0.8895061728395062,0.7828492392807747,"[320, 270, 241, 191]",0.13416320885200586,0.37845781466113415,0.19569255087927284
17,128,256,3,4,4,0.1,0.0001,0.001,0.5000000000000002,0.7473628691983121,0.7110682110682109,0.5714285714285712,0.6348547717842323,0.810126582278481,0.859073359073359,0.78125,"[316, 259, 224, 176]",0.12309820193637651,0.3495850622406639,0.18043864848844102
17,128,128,4,3,4,0.1,0.0001,0.0001,0.5262793914246197,0.780278670953912,0.70314465408805,0.5272988505747123,0.6232710926694329,0.8467309753483386,0.8679245283018868,0.7873563218390806,"[311, 265, 232, 184]",0.12863070539419122,0.366701244813278,0.1885002963841138
20,128,128,3,3,4,0.0,1e-05,0.0001,0.5452973720608576,0.737313432835821,0.7740998838559812,0.6081081081081082,0.6739280774550485,0.8517412935323383,0.8960511033681764,0.8519948519948519,"[335, 287, 259, 223]",0.15802213001383125,0.4400069156293222,0.22964829085161037
15,128,256,4,3,2,0.1,1e-05,0.0001,0.5428769017980634,0.7458333333333333,0.7374686716791979,0.521800281293952,0.6396957123098203,0.8244791666666667,0.8872180451127819,0.7770745428973277,"[320, 266, 237, 187]",0.12932226832641805,0.3665283540802213,0.18929065402094447
31,64,128,3,4,2,0.1,0.0001,0.0001,0.5394190871369293,0.7406249999999996,0.6849747474747474,0.5036710719530101,0.6405601659751037,0.8171874999999998,0.8522727272727273,0.7151248164464022,"[320, 264, 227, 163]",0.11272475795297394,0.31932918395573995,0.16504643351116383
28,64,128,4,4,4,0.0,1e-05,0.0001,0.5058782849239278,0.7207505518763797,0.75359477124183,0.5528634361233477,0.6097856154910097,0.8355408388520972,0.8790849673202614,0.7892804698972101,"[302, 255, 227, 181]",0.12828492392807778,0.358402489626556,0.18656392017387868
22,128,128,4,4,2,0.1,1e-05,0.0001,0.5124481327800828,0.7236699239956567,0.7335958005249343,0.5623123123123119,0.6147994467496543,0.8208469055374593,0.8608923884514436,0.8243243243243243,"[307, 254, 222, 184]",0.1307053941908717,0.3653181189488243,0.19002173483501286
15,128,256,3,4,2,0.0,0.0001,0.0001,0.5159059474412172,0.7726337448559666,0.7559101654846334,0.6167979002624673,0.6509336099585062,0.8631687242798355,0.8971631205673759,0.8241469816272966,"[324, 282, 254, 214]",0.15006915629322276,0.41926002766251724,0.21823750246986764
31,64,256,3,3,4,0.1,0.0001,0.0001,0.5532503457814659,0.7428571428571427,0.6722636815920398,0.5460526315789472,0.6324343015214385,0.8423280423280423,0.8439054726368159,0.7755847953216374,"[315, 268, 228, 179]",0.12448132780083017,0.3504495159059474,0.18158466706184548
